Period Number,Value,Date
1,1.67219024E8,2015-03-17
2,1.6595448E8,2015-03-18
3,1.64688688E8,2015-03-19
4,1.63421936E8,2015-03-20
5,1.62161648E8,2015-03-21
6,1.60919568E8,2015-03-22
7,1.59681632E8,2015-03-23
8,1.584508E8,2015-03-24
9,1.57226768E8,2015-03-25
10,1.56011008E8,2015-03-26
11,1.5479848E8,2015-03-27
12,1.53593904E8,2015-03-28
13,1.52391776E8,2015-03-29
14,1.51161664E8,2015-03-30
15,1.49936592E8,2015-03-31
16,1.48716528E8,2015-04-01
17,1.47509472E8,2015-04-02
18,1.46308304E8,2015-04-03
19,1.45115728E8,2015-04-04
20,1.43932128E8,2015-04-05
21,1.4274432E8,2015-04-06
22,1.4244544E8,2015-04-07
23,1.4230336E8,2015-04-08
24,1.42151664E8,2015-04-09
25,1.42049216E8,2015-04-10
26,1.41912288E8,2015-04-11
27,1.41761376E8,2015-04-12
28,1.41604272E8,2015-04-13
29,1.41448384E8,2015-04-14
30,1.41281456E8,2015-04-15
31,1.4091896E8,2015-04-16
32,1.40554832E8,2015-04-17
33,1.40280016E8,2015-04-18
34,1.39976688E8,2015-04-19
35,1.39669744E8,2015-04-20
36,1.39529264E8,2015-04-21
37,1.39364928E8,2015-04-22
38,1.3915888E8,2015-04-23
39,1.38925968E8,2015-04-24
40,1.38692608E8,2015-04-25
41,1.38476512E8,2015-04-26
42,1.38204752E8,2015-04-27
43,1.37923744E8,2015-04-28
44,1.37657536E8,2015-04-29
45,1.37423856E8,2015-04-30
46,1.37184752E8,2015-05-01
47,1.36947552E8,2015-05-02
48,1.3671888E8,2015-05-03
49,1.36488576E8,2015-05-04
50,1.36145104E8,2015-05-05
51,1.35799568E8,2015-05-06
52,1.35523952E8,2015-05-07
53,1.35249472E8,2015-05-08
54,1.34910256E8,2015-05-09
55,1.34554384E8,2015-05-10
56,1.34189584E8,2015-05-11
57,1.33802216E8,2015-05-12
58,1.3346036E8,2015-05-13
59,1.33169976E8,2015-05-14
60,1.32847568E8,2015-05-15
61,1.32524296E8,2015-05-16
62,1.32185328E8,2015-05-17
63,1.3185028E8,2015-05-18
64,1.315702E8,2015-05-19
65,1.31315344E8,2015-05-20
66,1.31018472E8,2015-05-21
67,1.307096E8,2015-05-22
68,1.3039848E8,2015-05-23
69,1.30092608E8,2015-05-24
70,1.29819688E8,2015-05-25
71,1.2954548E8,2015-05-26
72,1.29258696E8,2015-05-27
73,1.28978968E8,2015-05-28
74,1.28720152E8,2015-05-29
75,1.28465632E8,2015-05-30
76,1.28198632E8,2015-05-31
77,1.27924776E8,2015-06-01
78,1.27649168E8,2015-06-02
79,1.27377896E8,2015-06-03
80,1.27138088E8,2015-06-04
81,1.26957176E8,2015-06-05
82,1.2676252E8,2015-06-06
83,1.26547616E8,2015-06-07
84,1.2633844E8,2015-06-08
85,1.26136448E8,2015-06-09
86,1.25926592E8,2015-06-10
87,1.25719688E8,2015-06-11
88,1.25506544E8,2015-06-12
89,1.25291728E8,2015-06-13
90,1.25090256E8,2015-06-14
91,1.24863136E8,2015-06-15
92,1.24670936E8,2015-06-16
93,1.2450396E8,2015-06-17
94,1.24334424E8,2015-06-18
95,1.24178136E8,2015-06-19
96,1.24037736E8,2015-06-20
97,1.2395648E8,2015-06-21
98,1.23838736E8,2015-06-22
99,1.23760936E8,2015-06-23
100,1.2368948E8,2015-06-24
101,1.23579584E8,2015-06-25
102,1.23511808E8,2015-06-26
103,1.23439896E8,2015-06-27
104,1.23338416E8,2015-06-28
105,1.23244248E8,2015-06-29
106,1.23136456E8,2015-06-30
107,1.23068504E8,2015-07-01
108,1.2299504E8,2015-07-02
109,1.22859096E8,2015-07-03
110,1.22783552E8,2015-07-04
111,1.22663832E8,2015-07-05
112,1.22582712E8,2015-07-06
113,1.22486584E8,2015-07-07
114,1.22390528E8,2015-07-08
115,1.22281424E8,2015-07-09
116,1.22178576E8,2015-07-10
117,1.22063048E8,2015-07-11
118,1.21902864E8,2015-07-12
119,1.21754432E8,2015-07-13
120,1.21539232E8,2015-07-14
121,1.21360736E8,2015-07-15
122,1.21180016E8,2015-07-16
123,1.20978168E8,2015-07-17
124,1.20806128E8,2015-07-18
125,1.20655336E8,2015-07-19
126,1.20508072E8,2015-07-20
127,1.2033932E8,2015-07-21
128,1.20147864E8,2015-07-22
129,1.19956656E8,2015-07-23
130,1.19775232E8,2015-07-24
131,1.19602896E8,2015-07-25
132,1.19433896E8,2015-07-26
133,1.19263984E8,2015-07-27
134,1.19069376E8,2015-07-28
135,1.18883392E8,2015-07-29
136,1.18702672E8,2015-07-30
137,1.18461032E8,2015-07-31
138,1.18201696E8,2015-08-01
139,1.1792644E8,2015-08-02
140,1.17661208E8,2015-08-03
141,1.17359264E8,2015-08-04
142,1.17065776E8,2015-08-05
143,1.1677316E8,2015-08-06
144,1.1648716E8,2015-08-07
145,1.16186576E8,2015-08-08
146,1.15936248E8,2015-08-09
147,1.15664496E8,2015-08-10
148,1.15398992E8,2015-08-11
149,1.15128504E8,2015-08-12
150,1.14859256E8,2015-08-13
151,1.1457864E8,2015-08-14
152,1.14301728E8,2015-08-15
153,1.14021992E8,2015-08-16
154,1.13726128E8,2015-08-17
155,1.13413528E8,2015-08-18
156,1.13092192E8,2015-08-19
157,1.1279764E8,2015-08-20
158,1.12493832E8,2015-08-21
159,1.12184424E8,2015-08-22
160,1.11877008E8,2015-08-23
161,1.11551216E8,2015-08-24
162,1.11235464E8,2015-08-25
163,1.10925632E8,2015-08-26
164,1.1061496E8,2015-08-27
165,1.1032832E8,2015-08-28
166,1.1003764E8,2015-08-29
167,1.09754432E8,2015-08-30
168,1.09464488E8,2015-08-31
169,1.09183512E8,2015-09-01
170,1.0889308E8,2015-09-02
171,1.0857356E8,2015-09-03
172,1.08252272E8,2015-09-04
173,1.0794484E8,2015-09-05
174,1.07636888E8,2015-09-06
175,1.07321072E8,2015-09-07
176,1.07009864E8,2015-09-08
177,1.06674544E8,2015-09-09
178,1.06353792E8,2015-09-10
179,1.06039944E8,2015-09-11
180,1.0572992E8,2015-09-12
181,1.05410904E8,2015-09-13
182,1.0509564E8,2015-09-14
183,1.04780864E8,2015-09-15
184,1.04465344E8,2015-09-16
185,1.0416232E8,2015-09-17
186,1.038554E8,2015-09-18
187,1.03549336E8,2015-09-19
188,1.03242856E8,2015-09-20
189,1.029336E8,2015-09-21
190,1.026048E8,2015-09-22
191,1.02280328E8,2015-09-23
192,1.01957144E8,2015-09-24
193,1.01636192E8,2015-09-25
194,1.01323456E8,2015-09-26
195,1.0101072E8,2015-09-27
196,1.00699128E8,2015-09-28
197,1.0038964E8,2015-09-29
198,1.00080888E8,2015-09-30
199,9.9771896E7,2015-10-01
200,9.9461952E7,2015-10-02
201,9.9164296E7,2015-10-03
202,9.8864864E7,2015-10-04
203,9.858188E7,2015-10-05
204,9.829256E7,2015-10-06
205,9.7998504E7,2015-10-07
206,9.76936E7,2015-10-08
207,9.7393488E7,2015-10-09
208,9.7097552E7,2015-10-10
209,9.6792384E7,2015-10-11
210,9.6489488E7,2015-10-12
211,9.6179624E7,2015-10-13
212,9.5871552E7,2015-10-14
213,9.5570248E7,2015-10-15
214,9.526948E7,2015-10-16
215,9.4977032E7,2015-10-17
216,9.4683304E7,2015-10-18
217,9.4388888E7,2015-10-19
218,9.4094312E7,2015-10-20
219,9.380072E7,2015-10-21
220,9.3507344E7,2015-10-22
221,9.3212496E7,2015-10-23
222,9.2918872E7,2015-10-24
223,9.2616624E7,2015-10-25
224,9.2319048E7,2015-10-26
225,9.2023632E7,2015-10-27
226,9.1730728E7,2015-10-28
227,9.1438888E7,2015-10-29
228,9.1150312E7,2015-10-30
229,9.0864088E7,2015-10-31
230,9.0577056E7,2015-11-01
231,9.0301224E7,2015-11-02
232,9.003448E7,2015-11-03
233,8.9770592E7,2015-11-04
234,8.9505904E7,2015-11-05
235,8.9230704E7,2015-11-06
236,8.8961368E7,2015-11-07
237,8.8687912E7,2015-11-08
238,8.8413128E7,2015-11-09
239,8.8125024E7,2015-11-10
240,8.7824752E7,2015-11-11
241,8.7531432E7,2015-11-12
242,8.7240056E7,2015-11-13
243,8.6946792E7,2015-11-14
244,8.6646104E7,2015-11-15
245,8.635004E7,2015-11-16
246,8.6050944E7,2015-11-17
247,8.5749296E7,2015-11-18
248,8.544312E7,2015-11-19
249,8.5141424E7,2015-11-20
250,8.4839872E7,2015-11-21
251,8.4540832E7,2015-11-22
252,8.4242448E7,2015-11-23
253,8.3933584E7,2015-11-24
254,8.3620728E7,2015-11-25
255,8.3314712E7,2015-11-26
256,8.3018216E7,2015-11-27
257,8.2726224E7,2015-11-28
258,8.2438264E7,2015-11-29
259,8.2174472E7,2015-11-30
260,8.190348E7,2015-12-01
261,8.1619376E7,2015-12-02
262,8.132712E7,2015-12-03
263,8.1051632E7,2015-12-04
264,8.0789104E7,2015-12-05
265,8.0525912E7,2015-12-06
266,8.0258096E7,2015-12-07
267,7.99836E7,2015-12-08
268,7.9708912E7,2015-12-09
269,7.9426128E7,2015-12-10
270,7.9153336E7,2015-12-11
271,7.88792E7,2015-12-12
272,7.8603336E7,2015-12-13
273,7.8327936E7,2015-12-14
274,7.8057048E7,2015-12-15
275,7.7777392E7,2015-12-16
276,7.7498448E7,2015-12-17
277,7.7210552E7,2015-12-18
278,7.6918224E7,2015-12-19
279,7.6626064E7,2015-12-20
280,7.6328592E7,2015-12-21
281,7.6035632E7,2015-12-22
282,7.5737592E7,2015-12-23
283,7.5445936E7,2015-12-24
284,7.5155936E7,2015-12-25
285,7.4856744E7,2015-12-26
286,7.4572736E7,2015-12-27
287,7.4284344E7,2015-12-28
288,7.399252E7,2015-12-29
289,7.36968E7,2015-12-30
290,7.342308E7,2015-12-31
291,7.3153888E7,2016-01-01
292,7.2895304E7,2016-01-02
293,7.2623808E7,2016-01-03
294,7.2338984E7,2016-01-04
295,7.2058392E7,2016-01-05
296,7.1761912E7,2016-01-06
297,7.1469624E7,2016-01-07
298,7.1171568E7,2016-01-08
299,7.0867192E7,2016-01-09
300,7.0559712E7,2016-01-10
301,7.02482E7,2016-01-11
302,6.9931448E7,2016-01-12
303,6.95998E7,2016-01-13
304,6.9270136E7,2016-01-14
305,6.8927208E7,2016-01-15
306,6.85888E7,2016-01-16
307,6.8270088E7,2016-01-17
308,6.7955464E7,2016-01-18
309,6.7627392E7,2016-01-19
310,6.7307368E7,2016-01-20
311,6.6983676E7,2016-01-21
312,6.6648268E7,2016-01-22
313,6.631464E7,2016-01-23
314,6.5979628E7,2016-01-24
315,6.5647288E7,2016-01-25
316,6.531274E7,2016-01-26
317,6.4978064E7,2016-01-27
318,6.4646988E7,2016-01-28
319,6.4321244E7,2016-01-29
320,6.400862E7,2016-01-30
321,6.3700088E7,2016-01-31
322,6.3371936E7,2016-02-01
323,6.3020232E7,2016-02-02
324,6.2571144E7,2016-02-03
325,6.2178988E7,2016-02-04
326,6.1786392E7,2016-02-05
327,6.1383288E7,2016-02-06
328,6.09779E7,2016-02-07
329,6.0577636E7,2016-02-08
330,6.0179756E7,2016-02-09
331,5.977384E7,2016-02-10
332,5.9376348E7,2016-02-11
333,5.8981688E7,2016-02-12
334,5.8580256E7,2016-02-13
335,5.817534E7,2016-02-14
336,5.7754544E7,2016-02-15
337,5.7324936E7,2016-02-16
338,5.69007E7,2016-02-17
339,5.6482488E7,2016-02-18
340,5.605666E7,2016-02-19
341,5.5644348E7,2016-02-20
342,5.5230116E7,2016-02-21
343,5.4813176E7,2016-02-22
344,5.4389532E7,2016-02-23
345,5.39628E7,2016-02-24
346,5.3532796E7,2016-02-25
347,5.3103476E7,2016-02-26
348,5.2672936E7,2016-02-27
349,5.2243028E7,2016-02-28
350,5.1815452E7,2016-02-29
351,5.1388156E7,2016-03-01
352,5.0959048E7,2016-03-02
353,5.0528936E7,2016-03-03
354,5.0095944E7,2016-03-04
355,4.966724E7,2016-03-05
356,4.9237148E7,2016-03-06
357,4.880392E7,2016-03-07
358,4.83654E7,2016-03-09
359,4.7925776E7,2016-03-10
360,4.748328E7,2016-03-11
361,4.7035532E7,2016-03-12
362,4.6595356E7,2016-03-13
363,4.615456E7,2016-03-14
364,4.5713992E7,2016-03-15
365,4.5273132E7,2016-03-16
366,4.4831008E7,2016-03-17
367,4.4385836E7,2016-03-18
368,4.3949388E7,2016-03-19
369,4.3518148E7,2016-03-20
370,4.3081696E7,2016-03-21
371,4.2645192E7,2016-03-22
372,4.2207736E7,2016-03-23
373,4.17591E7,2016-03-24
374,4.1309708E7,2016-03-25
375,4.0868488E7,2016-03-26
376,4.0434196E7,2016-03-27
377,3.9998796E7,2016-03-28
378,3.9561316E7,2016-03-29
379,3.9124676E7,2016-03-30
380,3.8689816E7,2016-03-31
381,3.82549E7,2016-04-01
382,3.782744E7,2016-04-02
383,3.7402576E7,2016-04-03
384,3.6979232E7,2016-04-04
385,3.655756E7,2016-04-05
386,3.6137664E7,2016-04-06
387,3.5716256E7,2016-04-07
388,3.5300608E7,2016-04-08
389,3.4890268E7,2016-04-09
390,3.4480552E7,2016-04-10
391,3.4059648E7,2016-04-11
392,3.3632468E7,2016-04-12
393,3.3217114E7,2016-04-13
394,3.2807524E7,2016-04-14
395,3.2406954E7,2016-04-15
396,3.2010532E7,2016-04-16
397,3.1620672E7,2016-04-17
398,3.1232424E7,2016-04-18
399,3.0845568E7,2016-04-19
400,3.0463552E7,2016-04-20
401,3.008612E7,2016-04-21
402,2.971356E7,2016-04-22
403,2.9345178E7,2016-04-23
404,2.8981866E7,2016-04-24
405,2.8623528E7,2016-04-25
406,2.8269326E7,2016-04-26
407,2.791697E7,2016-04-27
408,2.7567456E7,2016-04-28
409,2.7223532E7,2016-04-29
410,2.6882662E7,2016-04-30
411,2.6546932E7,2016-05-01
412,2.6214926E7,2016-05-02
413,2.5892636E7,2016-05-03
414,2.557454E7,2016-05-04
415,2.5258758E7,2016-05-05
416,2.4949238E7,2016-05-06
417,2.4642806E7,2016-05-07
418,2.4339486E7,2016-05-08
419,2.4042022E7,2016-05-09
420,2.3750602E7,2016-05-10
421,2.3463218E7,2016-05-11
422,2.3179086E7,2016-05-12
423,2.2896754E7,2016-05-13
424,2.261559E7,2016-05-14
425,2.2339044E7,2016-05-15
426,2.2066346E7,2016-05-16
427,2.1796518E7,2016-05-17
428,2.152827E7,2016-05-18
429,2.1261872E7,2016-05-19
430,2.0999304E7,2016-05-20
431,2.0739074E7,2016-05-21
432,2.0487224E7,2016-05-22
433,2.0240788E7,2016-05-23
434,1.9996026E7,2016-05-24
435,1.9753646E7,2016-05-25
436,1.9512612E7,2016-05-26
437,1.927576E7,2016-05-27
438,1.904637E7,2016-05-28
439,1.893633E7,2016-05-29
440,1.8966566E7,2016-05-30
441,1.8989792E7,2016-05-31
442,1.9006966E7,2016-06-01
443,1.9017434E7,2016-06-02
444,1.902575E7,2016-06-03
445,1.9029076E7,2016-06-04
446,1.9028E7,2016-06-05
447,1.9022382E7,2016-06-06
448,1.9007304E7,2016-06-07
449,1.8986522E7,2016-06-08
450,1.8957964E7,2016-06-09
451,1.892398E7,2016-06-10
452,1.8883842E7,2016-06-11
453,1.884912E7,2016-06-12
454,1.8813444E7,2016-06-13
455,1.87703E7,2016-06-14
456,1.8720902E7,2016-06-15
457,1.8673892E7,2016-06-16
458,1.8619728E7,2016-06-17
459,1.8560998E7,2016-06-18
460,1.849702E7,2016-06-19
461,1.842487E7,2016-06-20
462,1.8338132E7,2016-06-21
463,1.823745E7,2016-06-22
464,1.8136292E7,2016-06-23
465,1.8036212E7,2016-06-24
466,1.793604E7,2016-06-25
467,1.782805E7,2016-06-26
468,1.7721088E7,2016-06-27
469,1.7611328E7,2016-06-28
470,1.7497912E7,2016-06-29
471,1.7386484E7,2016-06-30
472,1.7276664E7,2016-07-01
473,1.7167834E7,2016-07-02
474,1.7055392E7,2016-07-03
475,1.6945476E7,2016-07-04
476,1.6833834E7,2016-07-05
477,1.6721933E7,2016-07-06
478,1.6603801E7,2016-07-07
479,1.6491775E7,2016-07-08
480,1.6381201E7,2016-07-09
481,1.6270142E7,2016-07-10
482,1.6158171E7,2016-07-11
483,1.6049833E7,2016-07-12
484,1.5940249E7,2016-07-13
485,1.5830563E7,2016-07-14
