Period Number,Value,Date
1,1385.38720703125,1981-07-23
2,1109.7376708984375,1981-07-24
3,942.2536010742188,1981-07-27
4,900.2666015625,1981-07-28
5,861.9840087890625,1981-07-29
6,797.6546020507812,1981-07-30
7,716.1752319335938,1981-07-31
8,626.3314819335938,1981-08-03
9,522.1559448242188,1981-08-04
10,420.6955871582031,1981-08-05
11,353.1845397949219,1981-08-06
12,414.6508483886719,1981-08-07
13,504.73870849609375,1981-08-11
14,610.3101806640625,1981-08-12
15,740.0170288085938,1981-08-13
16,891.2313232421875,1981-08-14
17,1108.8714599609375,1981-08-17
18,1371.6055908203125,1981-08-18
19,1673.078857421875,1981-08-19
20,1981.423095703125,1981-08-20
21,2303.689697265625,1981-08-21
22,2660.698486328125,1981-08-24
23,3035.409423828125,1981-08-25
24,3430.84033203125,1981-08-26
25,3889.596923828125,1981-08-27
26,4334.26708984375,1981-08-28
27,4823.84716796875,1981-08-31
28,5327.515625,1981-09-01
29,5850.70849609375,1981-09-02
30,6417.62353515625,1981-09-03
31,7013.17822265625,1981-09-04
32,7617.97998046875,1981-09-08
33,8198.0166015625,1981-09-09
34,8713.9345703125,1981-09-10
35,9160.7958984375,1981-09-11
36,9665.017578125,1981-09-14
37,10236.150390625,1981-09-15
38,10834.7314453125,1981-09-16
39,11472.912109375,1981-09-17
40,12044.642578125,1981-09-18
41,12609.1845703125,1981-09-21
42,13168.962890625,1981-09-22
43,13728.564453125,1981-09-23
44,14255.2744140625,1981-09-24
45,14934.5341796875,1981-09-25
46,15687.513671875,1981-09-28
47,16320.0087890625,1981-09-29
48,16859.87109375,1981-09-30
49,17418.1328125,1981-10-01
50,17847.369140625,1981-10-02
51,18337.794921875,1981-10-05
52,18868.767578125,1981-10-06
53,19408.107421875,1981-10-07
54,19928.33984375,1981-10-08
55,20414.640625,1981-10-09
56,20828.501953125,1981-10-12
57,21190.62890625,1981-10-13
58,21539.115234375,1981-10-14
59,21652.02734375,1981-10-15
60,21593.48828125,1981-10-16
61,21335.30859375,1981-10-19
62,20968.93359375,1981-10-20
63,20971.994140625,1981-10-21
64,20998.013671875,1981-10-22
65,21002.5234375,1981-10-23
66,20937.318359375,1981-10-26
67,20811.287109375,1981-10-27
68,20594.087890625,1981-10-28
69,20350.333984375,1981-10-29
70,20055.853515625,1981-10-30
71,19736.19140625,1981-11-02
72,19409.15234375,1981-11-03
73,19107.955078125,1981-11-04
74,18897.076171875,1981-11-05
75,18647.626953125,1981-11-06
76,18353.87109375,1981-11-09
77,17983.140625,1981-11-10
78,17554.75390625,1981-11-11
79,17078.173828125,1981-11-12
80,16720.0625,1981-11-13
81,16357.955078125,1981-11-16
82,15964.2734375,1981-11-17
83,15521.3984375,1981-11-18
84,15090.87890625,1981-11-19
85,14662.767578125,1981-11-20
86,14348.646484375,1981-11-23
87,14094.4384765625,1981-11-24
88,13810.5556640625,1981-11-25
89,13473.5146484375,1981-11-27
90,13165.4208984375,1981-11-30
91,12876.25390625,1981-12-01
92,12617.640625,1981-12-02
93,12413.65625,1981-12-03
94,12210.9755859375,1981-12-04
95,12029.5205078125,1981-12-07
96,11881.208984375,1981-12-08
97,11737.6005859375,1981-12-09
98,11603.8115234375,1981-12-10
99,11481.5390625,1981-12-11
100,11413.0419921875,1981-12-14
101,11286.80078125,1981-12-15
102,11074.916015625,1981-12-16
103,10746.314453125,1981-12-17
104,10284.62890625,1981-12-18
105,9846.2275390625,1981-12-21
106,9360.779296875,1981-12-22
107,8983.62109375,1981-12-23
108,8817.607421875,1981-12-24
