Period Number,Value,Date
1,27138.412109375,2012-09-05
2,27272.9296875,2012-09-06
3,27389.90234375,2012-09-07
4,27503.837890625,2012-09-10
5,27603.8359375,2012-09-11
6,27670.583984375,2012-09-12
7,27701.384765625,2012-09-13
8,27694.4765625,2012-09-14
9,27672.494140625,2012-09-17
10,27629.23828125,2012-09-18
11,27567.0546875,2012-09-19
12,27485.931640625,2012-09-20
13,27371.25390625,2012-09-21
14,27247.173828125,2012-09-24
15,27118.939453125,2012-09-25
16,26978.958984375,2012-09-26
17,26811.51953125,2012-09-27
18,26624.423828125,2012-09-28
19,26407.18359375,2012-10-01
20,26178.94921875,2012-10-02
21,25935.884765625,2012-10-03
22,25680.14453125,2012-10-04
23,25410.837890625,2012-10-05
24,25133.134765625,2012-10-08
25,24848.212890625,2012-10-09
26,24558.845703125,2012-10-10
27,24259.431640625,2012-10-11
28,23948.939453125,2012-10-12
29,23622.458984375,2012-10-15
30,23273.22265625,2012-10-16
31,22901.34765625,2012-10-17
32,22529.01953125,2012-10-18
33,22162.48046875,2012-10-19
34,21783.666015625,2012-10-22
35,21396.650390625,2012-10-23
36,21009.50390625,2012-10-24
37,20621.099609375,2012-10-25
38,20244.9140625,2012-10-26
39,19878.017578125,2012-10-31
40,19508.599609375,2012-11-01
41,19152.646484375,2012-11-02
42,18805.751953125,2012-11-05
43,18459.208984375,2012-11-06
44,18133.654296875,2012-11-07
45,17821.173828125,2012-11-08
46,17529.501953125,2012-11-09
47,17268.599609375,2012-11-12
48,17013.736328125,2012-11-13
49,16768.583984375,2012-11-14
50,16538.404296875,2012-11-15
51,16274.421875,2012-11-16
52,16082.369140625,2012-11-19
53,15952.791015625,2012-11-20
54,15835.02734375,2012-11-21
55,15715.1103515625,2012-11-23
56,15589.779296875,2012-11-26
57,15458.9580078125,2012-11-27
58,15336.666015625,2012-11-28
59,15190.8388671875,2012-11-29
60,15047.2099609375,2012-11-30
61,14905.3388671875,2012-12-03
62,14762.4853515625,2012-12-04
63,14618.9169921875,2012-12-05
64,14471.4814453125,2012-12-06
65,14322.3115234375,2012-12-07
66,14167.0244140625,2012-12-10
67,14013.4755859375,2012-12-11
68,13854.521484375,2012-12-12
69,13690.33203125,2012-12-13
70,13525.0,2012-12-14
71,13360.248046875,2012-12-17
72,13200.0830078125,2012-12-18
73,13046.16796875,2012-12-19
74,12889.654296875,2012-12-20
75,12733.4677734375,2012-12-21
76,12583.240234375,2012-12-24
77,12438.001953125,2012-12-26
78,12282.205078125,2012-12-27
79,12114.783203125,2012-12-28
80,11947.8447265625,2012-12-31
81,11800.40234375,2013-01-02
82,11656.8486328125,2013-01-03
83,11533.919921875,2013-01-04
84,11422.9697265625,2013-01-07
85,11313.431640625,2013-01-08
