Period Number,Value,Date
1,6858.72705078125,2014-10-16
2,7354.52099609375,2014-10-17
3,7866.84814453125,2014-10-20
4,8368.1376953125,2014-10-21
5,8922.5224609375,2014-10-22
6,9508.3740234375,2014-10-23
7,10094.3505859375,2014-10-24
8,10700.509765625,2014-10-27
9,11278.181640625,2014-10-28
10,11823.6005859375,2014-10-29
11,12332.5078125,2014-10-30
12,12759.646484375,2014-10-31
13,13138.833984375,2014-11-03
14,13511.1015625,2014-11-04
15,13795.517578125,2014-11-05
16,14017.826171875,2014-11-06
17,14142.146484375,2014-11-07
18,14218.4736328125,2014-11-10
19,14223.318359375,2014-11-11
20,14157.9755859375,2014-11-12
21,14119.5146484375,2014-11-13
22,14017.859375,2014-11-14
23,13899.41796875,2014-11-17
24,13740.388671875,2014-11-18
25,13540.001953125,2014-11-19
26,13282.65625,2014-11-20
27,13017.0556640625,2014-11-21
28,12763.5234375,2014-11-24
29,12511.9072265625,2014-11-25
30,12312.2529296875,2014-11-26
31,12160.1142578125,2014-11-28
32,11968.1552734375,2014-12-01
33,11825.333984375,2014-12-02
34,11661.513671875,2014-12-03
35,11580.291015625,2014-12-04
36,11577.4296875,2014-12-05
37,11752.591796875,2014-12-08
38,11946.041015625,2014-12-09
39,12187.685546875,2014-12-10
40,12843.796875,2014-12-11
41,13556.5517578125,2014-12-12
42,14338.0478515625,2014-12-15
43,14979.0283203125,2014-12-16
44,15575.1748046875,2014-12-17
45,16198.0107421875,2014-12-18
46,16821.232421875,2014-12-19
47,17547.234375,2014-12-22
48,18186.044921875,2014-12-23
49,18830.35546875,2014-12-24
50,19582.78125,2014-12-26
51,20310.9765625,2014-12-29
52,21062.583984375,2014-12-30
53,21782.021484375,2014-12-31
54,22380.904296875,2015-01-02
55,23157.29296875,2015-01-05
56,23958.853515625,2015-01-06
57,24797.5703125,2015-01-07
58,25671.357421875,2015-01-08
59,26447.75,2015-01-09
60,27556.216796875,2015-01-12
61,28816.328125,2015-01-13
62,30090.98828125,2015-01-14
63,31612.587890625,2015-01-15
64,33072.296875,2015-01-16
65,34694.7265625,2015-01-20
66,36261.8828125,2015-01-21
67,37928.07421875,2015-01-22
68,39598.26171875,2015-01-23
69,41217.65234375,2015-01-26
70,42783.0546875,2015-01-27
71,44517.47265625,2015-01-28
72,46294.3828125,2015-01-29
73,48039.16796875,2015-01-30
74,49638.10546875,2015-02-02
75,50832.484375,2015-02-03
76,51971.3515625,2015-02-04
77,52887.53125,2015-02-05
78,53812.62109375,2015-02-06
79,54723.1171875,2015-02-09
80,55558.34375,2015-02-10
81,56548.2890625,2015-02-11
82,57500.546875,2015-02-12
83,58476.51171875,2015-02-13
84,59274.98046875,2015-02-17
85,60032.15234375,2015-02-18
86,60733.01953125,2015-02-19
87,61518.15625,2015-02-20
88,62256.26171875,2015-02-23
89,63054.9921875,2015-02-24
90,63531.953125,2015-02-25
91,64104.58984375,2015-02-26
92,64826.59765625,2015-02-27
93,65596.9375,2015-03-02
94,66338.15625,2015-03-03
95,66990.0546875,2015-03-04
96,67596.1328125,2015-03-05
