Period Number,Value,Date
1,26.44143295288086,2011-05-17
2,17.075180053710938,2011-05-18
3,8.760380744934082,2011-05-19
4,4.131170749664307,2011-05-20
5,1.8277020454406738,2011-05-23
6,1.368201494216919,2011-05-24
7,3.257108449935913,2011-05-25
8,6.366845607757568,2011-05-26
9,8.275391578674316,2011-05-27
10,8.878769874572754,2011-05-31
11,10.372991561889648,2011-06-01
12,13.960973739624023,2011-06-02
13,17.355457305908203,2011-06-03
14,20.235740661621094,2011-06-06
15,22.60009765625,2011-06-07
16,28.45245361328125,2011-06-08
17,35.592777252197266,2011-06-09
18,45.406272888183594,2011-06-10
19,56.8560905456543,2011-06-13
20,63.44990921020508,2011-06-14
21,73.55923461914062,2011-06-15
22,81.43379974365234,2011-06-16
23,79.66986846923828,2011-06-17
24,71.54766082763672,2011-06-20
25,60.62688064575195,2011-06-21
26,53.66083908081055,2011-06-22
27,45.151371002197266,2011-06-23
28,39.760528564453125,2011-06-24
29,36.68683624267578,2011-06-27
30,32.168025970458984,2011-06-28
31,29.024829864501953,2011-06-29
32,27.780179977416992,2011-06-30
33,26.989675521850586,2011-07-01
34,25.59646224975586,2011-07-05
35,23.747554779052734,2011-07-06
36,21.549697875976562,2011-07-07
37,20.989683151245117,2011-07-08
38,19.16192054748535,2011-07-11
39,15.646316528320312,2011-07-12
40,13.916386604309082,2011-07-13
41,15.097208023071289,2011-07-14
42,14.099446296691895,2011-07-15
43,10.012635231018066,2011-07-18
44,5.565358638763428,2011-07-19
45,1.971655011177063,2011-07-20
46,0.8815221190452576,2011-07-21
47,1.3174958229064941,2011-07-22
48,2.875894069671631,2011-07-25
49,5.025022983551025,2011-07-26
50,8.04843807220459,2011-07-27
51,11.593217849731445,2011-07-28
52,15.666544914245605,2011-07-29
53,19.775232315063477,2011-08-01
54,23.456518173217773,2011-08-02
55,28.454496383666992,2011-08-03
56,41.15286636352539,2011-08-04
57,63.333656311035156,2011-08-05
58,115.8826904296875,2011-08-08
59,163.5952911376953,2011-08-09
60,192.72723388671875,2011-08-10
61,202.9802703857422,2011-08-11
62,198.101318359375,2011-08-12
63,188.84483337402344,2011-08-15
64,170.82843017578125,2011-08-16
65,148.0000762939453,2011-08-17
66,149.3568572998047,2011-08-18
67,166.2179412841797,2011-08-19
68,192.32162475585938,2011-08-22
69,208.49703979492188,2011-08-23
70,234.0859832763672,2011-08-24
71,265.0962219238281,2011-08-25
72,287.9383239746094,2011-08-26
73,311.6103820800781,2011-08-29
74,346.90643310546875,2011-08-30
75,377.4367370605469,2011-08-31
76,405.9721984863281,2011-09-01
77,428.5527038574219,2011-09-02
78,469.3814697265625,2011-09-06
79,503.5692443847656,2011-09-07
80,539.25927734375,2011-09-08
81,587.9183959960938,2011-09-09
82,641.6129150390625,2011-09-12
83,689.1465454101562,2011-09-13
84,723.3990478515625,2011-09-14
85,738.9319458007812,2011-09-15
86,745.435302734375,2011-09-16
87,741.5823364257812,2011-09-19
88,724.8173828125,2011-09-20
89,717.4800415039062,2011-09-21
90,796.4113159179688,2011-09-22
91,889.1546020507812,2011-09-23
92,960.3359375,2011-09-26
93,999.9440307617188,2011-09-27
94,1072.9814453125,2011-09-28
95,1173.1190185546875,2011-09-29
96,1264.595947265625,2011-09-30
97,1384.9075927734375,2011-10-03
98,1485.4139404296875,2011-10-04
99,1481.462158203125,2011-10-05
100,1458.584228515625,2011-10-06
101,1396.2391357421875,2011-10-07
102,1324.327392578125,2011-10-10
103,1230.8427734375,2011-10-11
104,1079.356201171875,2011-10-12
105,936.5817260742188,2011-10-13
106,787.2811279296875,2011-10-14
107,675.7054443359375,2011-10-17
108,622.129150390625,2011-10-18
109,594.0639038085938,2011-10-19
110,622.8093872070312,2011-10-20
111,622.4325561523438,2011-10-21
112,622.3906860351562,2011-10-24
113,624.9729614257812,2011-10-25
114,617.7452392578125,2011-10-26
115,603.1771850585938,2011-10-27
116,576.5882568359375,2011-10-28
117,536.4600219726562,2011-10-31
118,485.6718444824219,2011-11-01
119,428.1651611328125,2011-11-02
120,367.4147644042969,2011-11-03
121,302.8939514160156,2011-11-04
122,237.94940185546875,2011-11-07
123,176.24766540527344,2011-11-08
124,119.80660247802734,2011-11-09
125,72.76392364501953,2011-11-10
126,43.219051361083984,2011-11-11
127,23.45888900756836,2011-11-14
128,11.91788387298584,2011-11-15
129,13.626466751098633,2011-11-16
130,35.487972259521484,2011-11-17
131,58.81312561035156,2011-11-18
132,92.0025634765625,2011-11-21
133,134.56875610351562,2011-11-22
134,194.66018676757812,2011-11-23
135,249.06272888183594,2011-11-25
136,271.28961181640625,2011-11-28
137,260.20526123046875,2011-11-29
138,214.8642120361328,2011-11-30
139,204.49478149414062,2011-12-01
140,192.24014282226562,2011-12-02
141,173.8806610107422,2011-12-05
142,165.2261199951172,2011-12-06
143,161.46853637695312,2011-12-07
144,159.13807678222656,2011-12-08
145,179.06784057617188,2011-12-09
146,189.5634002685547,2011-12-12
147,186.57089233398438,2011-12-13
148,173.85125732421875,2011-12-14
149,137.39169311523438,2011-12-15
150,96.09950256347656,2011-12-16
151,68.72108459472656,2011-12-19
152,46.18257141113281,2011-12-20
153,25.1690673828125,2011-12-21
154,11.61681842803955,2011-12-22
155,2.5701818466186523,2011-12-23
