Period Number,Value,Date
1,66635.0546875,1974-06-14
2,68129.9609375,1974-06-17
3,69729.65625,1974-06-18
4,71628.65625,1974-06-19
5,73591.9609375,1974-06-20
6,75478.640625,1974-06-21
7,77475.71875,1974-06-24
8,79378.96875,1974-06-25
9,81377.671875,1974-06-26
10,83557.3828125,1974-06-27
11,85946.7578125,1974-06-28
12,88399.53125,1974-07-01
13,91022.78125,1974-07-02
14,93737.6875,1974-07-03
15,96422.015625,1974-07-05
16,99246.0546875,1974-07-08
17,102506.9140625,1974-07-09
18,106202.578125,1974-07-10
19,109690.3125,1974-07-11
20,112998.34375,1974-07-12
21,116213.5859375,1974-07-15
22,119333.9921875,1974-07-16
23,122226.59375,1974-07-17
24,124947.0078125,1974-07-18
25,127768.59375,1974-07-19
26,130801.0625,1974-07-22
27,133832.125,1974-07-23
28,136955.109375,1974-07-24
29,140290.609375,1974-07-25
30,144038.75,1974-07-26
31,147989.875,1974-07-29
32,152032.328125,1974-07-30
33,156210.328125,1974-07-31
34,160489.265625,1974-08-01
35,165218.140625,1974-08-02
36,169828.0625,1974-08-05
37,174241.796875,1974-08-06
38,178688.90625,1974-08-07
39,183267.75,1974-08-08
40,187856.0625,1974-08-09
41,192492.109375,1974-08-12
42,197376.734375,1974-08-13
43,202254.15625,1974-08-14
44,206873.109375,1974-08-15
45,211645.125,1974-08-16
46,216378.75,1974-08-19
47,221029.15625,1974-08-20
48,225809.734375,1974-08-21
49,230787.609375,1974-08-22
50,235601.34375,1974-08-23
51,240279.15625,1974-08-26
52,245071.859375,1974-08-27
53,250064.21875,1974-08-28
54,255313.546875,1974-08-29
55,260634.78125,1974-08-30
56,266250.71875,1974-09-03
57,272061.25,1974-09-04
58,277912.0625,1974-09-05
59,284095.46875,1974-09-06
60,290613.9375,1974-09-09
61,297225.875,1974-09-10
62,303979.40625,1974-09-11
63,310823.84375,1974-09-12
64,317839.21875,1974-09-13
65,324827.03125,1974-09-16
66,331452.34375,1974-09-17
67,338128.0625,1974-09-18
68,345094.375,1974-09-19
69,352142.4375,1974-09-20
70,359518.21875,1974-09-23
71,367232.28125,1974-09-24
72,375171.25,1974-09-25
73,383147.84375,1974-09-26
74,391097.5,1974-09-27
75,399154.8125,1974-09-30
76,407120.65625,1974-10-01
77,415034.5625,1974-10-02
78,422864.96875,1974-10-03
79,430898.28125,1974-10-04
80,438734.21875,1974-10-07
81,446794.53125,1974-10-08
82,454704.46875,1974-10-09
83,462042.5625,1974-10-10
84,469564.34375,1974-10-11
85,476968.96875,1974-10-14
86,484392.15625,1974-10-15
87,491825.84375,1974-10-16
88,499415.28125,1974-10-17
89,507616.5,1974-10-18
90,515350.625,1974-10-21
91,522608.46875,1974-10-22
92,529997.6875,1974-10-23
93,537596.875,1974-10-24
94,544952.375,1974-10-25
95,552450.9375,1974-10-28
96,559711.875,1974-10-29
97,566243.3125,1974-10-30
98,572112.6875,1974-10-31
99,577905.0625,1974-11-01
100,583230.4375,1974-11-04
101,588328.5,1974-11-05
102,593265.75,1974-11-06
103,597980.3125,1974-11-07
104,602639.625,1974-11-08
105,607094.9375,1974-11-11
106,611546.4375,1974-11-12
107,615842.0625,1974-11-13
108,620050.75,1974-11-14
109,624226.875,1974-11-15
110,628530.375,1974-11-18
111,632572.0,1974-11-19
112,636217.6875,1974-11-20
113,639767.1875,1974-11-21
114,643123.125,1974-11-22
115,646341.4375,1974-11-25
116,649302.0,1974-11-26
117,652474.3125,1974-11-27
118,655796.9375,1974-11-29
119,659284.0,1974-12-02
120,662980.9375,1974-12-03
121,666500.4375,1974-12-04
122,670081.875,1974-12-05
123,673464.0625,1974-12-06
124,676887.9375,1974-12-09
125,680323.125,1974-12-10
126,683674.9375,1974-12-11
127,686983.625,1974-12-12
128,690028.5,1974-12-13
129,692793.9375,1974-12-16
130,695421.9375,1974-12-17
