Period Number,Value,Date
1,51320.60546875,1971-01-06
2,49542.55859375,1971-01-07
3,47629.76171875,1971-01-08
4,45678.11328125,1971-01-11
5,43629.10546875,1971-01-12
6,41683.85546875,1971-01-13
7,39769.89453125,1971-01-14
8,38067.12109375,1971-01-15
9,36448.265625,1971-01-18
10,34955.6875,1971-01-19
11,33597.91796875,1971-01-20
12,32348.556640625,1971-01-21
13,30923.365234375,1971-01-22
14,29524.005859375,1971-01-25
15,28252.091796875,1971-01-26
16,27072.052734375,1971-01-27
17,25885.671875,1971-01-28
18,24916.775390625,1971-01-29
19,23945.169921875,1971-02-01
20,23142.583984375,1971-02-02
21,22317.10546875,1971-02-03
22,21562.04296875,1971-02-04
23,20709.6796875,1971-02-05
24,19868.791015625,1971-02-08
25,19157.978515625,1971-02-09
26,18368.982421875,1971-02-10
27,17580.2578125,1971-02-11
28,16820.642578125,1971-02-12
29,16066.076171875,1971-02-16
30,15356.5693359375,1971-02-17
31,14783.654296875,1971-02-18
32,14228.138671875,1971-02-19
33,13649.541015625,1971-02-22
34,12867.232421875,1971-02-23
35,12043.5234375,1971-02-24
36,11195.146484375,1971-02-25
37,10346.826171875,1971-02-26
38,9458.986328125,1971-03-01
39,8937.6416015625,1971-03-02
40,8637.0546875,1971-03-03
41,8414.9091796875,1971-03-04
42,8268.0166015625,1971-03-05
43,8173.96142578125,1971-03-08
44,8140.47705078125,1971-03-09
45,8162.36328125,1971-03-10
46,8231.228515625,1971-03-11
47,8348.1591796875,1971-03-12
48,8519.572265625,1971-03-15
49,8744.9521484375,1971-03-16
50,9016.4384765625,1971-03-17
51,9275.7900390625,1971-03-18
52,9516.7958984375,1971-03-19
53,9775.4853515625,1971-03-22
54,10009.7099609375,1971-03-23
55,10325.51953125,1971-03-24
56,10691.5283203125,1971-03-25
57,11066.982421875,1971-03-26
58,11453.36328125,1971-03-29
59,11888.9580078125,1971-03-30
60,12473.3408203125,1971-03-31
61,13103.384765625,1971-04-01
62,13805.70703125,1971-04-02
63,14631.1259765625,1971-04-05
64,15590.2265625,1971-04-06
65,16642.009765625,1971-04-07
66,17831.150390625,1971-04-08
67,19161.439453125,1971-04-12
68,20619.490234375,1971-04-13
69,22267.71875,1971-04-14
70,24112.47265625,1971-04-15
71,25994.423828125,1971-04-16
72,28054.564453125,1971-04-19
73,30198.87890625,1971-04-20
74,32399.765625,1971-04-21
75,34773.33203125,1971-04-22
76,37225.5703125,1971-04-23
77,39833.09765625,1971-04-26
78,42373.8515625,1971-04-27
79,45019.67578125,1971-04-28
80,47718.9921875,1971-04-29
81,50437.83984375,1971-04-30
82,53568.72265625,1971-05-03
83,56589.546875,1971-05-04
84,59913.39453125,1971-05-05
85,63123.71875,1971-05-06
86,66180.9375,1971-05-07
87,69308.6953125,1971-05-10
88,72559.5625,1971-05-11
89,76142.3359375,1971-05-12
90,79586.6640625,1971-05-13
91,83114.625,1971-05-14
92,86328.0234375,1971-05-17
93,89335.7421875,1971-05-18
94,92419.0234375,1971-05-19
95,95568.046875,1971-05-20
96,98247.453125,1971-05-21
97,100525.2578125,1971-05-24
98,102527.46875,1971-05-25
99,104370.5078125,1971-05-26
100,105682.6640625,1971-05-27
101,106971.1484375,1971-05-28
102,108256.953125,1971-06-01
103,110034.953125,1971-06-02
104,111915.2265625,1971-06-03
105,113663.2890625,1971-06-04
106,114901.578125,1971-06-07
107,115659.6171875,1971-06-08
108,116174.9375,1971-06-09
109,115935.734375,1971-06-10
110,115735.65625,1971-06-11
111,115007.640625,1971-06-14
112,114017.0234375,1971-06-15
113,112497.9375,1971-06-16
114,110594.90625,1971-06-17
115,108687.53125,1971-06-18
116,106637.390625,1971-06-21
117,104564.7109375,1971-06-22
118,102504.625,1971-06-23
119,100390.875,1971-06-24
120,97911.875,1971-06-25
121,94546.109375,1971-06-28
122,91177.484375,1971-06-29
123,87954.703125,1971-06-30
124,84259.0078125,1971-07-01
125,80347.65625,1971-07-02
126,75992.3125,1971-07-06
