Period Number,Value,Date
1,38073.4921875,2010-05-20
2,36996.23046875,2010-05-21
3,36132.0,2010-05-24
4,35316.703125,2010-05-25
5,34519.97265625,2010-05-26
6,33748.27734375,2010-05-27
7,33048.3203125,2010-05-28
8,32416.50390625,2010-06-01
9,31823.037109375,2010-06-02
10,31266.796875,2010-06-03
11,30725.732421875,2010-06-04
12,30248.560546875,2010-06-07
13,29802.041015625,2010-06-08
14,29193.8671875,2010-06-09
15,28713.0,2010-06-10
16,28199.716796875,2010-06-11
17,27623.05078125,2010-06-14
18,27109.109375,2010-06-15
19,26553.560546875,2010-06-16
20,26059.072265625,2010-06-17
21,25533.416015625,2010-06-18
22,24869.4296875,2010-06-21
23,24133.552734375,2010-06-22
24,23386.287109375,2010-06-23
25,22592.71484375,2010-06-24
26,21838.787109375,2010-06-25
27,20927.265625,2010-06-28
28,20031.435546875,2010-06-29
29,19158.783203125,2010-06-30
30,18349.166015625,2010-07-01
31,17559.814453125,2010-07-02
32,16746.810546875,2010-07-06
33,15943.1357421875,2010-07-07
34,15188.7841796875,2010-07-08
35,14422.998046875,2010-07-09
36,13660.3544921875,2010-07-12
37,12867.548828125,2010-07-13
38,12077.466796875,2010-07-14
39,11326.8916015625,2010-07-15
40,10573.87890625,2010-07-16
41,9892.3701171875,2010-07-19
42,9255.3134765625,2010-07-20
43,8703.326171875,2010-07-21
44,8210.240234375,2010-07-22
45,7735.2802734375,2010-07-23
46,7317.8125,2010-07-26
47,6915.80029296875,2010-07-27
48,6509.8251953125,2010-07-28
49,6163.0751953125,2010-07-29
50,5843.59814453125,2010-07-30
51,5570.64404296875,2010-08-02
52,5299.7451171875,2010-08-03
53,5012.2822265625,2010-08-04
54,4777.72607421875,2010-08-05
55,4561.6455078125,2010-08-06
56,4394.74560546875,2010-08-09
57,4232.43896484375,2010-08-10
58,4062.440673828125,2010-08-11
59,3869.93017578125,2010-08-12
60,3702.943115234375,2010-08-13
61,3551.689697265625,2010-08-16
62,3391.184814453125,2010-08-17
63,3250.665283203125,2010-08-18
64,3111.50146484375,2010-08-19
65,2952.189453125,2010-08-20
66,2763.0322265625,2010-08-23
67,2609.014892578125,2010-08-24
68,2471.428466796875,2010-08-25
69,2471.04296875,2010-08-26
70,2573.794921875,2010-08-27
71,2665.420654296875,2010-08-30
72,2752.551025390625,2010-08-31
73,2865.617431640625,2010-09-01
74,2989.2919921875,2010-09-02
75,3095.38623046875,2010-09-03
76,3163.40234375,2010-09-07
77,3203.6611328125,2010-09-08
78,3253.73388671875,2010-09-09
79,3334.869873046875,2010-09-10
80,3457.706298828125,2010-09-13
81,3623.34814453125,2010-09-14
82,3789.58447265625,2010-09-15
83,3987.78759765625,2010-09-16
84,4171.20654296875,2010-09-17
85,4388.4736328125,2010-09-20
86,4621.43408203125,2010-09-21
87,4877.119140625,2010-09-22
88,5103.2109375,2010-09-23
89,5331.4296875,2010-09-24
90,5556.63134765625,2010-09-27
91,5803.884765625,2010-09-28
92,6000.1982421875,2010-09-29
93,6173.013671875,2010-09-30
94,6377.94921875,2010-10-01
95,6584.03857421875,2010-10-04
96,6807.21044921875,2010-10-05
97,7016.46533203125,2010-10-06
98,7148.68701171875,2010-10-07
99,7327.56494140625,2010-10-08
100,7553.4365234375,2010-10-11
101,7820.7880859375,2010-10-12
102,8157.791015625,2010-10-13
103,8524.2353515625,2010-10-14
104,8908.5390625,2010-10-15
105,9308.697265625,2010-10-18
106,9675.9208984375,2010-10-19
107,10177.1376953125,2010-10-20
108,10699.8330078125,2010-10-21
109,11222.4423828125,2010-10-22
110,11816.6220703125,2010-10-25
111,12373.3037109375,2010-10-26
112,12966.6826171875,2010-10-27
113,13631.8125,2010-10-28
114,14358.9228515625,2010-10-29
115,15075.3076171875,2010-11-01
116,15806.216796875,2010-11-02
117,16494.341796875,2010-11-03
118,17311.458984375,2010-11-04
119,18061.173828125,2010-11-05
120,18793.599609375,2010-11-08
121,19477.623046875,2010-11-09
122,20178.8359375,2010-11-10
123,20929.4296875,2010-11-11
124,21629.6953125,2010-11-12
125,22408.013671875,2010-11-15
126,23105.255859375,2010-11-16
127,23814.44921875,2010-11-17
128,24537.099609375,2010-11-18
129,25300.388671875,2010-11-19
130,26066.861328125,2010-11-22
131,26740.107421875,2010-11-23
132,27459.451171875,2010-11-24
133,28111.22265625,2010-11-26
134,28709.904296875,2010-11-29
135,29303.94140625,2010-11-30
136,29933.201171875,2010-12-01
137,30580.5625,2010-12-02
138,31178.318359375,2010-12-03
139,31748.349609375,2010-12-06
140,32295.0625,2010-12-07
141,32817.53515625,2010-12-08
142,33232.76953125,2010-12-09
143,33610.0546875,2010-12-10
144,34126.66796875,2010-12-13
145,34587.08203125,2010-12-14
146,34929.5078125,2010-12-15
147,35249.7890625,2010-12-16
148,35517.515625,2010-12-17
149,35693.2109375,2010-12-20
150,35733.7421875,2010-12-21
151,35663.9765625,2010-12-22
152,35365.88671875,2010-12-23
153,35006.78125,2010-12-27
154,34539.40234375,2010-12-28
155,34074.27734375,2010-12-29
156,33666.79296875,2010-12-30
157,33253.85546875,2010-12-31
158,32884.4140625,2011-01-03
159,32467.693359375,2011-01-04
160,32013.94140625,2011-01-05
161,31530.423828125,2011-01-06
162,31095.70703125,2011-01-07
163,30634.37890625,2011-01-10
164,30242.208984375,2011-01-11
165,29866.869140625,2011-01-12
166,29546.73046875,2011-01-13
167,29260.228515625,2011-01-14
168,28992.337890625,2011-01-18
169,28723.53125,2011-01-19
170,28413.96484375,2011-01-20
171,28084.66796875,2011-01-21
172,27862.326171875,2011-01-24
173,27543.2109375,2011-01-25
174,27058.9453125,2011-01-26
175,26473.9765625,2011-01-27
176,25778.552734375,2011-01-28
177,25012.30078125,2011-01-31
178,24308.50390625,2011-02-01
179,23506.048828125,2011-02-02
180,22623.966796875,2011-02-03
181,21842.28125,2011-02-04
182,21197.48828125,2011-02-07
183,20581.322265625,2011-02-08
184,19697.39453125,2011-02-09
185,18794.85546875,2011-02-10
186,17899.79296875,2011-02-11
187,17202.810546875,2011-02-14
188,16514.046875,2011-02-15
189,15956.7314453125,2011-02-16
190,15382.376953125,2011-02-17
191,14928.466796875,2011-02-18
192,14420.2451171875,2011-02-22
193,13942.55859375,2011-02-23
194,13505.318359375,2011-02-24
195,13060.8125,2011-02-25
196,12573.3955078125,2011-02-28
197,12062.9013671875,2011-03-01
198,11589.3154296875,2011-03-02
199,11482.7626953125,2011-03-03
200,11605.779296875,2011-03-04
201,11722.3896484375,2011-03-07
202,11849.3330078125,2011-03-08
203,11973.3583984375,2011-03-09
204,12087.8125,2011-03-10
205,12200.3828125,2011-03-11
206,12317.994140625,2011-03-14
207,12445.0869140625,2011-03-15
