Period Number,Value,Date
1,1.7570664E7,2013-06-26
2,1.7633672E7,2013-06-27
3,1.7692658E7,2013-06-28
4,1.7749058E7,2013-07-01
5,1.7805802E7,2013-07-02
6,1.7861998E7,2013-07-03
7,1.7915422E7,2013-07-05
8,1.794267E7,2013-07-08
9,1.7980482E7,2013-07-09
10,1.8019182E7,2013-07-10
11,1.806828E7,2013-07-11
12,1.8123306E7,2013-07-12
13,1.8180436E7,2013-07-15
14,1.8234498E7,2013-07-16
15,1.8293284E7,2013-07-17
16,1.8355722E7,2013-07-18
17,1.8420348E7,2013-07-19
18,1.8483564E7,2013-07-22
19,1.8558052E7,2013-07-23
20,1.8635218E7,2013-07-24
21,1.8725514E7,2013-07-25
22,1.8822538E7,2013-07-26
23,1.8931748E7,2013-07-29
24,1.9051222E7,2013-07-30
25,1.918245E7,2013-07-31
26,1.932525E7,2013-08-01
27,1.948155E7,2013-08-02
28,1.9651976E7,2013-08-05
29,1.9843932E7,2013-08-06
30,2.0051288E7,2013-08-07
31,2.0272702E7,2013-08-08
32,2.0509612E7,2013-08-09
33,2.0761436E7,2013-08-12
34,2.099627E7,2013-08-13
35,2.1243488E7,2013-08-14
36,2.1490278E7,2013-08-15
37,2.1755588E7,2013-08-16
38,2.2027998E7,2013-08-19
39,2.2305794E7,2013-08-20
40,2.2592984E7,2013-08-21
41,2.2889552E7,2013-08-22
42,2.3194588E7,2013-08-23
43,2.3511486E7,2013-08-26
44,2.3834562E7,2013-08-27
45,2.4162766E7,2013-08-28
46,2.4495162E7,2013-08-29
47,2.4834362E7,2013-08-30
48,2.5184456E7,2013-09-03
49,2.5534062E7,2013-09-04
50,2.5883876E7,2013-09-05
51,2.6230116E7,2013-09-06
52,2.6569742E7,2013-09-09
53,2.690276E7,2013-09-10
54,2.7230284E7,2013-09-11
55,2.7556636E7,2013-09-12
56,2.787353E7,2013-09-13
57,2.819337E7,2013-09-16
58,2.849939E7,2013-09-17
59,2.8788468E7,2013-09-18
60,2.9055752E7,2013-09-19
61,2.9303652E7,2013-09-20
62,2.9531434E7,2013-09-23
63,2.9733058E7,2013-09-24
64,2.9919668E7,2013-09-25
65,3.0090528E7,2013-09-26
66,3.023667E7,2013-09-27
67,3.0378654E7,2013-09-30
68,3.0510246E7,2013-10-01
69,3.0616674E7,2013-10-02
70,3.0713488E7,2013-10-03
71,3.0797652E7,2013-10-04
72,3.08741E7,2013-10-07
73,3.0944342E7,2013-10-08
74,3.1015784E7,2013-10-09
75,3.108667E7,2013-10-10
76,3.116501E7,2013-10-11
77,3.1250776E7,2013-10-14
78,3.1343496E7,2013-10-15
79,3.1410122E7,2013-10-16
80,3.1459372E7,2013-10-17
81,3.1516976E7,2013-10-18
82,3.1572734E7,2013-10-21
83,3.1639178E7,2013-10-22
84,3.1737932E7,2013-10-23
85,3.1845152E7,2013-10-24
86,3.1956182E7,2013-10-25
87,3.2038684E7,2013-10-28
88,3.2131238E7,2013-10-29
89,3.2233346E7,2013-10-30
90,3.2325874E7,2013-10-31
91,3.2427074E7,2013-11-01
92,3.2540562E7,2013-11-04
93,3.266637E7,2013-11-05
94,3.2821836E7,2013-11-06
95,3.2977204E7,2013-11-07
96,3.3143676E7,2013-11-08
97,3.3310486E7,2013-11-11
98,3.3491814E7,2013-11-12
99,3.3672816E7,2013-11-13
100,3.3849068E7,2013-11-14
101,3.4026844E7,2013-11-15
102,3.4194312E7,2013-11-18
103,3.435978E7,2013-11-19
104,3.4555384E7,2013-11-20
105,3.4746588E7,2013-11-21
106,3.4927132E7,2013-11-22
107,3.5130584E7,2013-11-25
108,3.5352324E7,2013-11-26
109,3.5577576E7,2013-11-27
110,3.5802208E7,2013-11-29
111,3.604378E7,2013-12-02
112,3.62885E7,2013-12-03
113,3.6524548E7,2013-12-04
114,3.6738212E7,2013-12-05
