Period Number,Value,Date
1,22.0576114654541,1970-03-18
2,41.013946533203125,1970-03-19
3,58.17287063598633,1970-03-20
4,73.9602279663086,1970-03-23
5,92.48868560791016,1970-03-24
6,114.81101989746094,1970-03-25
7,138.04150390625,1970-03-26
8,165.13095092773438,1970-03-30
9,196.45411682128906,1970-03-31
10,227.0742950439453,1970-04-01
11,255.8387451171875,1970-04-02
12,288.43023681640625,1970-04-03
13,321.3079833984375,1970-04-06
14,348.6759338378906,1970-04-07
15,369.90087890625,1970-04-08
16,389.158935546875,1970-04-09
17,389.29583740234375,1970-04-10
18,377.6532287597656,1970-04-13
19,369.1183166503906,1970-04-14
20,349.2868347167969,1970-04-15
21,327.26904296875,1970-04-16
22,293.6335144042969,1970-04-17
23,262.42816162109375,1970-04-20
24,224.69361877441406,1970-04-21
25,185.55792236328125,1970-04-22
26,155.67730712890625,1970-04-23
27,139.6359405517578,1970-04-24
28,122.68939971923828,1970-04-27
29,105.52513122558594,1970-04-28
30,87.38258361816406,1970-04-29
31,70.8423843383789,1970-04-30
32,64.92813873291016,1970-05-01
33,73.17262268066406,1970-05-04
34,84.20265197753906,1970-05-05
35,78.87494659423828,1970-05-06
36,70.71385192871094,1970-05-07
37,54.61402893066406,1970-05-08
38,41.803489685058594,1970-05-11
39,47.979225158691406,1970-05-12
40,64.18561553955078,1970-05-13
41,85.0149154663086,1970-05-14
42,118.08939361572266,1970-05-15
43,153.0996856689453,1970-05-18
44,187.92823791503906,1970-05-19
45,240.96795654296875,1970-05-20
46,307.3697814941406,1970-05-21
47,391.6251525878906,1970-05-22
48,508.0935363769531,1970-05-25
49,622.51904296875,1970-05-26
50,690.190185546875,1970-05-27
51,756.8645629882812,1970-05-28
52,802.394287109375,1970-05-29
53,790.39794921875,1970-06-01
54,770.2575073242188,1970-06-02
55,765.87548828125,1970-06-03
56,748.942138671875,1970-06-04
57,735.9793090820312,1970-06-05
58,706.641357421875,1970-06-08
59,677.1318969726562,1970-06-09
60,647.1693725585938,1970-06-10
61,622.6431274414062,1970-06-11
62,603.3474731445312,1970-06-12
63,573.4933471679688,1970-06-15
64,523.5164184570312,1970-06-16
65,471.80010986328125,1970-06-17
66,421.7039489746094,1970-06-18
67,375.884521484375,1970-06-19
68,327.4577941894531,1970-06-22
69,282.4610900878906,1970-06-23
70,238.10667419433594,1970-06-24
71,197.40988159179688,1970-06-25
72,164.33856201171875,1970-06-26
73,135.67214965820312,1970-06-29
74,116.35348510742188,1970-06-30
75,110.7281265258789,1970-07-01
76,113.88233184814453,1970-07-02
77,138.30271911621094,1970-07-06
78,182.10150146484375,1970-07-07
79,230.24862670898438,1970-07-08
80,302.6039123535156,1970-07-09
81,388.3717041015625,1970-07-10
82,437.4088439941406,1970-07-13
83,519.4659423828125,1970-07-14
84,532.46728515625,1970-07-15
85,496.4323425292969,1970-07-16
86,418.7880554199219,1970-07-17
87,322.3822937011719,1970-07-20
88,215.571533203125,1970-07-21
89,123.85367584228516,1970-07-22
90,54.78915786743164,1970-07-23
91,32.848148345947266,1970-07-24
92,25.32937240600586,1970-07-27
93,38.999290466308594,1970-07-28
94,60.33292770385742,1970-07-29
95,84.8360366821289,1970-07-30
96,110.86801147460938,1970-07-31
97,135.6177978515625,1970-08-03
98,156.3671112060547,1970-08-04
99,171.34034729003906,1970-08-05
100,179.4540252685547,1970-08-06
101,181.28843688964844,1970-08-07
102,177.2367401123047,1970-08-10
103,168.4331512451172,1970-08-11
104,161.09202575683594,1970-08-12
105,152.4137420654297,1970-08-13
106,142.45008850097656,1970-08-14
107,136.51638793945312,1970-08-17
108,124.53518676757812,1970-08-18
109,116.2110824584961,1970-08-19
110,111.4371337890625,1970-08-20
111,96.32015228271484,1970-08-21
112,81.5113296508789,1970-08-24
113,72.62068176269531,1970-08-25
114,64.55809020996094,1970-08-26
115,62.54004669189453,1970-08-27
116,53.91988754272461,1970-08-28
117,46.94378662109375,1970-08-31
118,43.693443298339844,1970-09-01
119,37.71918869018555,1970-09-02
120,28.701875686645508,1970-09-03
121,15.162193298339844,1970-09-04
122,5.643313884735107,1970-09-08
123,3.6002562046051025,1970-09-09
124,9.087223052978516,1970-09-10
125,18.955476760864258,1970-09-11
126,33.73073959350586,1970-09-14
127,46.57405471801758,1970-09-15
128,59.31711959838867,1970-09-16
129,60.656341552734375,1970-09-17
130,56.12006759643555,1970-09-18
131,52.35581970214844,1970-09-21
132,49.12070083618164,1970-09-22
133,47.16275405883789,1970-09-23
134,39.96017837524414,1970-09-24
135,30.934450149536133,1970-09-25
136,25.323781967163086,1970-09-28
137,28.64790153503418,1970-09-29
138,37.74019241333008,1970-09-30
139,45.69480895996094,1970-10-01
140,58.13714599609375,1970-10-02
141,70.5882339477539,1970-10-05
142,94.17744445800781,1970-10-06
143,105.86051940917969,1970-10-07
144,113.12702178955078,1970-10-08
145,112.39698028564453,1970-10-09
146,109.18399810791016,1970-10-12
147,100.38770294189453,1970-10-13
148,98.80268859863281,1970-10-14
149,100.71063995361328,1970-10-15
150,100.50401306152344,1970-10-16
151,97.75621032714844,1970-10-19
152,93.97478485107422,1970-10-20
153,93.18177032470703,1970-10-21
154,90.28643035888672,1970-10-22
155,82.94206237792969,1970-10-23
156,74.79659271240234,1970-10-26
157,65.11615753173828,1970-10-27
158,53.769256591796875,1970-10-28
159,43.52983856201172,1970-10-29
160,39.78682327270508,1970-10-30
161,36.06297302246094,1970-11-02
162,32.232826232910156,1970-11-03
163,27.81410026550293,1970-11-04
164,22.860095977783203,1970-11-05
165,17.877220153808594,1970-11-06
166,14.032483100891113,1970-11-09
167,14.308871269226074,1970-11-10
168,17.21016502380371,1970-11-11
169,18.8642520904541,1970-11-12
170,16.485095977783203,1970-11-13
171,15.61661434173584,1970-11-16
172,16.398653030395508,1970-11-17
173,25.193687438964844,1970-11-18
174,32.80635070800781,1970-11-19
175,39.01378631591797,1970-11-20
176,49.3792610168457,1970-11-23
177,56.22308349609375,1970-11-24
178,62.7513427734375,1970-11-25
179,72.96649169921875,1970-11-27
180,81.8963394165039,1970-11-30
181,95.6050796508789,1970-12-01
182,116.6102523803711,1970-12-02
183,130.329345703125,1970-12-03
