Period Number,Value,Date
1,4985013.5,2001-03-13
2,4936608.0,2001-03-14
3,4890105.5,2001-03-15
4,4842900.5,2001-03-16
5,4796478.0,2001-03-19
6,4752466.5,2001-03-20
7,4708766.5,2001-03-21
8,4666926.0,2001-03-22
9,4625041.0,2001-03-23
10,4583677.0,2001-03-26
11,4544415.0,2001-03-27
12,4502721.0,2001-03-28
13,4460906.5,2001-03-29
14,4417645.0,2001-03-30
15,4374528.5,2001-04-02
16,4332706.5,2001-04-03
17,4289957.5,2001-04-04
18,4247765.5,2001-04-05
19,4204054.0,2001-04-06
20,4157227.25,2001-04-09
21,4107786.0,2001-04-10
22,4057195.75,2001-04-11
23,4007480.5,2001-04-12
24,3959066.0,2001-04-16
25,3911983.0,2001-04-17
26,3865594.25,2001-04-18
27,3818522.5,2001-04-19
28,3771481.25,2001-04-20
29,3725379.0,2001-04-23
30,3678663.75,2001-04-24
31,3632398.0,2001-04-25
32,3603830.5,2001-04-26
33,3578907.75,2001-04-27
34,3553838.5,2001-04-30
35,3529831.75,2001-05-01
36,3507031.5,2001-05-02
37,3484453.25,2001-05-03
38,3461808.0,2001-05-04
39,3439275.25,2001-05-07
40,3417186.5,2001-05-08
41,3393191.0,2001-05-09
42,3367797.75,2001-05-10
43,3342834.25,2001-05-11
44,3318127.5,2001-05-14
45,3293268.0,2001-05-15
46,3268901.75,2001-05-16
47,3244154.5,2001-05-17
48,3219468.25,2001-05-18
49,3194493.75,2001-05-21
50,3171637.75,2001-05-22
51,3150418.25,2001-05-23
52,3127902.5,2001-05-24
53,3105909.25,2001-05-25
54,3083239.5,2001-05-29
55,3062650.5,2001-05-30
56,3040761.5,2001-05-31
57,3018592.0,2001-06-01
58,2996502.75,2001-06-04
59,2974686.75,2001-06-05
60,2954638.25,2001-06-06
61,2936601.75,2001-06-07
62,2919758.75,2001-06-08
63,2904443.5,2001-06-11
64,2891011.75,2001-06-12
65,2877773.0,2001-06-13
66,2864538.5,2001-06-14
67,2850869.25,2001-06-15
68,2836945.0,2001-06-18
69,2823096.5,2001-06-19
70,2809957.5,2001-06-20
71,2799031.75,2001-06-21
72,2789305.5,2001-06-22
73,2780140.75,2001-06-25
74,2770983.25,2001-06-26
75,2759174.25,2001-06-27
76,2747441.0,2001-06-28
77,2735184.25,2001-06-29
78,2722943.0,2001-07-02
79,2711314.75,2001-07-03
80,2699444.25,2001-07-05
81,2686955.0,2001-07-06
82,2674976.75,2001-07-09
83,2662912.0,2001-07-10
84,2650418.0,2001-07-11
85,2637761.75,2001-07-12
86,2625730.75,2001-07-13
87,2613589.5,2001-07-16
88,2601406.0,2001-07-17
89,2587229.5,2001-07-18
90,2573824.25,2001-07-19
91,2560553.5,2001-07-20
92,2548690.25,2001-07-23
93,2538474.5,2001-07-24
94,2527453.75,2001-07-25
95,2516246.75,2001-07-26
96,2505282.5,2001-07-27
97,2494599.0,2001-07-30
98,2484381.0,2001-07-31
99,2473875.0,2001-08-01
100,2463468.75,2001-08-02
101,2451740.0,2001-08-03
102,2439671.25,2001-08-06
103,2427932.25,2001-08-07
104,2416237.75,2001-08-08
105,2404829.75,2001-08-09
106,2393047.75,2001-08-10
107,2380473.5,2001-08-13
108,2367022.0,2001-08-14
109,2352654.0,2001-08-15
110,2338621.0,2001-08-16
111,2323927.0,2001-08-17
112,2308568.75,2001-08-20
113,2293672.5,2001-08-21
114,2277787.0,2001-08-22
115,2261845.75,2001-08-23
116,2245960.5,2001-08-24
117,2230242.0,2001-08-27
118,2214325.25,2001-08-28
119,2199421.25,2001-08-29
120,2184674.25,2001-08-30
121,2169335.5,2001-08-31
122,2154440.5,2001-09-04
123,2139100.0,2001-09-05
124,2123224.25,2001-09-06
125,2107767.75,2001-09-07
126,2092438.0,2001-09-10
127,2077657.375,2001-09-17
128,2063062.875,2001-09-18
129,2048703.75,2001-09-19
130,2034921.375,2001-09-20
131,2021485.625,2001-09-21
132,2007963.625,2001-09-24
133,1994224.0,2001-09-25
134,1980412.875,2001-09-26
135,1967858.0,2001-09-27
136,1956069.875,2001-09-28
137,1943667.25,2001-10-01
138,1931163.25,2001-10-02
139,1918766.375,2001-10-03
140,1906483.625,2001-10-04
141,1894808.375,2001-10-05
142,1883040.75,2001-10-08
143,1870814.375,2001-10-09
144,1857880.75,2001-10-10
145,1844630.75,2001-10-11
146,1831975.0,2001-10-12
147,1819837.5,2001-10-15
148,1807947.625,2001-10-16
149,1796791.75,2001-10-17
150,1785784.0,2001-10-18
151,1775137.125,2001-10-19
152,1766713.25,2001-10-22
153,1758214.5,2001-10-23
154,1750759.0,2001-10-24
155,1743438.625,2001-10-25
156,1736501.0,2001-10-26
157,1729802.25,2001-10-29
158,1723486.25,2001-10-30
159,1717648.5,2001-10-31
160,1729276.5,2001-11-01
161,1747299.875,2001-11-02
162,1766335.5,2001-11-05
163,1786657.875,2001-11-06
164,1808388.0,2001-11-07
165,1832298.0,2001-11-08
166,1855914.75,2001-11-09
167,1880140.25,2001-11-12
168,1905075.5,2001-11-13
169,1930536.875,2001-11-14
170,1956692.125,2001-11-15
171,1983206.375,2001-11-16
172,2009810.25,2001-11-19
173,2036132.375,2001-11-20
174,2063195.875,2001-11-21
175,2090487.25,2001-11-23
176,2117032.0,2001-11-26
177,2143989.75,2001-11-27
178,2171519.25,2001-11-28
179,2199620.5,2001-11-29
180,2227737.5,2001-11-30
