Period Number,Value,Date
1,4048.83251953125,2011-06-30
2,3990.417724609375,2011-07-01
3,3933.904296875,2011-07-05
4,3882.2080078125,2011-07-06
5,3836.138671875,2011-07-07
6,3797.576171875,2011-07-08
7,3751.33349609375,2011-07-11
8,3701.961181640625,2011-07-12
9,3634.798583984375,2011-07-13
10,3580.904296875,2011-07-14
11,3518.67724609375,2011-07-15
12,3442.353515625,2011-07-18
13,3366.834716796875,2011-07-19
14,3293.23095703125,2011-07-20
15,3229.185302734375,2011-07-21
16,3167.206787109375,2011-07-22
17,3103.34375,2011-07-25
18,3015.900634765625,2011-07-26
19,2926.464599609375,2011-07-27
20,2848.665771484375,2011-07-28
21,2768.424072265625,2011-07-29
22,2760.25732421875,2011-08-01
23,2753.532470703125,2011-08-02
24,2720.67724609375,2011-08-03
25,2685.313232421875,2011-08-04
26,2638.93017578125,2011-08-05
27,2545.067626953125,2011-08-08
28,2492.343505859375,2011-08-09
29,2466.09765625,2011-08-10
30,2454.80712890625,2011-08-11
31,2446.986328125,2011-08-12
32,2438.729248046875,2011-08-15
33,2420.34423828125,2011-08-16
34,2415.566650390625,2011-08-17
35,2403.452880859375,2011-08-18
36,2376.270263671875,2011-08-19
37,2340.456298828125,2011-08-22
38,2316.17724609375,2011-08-23
39,2279.332763671875,2011-08-24
40,2238.423828125,2011-08-25
41,2209.0283203125,2011-08-26
42,2181.609375,2011-08-29
43,2150.98046875,2011-08-30
44,2120.153076171875,2011-08-31
45,2088.138671875,2011-09-01
46,2051.653076171875,2011-09-02
47,2013.065673828125,2011-09-06
48,1982.40966796875,2011-09-07
49,1949.152099609375,2011-09-08
50,1914.74951171875,2011-09-09
51,1872.86962890625,2011-09-12
52,1833.8382568359375,2011-09-13
53,1795.9881591796875,2011-09-14
54,1758.2213134765625,2011-09-15
55,1726.046142578125,2011-09-16
56,1696.9365234375,2011-09-19
57,1662.49755859375,2011-09-20
58,1627.7086181640625,2011-09-21
59,1588.1693115234375,2011-09-22
60,1546.2449951171875,2011-09-23
61,1500.836181640625,2011-09-26
62,1456.7310791015625,2011-09-27
63,1409.4759521484375,2011-09-28
64,1408.5458984375,2011-09-29
65,1419.1990966796875,2011-09-30
66,1441.7752685546875,2011-10-03
67,1473.8919677734375,2011-10-04
68,1503.53076171875,2011-10-05
69,1527.5753173828125,2011-10-06
70,1556.2003173828125,2011-10-07
71,1581.4071044921875,2011-10-10
72,1602.120849609375,2011-10-11
73,1618.566162109375,2011-10-12
74,1628.91650390625,2011-10-13
75,1636.3896484375,2011-10-14
76,1637.1829833984375,2011-10-17
77,1632.59228515625,2011-10-18
78,1622.523681640625,2011-10-19
79,1608.44091796875,2011-10-20
80,1588.8895263671875,2011-10-21
81,1565.434814453125,2011-10-24
82,1543.822509765625,2011-10-25
83,1515.09716796875,2011-10-26
84,1489.0367431640625,2011-10-27
85,1460.6387939453125,2011-10-28
86,1430.955810546875,2011-10-31
87,1402.30517578125,2011-11-01
88,1369.283203125,2011-11-02
89,1333.698486328125,2011-11-03
90,1294.9676513671875,2011-11-04
91,1252.654541015625,2011-11-07
92,1204.3994140625,2011-11-08
93,1156.9296875,2011-11-09
94,1102.5391845703125,2011-11-10
95,1045.517822265625,2011-11-11
96,979.6558227539062,2011-11-14
97,914.6100463867188,2011-11-15
98,851.025146484375,2011-11-16
99,787.6530151367188,2011-11-17
100,723.7640380859375,2011-11-18
101,668.235595703125,2011-11-21
102,618.9744873046875,2011-11-22
103,574.7787475585938,2011-11-23
104,534.2323608398438,2011-11-25
105,493.6107177734375,2011-11-28
106,450.8943786621094,2011-11-29
107,407.5724792480469,2011-11-30
108,363.77142333984375,2011-12-01
109,321.0257873535156,2011-12-02
110,277.90679931640625,2011-12-05
111,234.8569793701172,2011-12-06
112,195.26248168945312,2011-12-07
113,159.6267852783203,2011-12-08
114,126.50714874267578,2011-12-09
115,97.27191162109375,2011-12-12
116,73.01029968261719,2011-12-13
117,64.77448272705078,2011-12-14
118,57.10004806518555,2011-12-15
119,49.46038055419922,2011-12-16
120,43.956905364990234,2011-12-19
121,46.649845123291016,2011-12-20
122,59.710052490234375,2011-12-21
123,75.90885162353516,2011-12-22
124,93.95928955078125,2011-12-23
125,113.78630828857422,2011-12-27
126,139.9358367919922,2011-12-28
127,163.70716857910156,2011-12-29
128,184.92127990722656,2011-12-30
129,223.85699462890625,2012-01-03
130,272.5921630859375,2012-01-04
131,330.2213439941406,2012-01-05
132,394.1881408691406,2012-01-06
133,461.6905212402344,2012-01-09
134,532.0379028320312,2012-01-10
135,615.3097534179688,2012-01-11
136,701.6314697265625,2012-01-12
137,796.2680053710938,2012-01-13
138,902.1640625,2012-01-17
139,1016.8307495117188,2012-01-18
140,1137.4615478515625,2012-01-19
141,1260.253662109375,2012-01-20
142,1388.3526611328125,2012-01-23
143,1515.475830078125,2012-01-24
144,1650.0469970703125,2012-01-25
145,1779.7158203125,2012-01-26
146,1892.003173828125,2012-01-27
147,2007.970703125,2012-01-30
148,2117.285888671875,2012-01-31
149,2224.93310546875,2012-02-01
150,2331.184814453125,2012-02-02
151,2434.37060546875,2012-02-03
152,2524.06103515625,2012-02-06
153,2620.3291015625,2012-02-07
154,2722.865478515625,2012-02-08
155,2822.325927734375,2012-02-09
156,2932.2041015625,2012-02-10
