Period Number,Value,Date
1,6.7004124E7,1998-02-02
2,6.650822E7,1998-02-03
3,6.6009724E7,1998-02-04
4,6.5505556E7,1998-02-05
5,6.4994344E7,1998-02-06
6,6.4479088E7,1998-02-09
7,6.3946508E7,1998-02-10
8,6.3404924E7,1998-02-11
9,6.2883148E7,1998-02-12
10,6.2363112E7,1998-02-13
11,6.1838876E7,1998-02-17
12,6.1301248E7,1998-02-18
13,6.0765712E7,1998-02-19
14,6.0249028E7,1998-02-20
15,5.9723076E7,1998-02-23
16,5.9203796E7,1998-02-24
17,5.868814E7,1998-02-25
18,5.8174888E7,1998-02-26
19,5.7681108E7,1998-02-27
20,5.7189928E7,1998-03-02
21,5.6697812E7,1998-03-03
22,5.6207912E7,1998-03-04
23,5.5722164E7,1998-03-05
24,5.5227784E7,1998-03-06
25,5.4729252E7,1998-03-09
26,5.4232428E7,1998-03-10
27,5.3720008E7,1998-03-11
28,5.3213144E7,1998-03-12
29,5.2705876E7,1998-03-13
30,5.2668044E7,1998-03-16
31,5.2638344E7,1998-03-17
32,5.2603644E7,1998-03-18
33,5.257602E7,1998-03-19
34,5.2545988E7,1998-03-20
35,5.2523092E7,1998-03-23
36,5.2503272E7,1998-03-24
37,5.2485196E7,1998-03-25
38,5.2468492E7,1998-03-26
39,5.24482E7,1998-03-27
40,5.2423348E7,1998-03-30
41,5.24056E7,1998-03-31
42,5.2391724E7,1998-04-01
43,5.2381544E7,1998-04-02
44,5.2362812E7,1998-04-03
45,5.2345444E7,1998-04-06
46,5.2315848E7,1998-04-07
47,5.22932E7,1998-04-08
48,5.2275552E7,1998-04-09
49,5.2268736E7,1998-04-13
50,5.2254652E7,1998-04-14
51,5.2246752E7,1998-04-15
52,5.223194E7,1998-04-16
53,5.2225244E7,1998-04-17
54,5.2219028E7,1998-04-20
55,5.2210964E7,1998-04-21
56,5.2203676E7,1998-04-22
57,5.2180744E7,1998-04-23
58,5.2151172E7,1998-04-24
59,5.2125444E7,1998-04-27
60,5.2095448E7,1998-04-28
61,5.2060744E7,1998-04-29
62,5.2030928E7,1998-04-30
63,5.1991928E7,1998-05-01
64,5.1967816E7,1998-05-04
65,5.1948976E7,1998-05-05
66,5.195822E7,1998-05-06
67,5.1961516E7,1998-05-07
68,5.1956844E7,1998-05-08
69,5.1966556E7,1998-05-11
70,5.1983764E7,1998-05-12
71,5.1978172E7,1998-05-13
72,5.1982692E7,1998-05-14
73,5.1988832E7,1998-05-15
74,5.2002588E7,1998-05-18
75,5.1997928E7,1998-05-19
76,5.1974268E7,1998-05-20
77,5.1959872E7,1998-05-21
78,5.1950184E7,1998-05-22
79,5.19345E7,1998-05-26
80,5.1918344E7,1998-05-27
81,5.1918468E7,1998-05-28
82,5.1931004E7,1998-05-29
83,5.1946004E7,1998-06-01
84,5.1946284E7,1998-06-02
85,5.1955008E7,1998-06-03
86,5.1950644E7,1998-06-04
87,5.1952476E7,1998-06-05
88,5.1960392E7,1998-06-08
89,5.194114E7,1998-06-09
90,5.193952E7,1998-06-10
91,5.1927204E7,1998-06-11
92,5.1913296E7,1998-06-12
93,5.1886892E7,1998-06-15
94,5.1877244E7,1998-06-16
95,5.1879288E7,1998-06-17
96,5.1891808E7,1998-06-18
97,5.1905376E7,1998-06-19
98,5.190912E7,1998-06-22
99,5.191646E7,1998-06-23
100,5.193732E7,1998-06-24
101,5.196222E7,1998-06-25
102,5.2011224E7,1998-06-26
103,5.2060904E7,1998-06-29
104,5.2103624E7,1998-06-30
105,5.213886E7,1998-07-01
106,5.2177048E7,1998-07-02
107,5.2214324E7,1998-07-06
108,5.2247464E7,1998-07-07
109,5.2283764E7,1998-07-08
110,5.2333936E7,1998-07-09
111,5.2365016E7,1998-07-10
112,5.2418744E7,1998-07-13
113,5.2460088E7,1998-07-14
114,5.248982E7,1998-07-15
115,5.2520556E7,1998-07-16
116,5.2552056E7,1998-07-17
117,5.2584628E7,1998-07-20
118,5.2636044E7,1998-07-21
119,5.269038E7,1998-07-22
120,5.2730368E7,1998-07-23
121,5.2785332E7,1998-07-24
122,5.2836252E7,1998-07-27
123,5.2878368E7,1998-07-28
124,5.2936896E7,1998-07-29
125,5.2996896E7,1998-07-30
126,5.304518E7,1998-07-31
127,5.3101812E7,1998-08-03
128,5.314566E7,1998-08-04
129,5.3184312E7,1998-08-05
130,5.3230528E7,1998-08-06
131,5.329186E7,1998-08-07
132,5.3328864E7,1998-08-10
133,5.337508E7,1998-08-11
134,5.3419484E7,1998-08-12
135,5.3469556E7,1998-08-13
136,5.3523788E7,1998-08-14
137,5.3584196E7,1998-08-17
138,5.3644904E7,1998-08-18
139,5.3698484E7,1998-08-19
140,5.37629E7,1998-08-20
141,5.382526E7,1998-08-21
142,5.3868812E7,1998-08-24
143,5.3927328E7,1998-08-25
144,5.398646E7,1998-08-26
145,5.4039168E7,1998-08-27
146,5.409424E7,1998-08-28
147,5.4140752E7,1998-08-31
148,5.4182456E7,1998-09-01
149,5.4220604E7,1998-09-02
150,5.4245164E7,1998-09-03
151,5.441524E7,1998-09-04
152,5.50127E7,1998-09-08
153,5.5606468E7,1998-09-09
154,5.6157456E7,1998-09-10
155,5.6738116E7,1998-09-11
156,5.7315716E7,1998-09-14
157,5.79133E7,1998-09-15
158,5.8521784E7,1998-09-16
159,5.9120948E7,1998-09-17
160,5.9729264E7,1998-09-18
161,6.0347444E7,1998-09-21
162,6.0981404E7,1998-09-22
163,6.1618136E7,1998-09-23
164,6.2251944E7,1998-09-24
165,6.28908E7,1998-09-25
166,6.3558484E7,1998-09-28
167,6.420884E7,1998-09-29
168,6.48567E7,1998-09-30
169,6.5526076E7,1998-10-01
170,6.619084E7,1998-10-02
171,6.6863592E7,1998-10-05
172,6.7560608E7,1998-10-06
173,6.827564E7,1998-10-07
174,6.9006456E7,1998-10-08
175,6.9735072E7,1998-10-09
176,7.0469968E7,1998-10-12
177,7.1202928E7,1998-10-13
178,7.1959E7,1998-10-14
179,7.2703176E7,1998-10-15
180,7.3467464E7,1998-10-16
181,7.4215464E7,1998-10-19
182,7.493376E7,1998-10-20
183,7.5675784E7,1998-10-21
184,7.63898E7,1998-10-22
185,7.7121392E7,1998-10-23
186,7.781532E7,1998-10-26
187,7.8509104E7,1998-10-27
188,7.9223384E7,1998-10-28
189,7.9922512E7,1998-10-29
190,8.0636528E7,1998-10-30
191,8.1320736E7,1998-11-02
192,8.198248E7,1998-11-03
193,8.2645408E7,1998-11-04
194,8.3331328E7,1998-11-05
195,8.4006984E7,1998-11-06
196,8.4681032E7,1998-11-09
197,8.533488E7,1998-11-10
198,8.5983672E7,1998-11-11
199,8.663504E7,1998-11-12
200,8.7279776E7,1998-11-13
201,8.7930264E7,1998-11-16
202,8.8569496E7,1998-11-17
203,8.918864E7,1998-11-18
204,8.9802872E7,1998-11-19
205,9.0423848E7,1998-11-20
206,9.1032696E7,1998-11-23
207,9.165792E7,1998-11-24
208,9.224772E7,1998-11-25
209,9.286968E7,1998-11-27
210,9.3499768E7,1998-11-30
211,9.4144744E7,1998-12-01
212,9.4766392E7,1998-12-02
213,9.5422008E7,1998-12-03
214,9.6076392E7,1998-12-04
215,9.6715808E7,1998-12-07
216,9.7364528E7,1998-12-08
217,9.8011904E7,1998-12-09
218,9.866344E7,1998-12-10
219,9.9317936E7,1998-12-11
220,9.9977768E7,1998-12-14
221,1.00644408E8,1998-12-15
222,1.01306632E8,1998-12-16
223,1.01951568E8,1998-12-17
224,1.02620024E8,1998-12-18
225,1.0329584E8,1998-12-21
226,1.03964928E8,1998-12-22
227,1.04638144E8,1998-12-23
228,1.05317424E8,1998-12-24
229,1.06006744E8,1998-12-28
230,1.06727512E8,1998-12-29
231,1.07453592E8,1998-12-30
232,1.0815548E8,1998-12-31
233,1.08863152E8,1999-01-04
234,1.09559784E8,1999-01-05
235,1.10208664E8,1999-01-06
236,1.10882128E8,1999-01-07
237,1.11534992E8,1999-01-08
238,1.12143816E8,1999-01-11
239,1.12734456E8,1999-01-12
240,1.13340408E8,1999-01-13
241,1.13924936E8,1999-01-14
242,1.14502488E8,1999-01-15
243,1.15062288E8,1999-01-19
244,1.15628312E8,1999-01-20
245,1.16204824E8,1999-01-21
246,1.16775376E8,1999-01-22
247,1.173914E8,1999-01-25
248,1.18004472E8,1999-01-26
249,1.18625632E8,1999-01-27
250,1.19257968E8,1999-01-28
251,1.19914144E8,1999-01-29
252,1.20564048E8,1999-02-01
253,1.21194136E8,1999-02-02
254,1.2180656E8,1999-02-03
255,1.22429776E8,1999-02-04
256,1.23070208E8,1999-02-05
257,1.23715632E8,1999-02-08
258,1.24376544E8,1999-02-09
259,1.25010768E8,1999-02-10
260,1.25660216E8,1999-02-11
261,1.26303168E8,1999-02-12
262,1.26927928E8,1999-02-16
263,1.27530976E8,1999-02-17
264,1.28122848E8,1999-02-18
265,1.2872056E8,1999-02-19
266,1.29330088E8,1999-02-22
267,1.29941856E8,1999-02-23
268,1.30517184E8,1999-02-24
269,1.31082296E8,1999-02-25
270,1.31665576E8,1999-02-26
271,1.32226184E8,1999-03-01
272,1.32773672E8,1999-03-02
273,1.33297344E8,1999-03-03
274,1.3379216E8,1999-03-04
275,1.3429088E8,1999-03-05
276,1.34737904E8,1999-03-08
277,1.3519488E8,1999-03-09
278,1.3562184E8,1999-03-10
279,1.36021024E8,1999-03-11
280,1.36410112E8,1999-03-12
281,1.36808224E8,1999-03-15
282,1.37199648E8,1999-03-16
283,1.37603712E8,1999-03-17
284,1.38002336E8,1999-03-18
285,1.38366976E8,1999-03-19
286,1.387104E8,1999-03-22
287,1.39056224E8,1999-03-23
288,1.39389216E8,1999-03-24
289,1.39718704E8,1999-03-25
290,1.40037808E8,1999-03-26
291,1.40346224E8,1999-03-29
292,1.40681856E8,1999-03-30
293,1.41021968E8,1999-03-31
294,1.4135784E8,1999-04-01
295,1.41711152E8,1999-04-05
296,1.42092256E8,1999-04-06
297,1.42481728E8,1999-04-07
298,1.42835936E8,1999-04-08
299,1.43211328E8,1999-04-09
300,1.4359184E8,1999-04-12
301,1.43966912E8,1999-04-13
302,1.4434352E8,1999-04-14
303,1.44719632E8,1999-04-15
304,1.44996496E8,1999-04-16
305,1.45270672E8,1999-04-19
306,1.45556256E8,1999-04-20
307,1.45846E8,1999-04-21
308,1.46136016E8,1999-04-22
309,1.46402464E8,1999-04-23
310,1.4667992E8,1999-04-26
311,1.46911136E8,1999-04-27
312,1.47131008E8,1999-04-28
313,1.47296272E8,1999-04-29
314,1.47461632E8,1999-04-30
315,1.47592544E8,1999-05-03
316,1.47716288E8,1999-05-04
317,1.47852336E8,1999-05-05
318,1.47996352E8,1999-05-06
319,1.48146144E8,1999-05-07
320,1.48289024E8,1999-05-10
321,1.48430816E8,1999-05-11
322,1.48587024E8,1999-05-12
323,1.48696128E8,1999-05-13
324,1.48792528E8,1999-05-14
325,1.48868352E8,1999-05-17
326,1.4891592E8,1999-05-18
327,1.48938624E8,1999-05-19
328,1.48919936E8,1999-05-20
329,1.4890992E8,1999-05-21
330,1.4888248E8,1999-05-24
331,1.48856384E8,1999-05-25
332,1.48814832E8,1999-05-26
333,1.487348E8,1999-05-27
334,1.48627088E8,1999-05-28
335,1.48499664E8,1999-06-01
336,1.48339376E8,1999-06-02
337,1.48167808E8,1999-06-03
338,1.47983344E8,1999-06-04
339,1.47787616E8,1999-06-07
340,1.47591168E8,1999-06-08
341,1.47389296E8,1999-06-09
342,1.47183696E8,1999-06-10
343,1.46976912E8,1999-06-11
344,1.46755648E8,1999-06-14
345,1.46526464E8,1999-06-15
346,1.4628584E8,1999-06-16
347,1.46036592E8,1999-06-17
348,1.45760896E8,1999-06-18
349,1.45497792E8,1999-06-21
350,1.4522224E8,1999-06-22
351,1.44915728E8,1999-06-23
352,1.4458168E8,1999-06-24
353,1.44238144E8,1999-06-25
354,1.43868944E8,1999-06-28
355,1.4347888E8,1999-06-29
356,1.43058512E8,1999-06-30
357,1.42626384E8,1999-07-01
358,1.42170256E8,1999-07-02
359,1.41702944E8,1999-07-06
360,1.4121312E8,1999-07-07
361,1.40711968E8,1999-07-08
362,1.40194992E8,1999-07-09
363,1.39669232E8,1999-07-12
364,1.39139712E8,1999-07-13
365,1.3863176E8,1999-07-14
366,1.38113696E8,1999-07-15
367,1.37587248E8,1999-07-16
368,1.37036064E8,1999-07-19
369,1.36493472E8,1999-07-20
370,1.3593704E8,1999-07-21
371,1.3535952E8,1999-07-22
372,1.3474248E8,1999-07-23
373,1.34101624E8,1999-07-26
374,1.33455296E8,1999-07-27
375,1.32792576E8,1999-07-28
376,1.32124736E8,1999-07-29
377,1.3144152E8,1999-07-30
378,1.30772232E8,1999-08-02
379,1.30103328E8,1999-08-03
380,1.2939116E8,1999-08-04
381,1.28671328E8,1999-08-05
382,1.2793212E8,1999-08-06
383,1.27177144E8,1999-08-09
384,1.26408128E8,1999-08-10
385,1.25625032E8,1999-08-11
386,1.24835776E8,1999-08-12
387,1.24054272E8,1999-08-13
388,1.23259552E8,1999-08-16
389,1.22464216E8,1999-08-17
390,1.21661888E8,1999-08-18
391,1.20853416E8,1999-08-19
392,1.20052624E8,1999-08-20
393,1.19230216E8,1999-08-23
394,1.18405816E8,1999-08-24
395,1.1758708E8,1999-08-25
396,1.16776128E8,1999-08-26
397,1.15942816E8,1999-08-27
398,1.15092424E8,1999-08-30
399,1.14233176E8,1999-08-31
400,1.13356728E8,1999-09-01
401,1.12484032E8,1999-09-02
402,1.11613752E8,1999-09-03
403,1.10720472E8,1999-09-07
404,1.09815528E8,1999-09-08
405,1.08898824E8,1999-09-09
406,1.07982096E8,1999-09-10
407,1.07069896E8,1999-09-13
408,1.06181632E8,1999-09-14
409,1.05294744E8,1999-09-15
410,1.04412256E8,1999-09-16
411,1.03530496E8,1999-09-17
412,1.02661376E8,1999-09-20
413,1.01808096E8,1999-09-21
414,1.0096184E8,1999-09-22
415,1.00105592E8,1999-09-23
416,9.9263064E7,1999-09-24
417,9.8418216E7,1999-09-27
418,9.757596E7,1999-09-28
419,9.6728696E7,1999-09-29
420,9.5874328E7,1999-09-30
421,9.5035448E7,1999-10-01
422,9.4216448E7,1999-10-04
423,9.3411472E7,1999-10-05
424,9.2627656E7,1999-10-06
425,9.1858912E7,1999-10-07
426,9.1108408E7,1999-10-08
427,9.036848E7,1999-10-11
428,8.963104E7,1999-10-12
429,8.8912696E7,1999-10-13
430,8.8197736E7,1999-10-14
431,8.7488856E7,1999-10-15
432,8.6790496E7,1999-10-18
433,8.6104072E7,1999-10-19
434,8.5434328E7,1999-10-20
435,8.4769472E7,1999-10-21
436,8.4125232E7,1999-10-22
437,8.3482648E7,1999-10-25
438,8.2852736E7,1999-10-26
439,8.222212E7,1999-10-27
440,8.159836E7,1999-10-28
441,8.0978976E7,1999-10-29
442,8.0377152E7,1999-11-01
443,7.9783944E7,1999-11-02
444,7.9199024E7,1999-11-03
445,7.8621816E7,1999-11-04
446,7.805848E7,1999-11-05
447,7.7506952E7,1999-11-08
