Period Number,Value,Date
1,130.18553161621094,1990-04-25
2,124.69829559326172,1990-04-26
3,123.82722473144531,1990-04-27
4,122.28388977050781,1990-04-30
5,120.77779388427734,1990-05-01
6,125.6893310546875,1990-05-02
7,126.60482788085938,1990-05-03
8,137.8443145751953,1990-05-04
9,143.42807006835938,1990-05-07
10,145.39077758789062,1990-05-08
11,162.41256713867188,1990-05-09
12,183.96783447265625,1990-05-10
13,200.43844604492188,1990-05-11
14,191.17120361328125,1990-05-14
15,178.47476196289062,1990-05-15
16,154.57273864746094,1990-05-16
17,131.540283203125,1990-05-17
18,117.66056060791016,1990-05-18
19,121.697509765625,1990-05-21
20,123.6891098022461,1990-05-22
21,123.0824966430664,1990-05-23
22,119.3556137084961,1990-05-24
23,117.89229583740234,1990-05-25
24,126.48995208740234,1990-05-29
25,134.22018432617188,1990-05-30
26,147.5251922607422,1990-05-31
27,157.90771484375,1990-06-01
28,158.7809295654297,1990-06-04
29,144.53135681152344,1990-06-05
30,124.12960052490234,1990-06-06
31,100.91171264648438,1990-06-07
32,82.31507873535156,1990-06-08
33,68.43704223632812,1990-06-11
34,75.54195404052734,1990-06-12
35,84.8386459350586,1990-06-13
36,98.98704528808594,1990-06-14
37,111.4356460571289,1990-06-15
38,135.355224609375,1990-06-18
39,168.2325897216797,1990-06-19
40,207.51051330566406,1990-06-20
41,254.6029052734375,1990-06-21
42,299.4289855957031,1990-06-22
43,339.767333984375,1990-06-25
44,374.3175964355469,1990-06-26
45,400.6801452636719,1990-06-27
46,418.4349060058594,1990-06-28
47,425.987548828125,1990-06-29
48,434.9861145019531,1990-07-02
49,437.1027526855469,1990-07-03
50,433.5104675292969,1990-07-05
51,416.1278076171875,1990-07-06
52,387.1094055175781,1990-07-09
53,363.7748107910156,1990-07-10
54,346.73895263671875,1990-07-11
55,318.3070068359375,1990-07-12
56,299.5689697265625,1990-07-13
57,282.5191650390625,1990-07-16
58,266.9440002441406,1990-07-17
59,251.11517333984375,1990-07-18
60,223.5349884033203,1990-07-19
61,202.18099975585938,1990-07-20
62,169.84735107421875,1990-07-23
63,142.725830078125,1990-07-24
64,116.84361267089844,1990-07-25
65,89.27803039550781,1990-07-26
66,70.05927276611328,1990-07-27
67,50.643104553222656,1990-07-30
68,46.36613082885742,1990-07-31
69,47.82950210571289,1990-08-01
70,55.124027252197266,1990-08-02
71,66.01385498046875,1990-08-03
72,77.09635162353516,1990-08-06
73,79.17588806152344,1990-08-07
74,74.20206451416016,1990-08-08
75,76.06165313720703,1990-08-09
76,73.99547576904297,1990-08-10
77,68.64669036865234,1990-08-13
78,60.814090728759766,1990-08-14
79,53.98344039916992,1990-08-15
80,44.80236053466797,1990-08-16
81,40.98334884643555,1990-08-17
82,38.80219650268555,1990-08-20
83,35.682106018066406,1990-08-21
84,34.702362060546875,1990-08-22
85,34.03886413574219,1990-08-23
86,36.82082748413086,1990-08-24
87,41.92428970336914,1990-08-27
88,47.15239715576172,1990-08-28
89,51.77867126464844,1990-08-29
90,55.564971923828125,1990-08-30
91,58.22652816772461,1990-08-31
92,59.65043640136719,1990-09-04
93,67.08303833007812,1990-09-05
94,77.18040466308594,1990-09-06
95,91.54713439941406,1990-09-07
96,98.0496597290039,1990-09-10
97,105.8390121459961,1990-09-11
98,113.37307739257812,1990-09-12
99,125.1196517944336,1990-09-13
100,132.20925903320312,1990-09-14
101,135.15968322753906,1990-09-17
102,134.35153198242188,1990-09-18
103,133.93280029296875,1990-09-19
104,132.59739685058594,1990-09-20
105,131.7935333251953,1990-09-21
106,133.4026641845703,1990-09-24
107,130.16409301757812,1990-09-25
108,132.380615234375,1990-09-26
109,138.4333953857422,1990-09-27
110,146.31411743164062,1990-09-28
111,149.85598754882812,1990-10-01
112,143.09622192382812,1990-10-02
113,138.5591278076172,1990-10-03
114,129.9216766357422,1990-10-04
115,114.35246276855469,1990-10-05
116,104.50341796875,1990-10-08
117,85.97325897216797,1990-10-09
118,71.01366424560547,1990-10-10
119,67.61483001708984,1990-10-11
120,72.88976287841797,1990-10-12
121,76.9506607055664,1990-10-15
122,79.33361053466797,1990-10-16
123,79.44524383544922,1990-10-17
124,77.46975708007812,1990-10-18
125,73.10986328125,1990-10-19
126,66.95043182373047,1990-10-22
127,59.177635192871094,1990-10-23
128,50.6435432434082,1990-10-24
129,41.24554443359375,1990-10-25
130,31.71769905090332,1990-10-26
131,22.567522048950195,1990-10-29
132,14.735498428344727,1990-10-30
133,8.396279335021973,1990-10-31
134,3.750741958618164,1990-11-01
135,0.9460596442222595,1990-11-02
136,0.19755448400974274,1990-11-05
137,1.8622584342956543,1990-11-06
138,4.470077991485596,1990-11-07
139,7.2650556564331055,1990-11-08
140,11.41541862487793,1990-11-09
141,16.558134078979492,1990-11-12
142,23.298377990722656,1990-11-13
143,28.544801712036133,1990-11-14
144,32.64625930786133,1990-11-15
145,36.453216552734375,1990-11-16
146,40.722328186035156,1990-11-19
147,44.34299850463867,1990-11-20
148,46.90943145751953,1990-11-21
149,48.52299499511719,1990-11-23
150,49.16446304321289,1990-11-26
151,48.808406829833984,1990-11-27
152,47.08805465698242,1990-11-28
153,44.42293167114258,1990-11-29
154,41.12077331542969,1990-11-30
155,36.90610122680664,1990-12-03
156,31.80962562561035,1990-12-04
157,28.60607147216797,1990-12-05
158,27.39002799987793,1990-12-06
159,28.24976348876953,1990-12-07
160,34.43352508544922,1990-12-10
161,40.86802291870117,1990-12-11
162,48.017066955566406,1990-12-12
163,56.94759750366211,1990-12-13
164,67.52339172363281,1990-12-14
165,75.60750579833984,1990-12-17
166,76.60121154785156,1990-12-18
167,80.94727325439453,1990-12-19
168,81.28506469726562,1990-12-20
169,82.40744018554688,1990-12-21
170,79.63493347167969,1990-12-24
171,80.52337646484375,1990-12-26
172,79.48963165283203,1990-12-27
173,66.7818374633789,1990-12-28
174,58.21018981933594,1990-12-31
175,52.429901123046875,1991-01-02
176,49.66472244262695,1991-01-03
177,43.867000579833984,1991-01-04
178,46.8760986328125,1991-01-07
179,51.057132720947266,1991-01-08
180,60.22233200073242,1991-01-09
181,71.485595703125,1991-01-10
182,89.99750518798828,1991-01-11
183,111.33995819091797,1991-01-14
184,136.1680908203125,1991-01-15
185,167.5618896484375,1991-01-16
186,195.10324096679688,1991-01-17
187,223.4969940185547,1991-01-18
188,262.685791015625,1991-01-21
189,307.43585205078125,1991-01-22
190,341.02227783203125,1991-01-23
191,373.39410400390625,1991-01-24
192,399.5166320800781,1991-01-25
193,428.2574462890625,1991-01-28
194,459.70965576171875,1991-01-29
195,473.8882141113281,1991-01-30
196,488.8555603027344,1991-01-31
197,499.23858642578125,1991-02-01
198,504.6070861816406,1991-02-04
199,504.4152526855469,1991-02-05
200,498.80059814453125,1991-02-06
201,470.6509704589844,1991-02-07
202,425.38128662109375,1991-02-08
203,366.6575012207031,1991-02-11
204,328.9480285644531,1991-02-12
205,293.2533874511719,1991-02-13
206,277.9151306152344,1991-02-14
207,275.0503234863281,1991-02-15
208,268.0335998535156,1991-02-19
209,256.66802978515625,1991-02-20
210,240.956298828125,1991-02-21
211,221.2138671875,1991-02-22
212,197.77801513671875,1991-02-25
213,170.19886779785156,1991-02-26
214,141.84365844726562,1991-02-27
215,112.11285400390625,1991-02-28
216,83.06514739990234,1991-03-01
217,68.04112243652344,1991-03-04
218,51.86909866333008,1991-03-05
219,40.922767639160156,1991-03-06
220,26.195077896118164,1991-03-07
221,18.288780212402344,1991-03-08
222,22.157665252685547,1991-03-11
223,35.24934005737305,1991-03-12
224,51.319889068603516,1991-03-13
225,79.15961456298828,1991-03-14
226,112.12338256835938,1991-03-15
227,146.81201171875,1991-03-18
228,184.2513427734375,1991-03-19
229,227.9115447998047,1991-03-20
230,259.90240478515625,1991-03-21
231,292.30035400390625,1991-03-22
232,326.03076171875,1991-03-25
233,355.32830810546875,1991-03-26
234,363.70172119140625,1991-03-27
235,367.1445007324219,1991-03-28
236,367.32220458984375,1991-04-01
237,359.7042236328125,1991-04-02
238,344.916259765625,1991-04-03
239,322.9849548339844,1991-04-04
240,310.2049255371094,1991-04-05
241,300.6532287597656,1991-04-08
242,295.4493408203125,1991-04-09
243,291.37579345703125,1991-04-10
244,295.64404296875,1991-04-11
245,295.459716796875,1991-04-12
246,300.1184387207031,1991-04-15
247,315.46331787109375,1991-04-16
248,338.4345397949219,1991-04-17
249,358.16827392578125,1991-04-18
250,332.5003967285156,1991-04-19
251,289.55242919921875,1991-04-22
252,245.22640991210938,1991-04-23
253,216.8768768310547,1991-04-24
254,193.97254943847656,1991-04-25
255,180.65135192871094,1991-04-26
256,162.77978515625,1991-04-29
257,147.85350036621094,1991-04-30
258,134.97604370117188,1991-05-01
259,121.0386734008789,1991-05-02
260,100.66118621826172,1991-05-03
261,82.43619537353516,1991-05-06
262,68.04779815673828,1991-05-07
263,52.54196548461914,1991-05-08
264,46.91954803466797,1991-05-09
265,38.40617752075195,1991-05-10
266,41.5970458984375,1991-05-13
267,45.73363494873047,1991-05-14
268,49.57412338256836,1991-05-15
269,52.9033088684082,1991-05-16
270,55.61844253540039,1991-05-17
271,57.71607971191406,1991-05-20
272,58.81835174560547,1991-05-21
273,58.60808563232422,1991-05-22
274,56.704872131347656,1991-05-23
275,52.49378967285156,1991-05-24
276,46.3175048828125,1991-05-28
277,38.89176559448242,1991-05-29
278,33.45563507080078,1991-05-30
279,38.251441955566406,1991-05-31
280,45.67534637451172,1991-06-03
281,56.670928955078125,1991-06-04
282,68.30953979492188,1991-06-05
283,82.13949584960938,1991-06-06
284,105.05348205566406,1991-06-07
285,118.04573822021484,1991-06-10
286,110.71597290039062,1991-06-11
287,90.19192504882812,1991-06-12
288,68.07243347167969,1991-06-13
289,47.374271392822266,1991-06-14
290,23.774011611938477,1991-06-17
291,10.992057800292969,1991-06-18
292,4.141489505767822,1991-06-19
293,1.217590093612671,1991-06-20
294,2.0371499061584473,1991-06-21
295,6.085988521575928,1991-06-24
296,17.661211013793945,1991-06-25
297,43.911949157714844,1991-06-26
298,69.67285919189453,1991-06-27
299,83.20474243164062,1991-06-28
300,79.10839080810547,1991-07-01
301,64.87891387939453,1991-07-02
302,65.16079711914062,1991-07-03
303,62.929195404052734,1991-07-05
304,59.314815521240234,1991-07-08
305,53.17362594604492,1991-07-09
306,48.101871490478516,1991-07-10
307,35.266597747802734,1991-07-11
308,31.807662963867188,1991-07-12
309,27.617097854614258,1991-07-15
310,18.527067184448242,1991-07-16
311,14.376941680908203,1991-07-17
312,19.657499313354492,1991-07-18
313,24.937618255615234,1991-07-19
314,30.16780662536621,1991-07-22
315,34.84850311279297,1991-07-23
316,39.38263702392578,1991-07-24
317,47.285091400146484,1991-07-25
318,55.923221588134766,1991-07-26
319,64.89981842041016,1991-07-29
320,74.50086212158203,1991-07-30
