Period Number,Value,Date
1,20.450483322143555,1990-05-03
2,47.65153121948242,1990-05-04
3,77.5374984741211,1990-05-07
4,116.58393859863281,1990-05-08
5,144.5523223876953,1990-05-09
6,148.47549438476562,1990-05-10
7,158.35984802246094,1990-05-11
8,176.02401733398438,1990-05-14
9,181.5205841064453,1990-05-15
10,180.135498046875,1990-05-16
11,167.23538208007812,1990-05-17
12,136.5271759033203,1990-05-18
13,92.29222106933594,1990-05-21
14,47.94905090332031,1990-05-22
15,14.125534057617188,1990-05-23
16,3.1158359050750732,1990-05-24
17,5.655876159667969,1990-05-25
18,14.11492919921875,1990-05-29
19,25.45848274230957,1990-05-30
20,38.13334655761719,1990-05-31
21,51.93198013305664,1990-06-01
22,66.18061828613281,1990-06-04
23,80.75466918945312,1990-06-05
24,95.96511840820312,1990-06-06
25,111.37443542480469,1990-06-07
26,125.06847381591797,1990-06-08
27,135.30889892578125,1990-06-11
28,145.04295349121094,1990-06-12
29,189.0463409423828,1990-06-13
30,231.64849853515625,1990-06-14
31,263.77337646484375,1990-06-15
32,296.1831359863281,1990-06-18
33,326.5024719238281,1990-06-19
34,359.20440673828125,1990-06-20
35,386.0934753417969,1990-06-21
36,403.09613037109375,1990-06-22
37,392.8660583496094,1990-06-25
38,369.9490966796875,1990-06-26
39,349.7724914550781,1990-06-27
40,321.0622863769531,1990-06-28
41,300.10595703125,1990-06-29
42,286.0148010253906,1990-07-02
43,274.1914978027344,1990-07-03
44,236.7067108154297,1990-07-05
45,204.67730712890625,1990-07-06
46,178.93345642089844,1990-07-09
47,164.03787231445312,1990-07-10
48,153.44432067871094,1990-07-11
49,148.90518188476562,1990-07-12
50,167.05799865722656,1990-07-13
51,182.86614990234375,1990-07-16
52,177.9167938232422,1990-07-17
53,186.347412109375,1990-07-18
54,192.37420654296875,1990-07-19
55,200.96035766601562,1990-07-20
56,194.8477783203125,1990-07-23
57,168.2957763671875,1990-07-24
58,148.0973358154297,1990-07-25
59,134.61328125,1990-07-26
60,119.5725326538086,1990-07-27
61,106.64318084716797,1990-07-30
62,90.19581604003906,1990-07-31
63,76.52970886230469,1990-08-01
64,57.74314498901367,1990-08-02
65,40.694358825683594,1990-08-03
66,28.150049209594727,1990-08-06
67,17.594951629638672,1990-08-07
68,10.541292190551758,1990-08-08
69,10.618000030517578,1990-08-09
70,23.965757369995117,1990-08-10
71,53.31987380981445,1990-08-13
72,81.29841613769531,1990-08-14
73,106.18917846679688,1990-08-15
74,135.9100799560547,1990-08-16
75,129.6666259765625,1990-08-17
76,128.5562286376953,1990-08-20
77,157.14646911621094,1990-08-21
78,186.04595947265625,1990-08-22
79,250.69363403320312,1990-08-23
80,248.09722900390625,1990-08-24
81,218.73846435546875,1990-08-27
82,196.17404174804688,1990-08-28
83,189.4011993408203,1990-08-29
84,193.06259155273438,1990-08-30
85,221.2218017578125,1990-08-31
86,247.71571350097656,1990-09-04
87,271.494140625,1990-09-05
88,289.8055419921875,1990-09-06
89,303.22882080078125,1990-09-07
90,308.52191162109375,1990-09-10
91,305.2881774902344,1990-09-11
92,293.6462097167969,1990-09-12
93,273.3461608886719,1990-09-13
94,246.16163635253906,1990-09-14
95,214.83087158203125,1990-09-17
96,179.77989196777344,1990-09-18
97,141.6607208251953,1990-09-19
98,126.531982421875,1990-09-20
99,123.36766815185547,1990-09-21
100,125.85855865478516,1990-09-24
101,112.20346069335938,1990-09-25
102,88.85943603515625,1990-09-26
103,84.89066314697266,1990-09-27
104,107.32052612304688,1990-09-28
105,94.43179321289062,1990-10-01
106,85.21959686279297,1990-10-02
107,79.39672088623047,1990-10-03
108,80.70507049560547,1990-10-04
109,107.02876281738281,1990-10-05
110,111.8111572265625,1990-10-08
111,126.82733917236328,1990-10-09
112,169.95172119140625,1990-10-10
113,196.71568298339844,1990-10-11
114,191.5104217529297,1990-10-12
115,177.2721405029297,1990-10-15
116,138.31138610839844,1990-10-16
117,94.42919158935547,1990-10-17
118,40.21121597290039,1990-10-18
119,8.242470741271973,1990-10-19
120,17.38248634338379,1990-10-22
121,98.76220703125,1990-10-23
122,224.45436096191406,1990-10-24
123,367.1928405761719,1990-10-25
124,447.5042419433594,1990-10-26
125,504.29998779296875,1990-10-29
126,536.2366333007812,1990-10-30
127,634.9224853515625,1990-10-31
128,715.0951538085938,1990-11-01
129,734.7435302734375,1990-11-02
130,785.2362060546875,1990-11-05
131,729.8032836914062,1990-11-06
132,648.1846923828125,1990-11-07
133,714.9292602539062,1990-11-08
134,789.01416015625,1990-11-09
135,885.3267211914062,1990-11-12
136,983.7400512695312,1990-11-13
137,1082.6632080078125,1990-11-14
138,1190.7413330078125,1990-11-15
139,1306.4666748046875,1990-11-16
140,1403.3663330078125,1990-11-19
141,1524.033935546875,1990-11-20
142,1631.0596923828125,1990-11-21
143,1750.784912109375,1990-11-23
144,1885.5867919921875,1990-11-26
145,2080.733642578125,1990-11-27
146,2269.91796875,1990-11-28
147,2492.973388671875,1990-11-29
148,2784.643798828125,1990-11-30
149,3048.920166015625,1990-12-03
150,3327.884521484375,1990-12-04
151,3562.30078125,1990-12-05
152,3761.97265625,1990-12-06
153,3949.822998046875,1990-12-07
154,4062.768310546875,1990-12-10
155,4050.189697265625,1990-12-11
156,4037.937744140625,1990-12-12
157,4188.88671875,1990-12-13
158,4364.36279296875,1990-12-14
159,4441.53271484375,1990-12-17
160,4517.32763671875,1990-12-18
161,4564.513671875,1990-12-19
162,4575.68505859375,1990-12-20
163,4389.392578125,1990-12-21
164,3963.0693359375,1990-12-24
165,3448.894287109375,1990-12-26
166,3053.166259765625,1990-12-27
167,2665.310302734375,1990-12-28
168,2374.73828125,1990-12-31
169,2117.194580078125,1991-01-02
170,1921.9405517578125,1991-01-03
171,1785.4239501953125,1991-01-04
172,1658.736083984375,1991-01-07
173,1577.266845703125,1991-01-08
174,1513.8291015625,1991-01-09
175,1455.44873046875,1991-01-10
176,1304.6881103515625,1991-01-11
177,1124.9227294921875,1991-01-14
178,1007.39013671875,1991-01-15
179,941.0609130859375,1991-01-16
180,894.0043334960938,1991-01-17
181,864.566162109375,1991-01-18
182,891.279541015625,1991-01-21
183,900.5639038085938,1991-01-22
184,826.1168823242188,1991-01-23
185,843.9000854492188,1991-01-24
186,933.8565673828125,1991-01-25
187,1032.1240234375,1991-01-28
188,1121.2841796875,1991-01-29
189,1242.070556640625,1991-01-30
190,1384.7279052734375,1991-01-31
191,1495.7938232421875,1991-02-01
192,1593.5445556640625,1991-02-04
193,1647.0167236328125,1991-02-05
194,1661.6795654296875,1991-02-06
195,1610.593505859375,1991-02-07
196,1564.687744140625,1991-02-08
197,1568.2734375,1991-02-11
198,1571.6881103515625,1991-02-12
199,1536.9940185546875,1991-02-13
200,1496.700439453125,1991-02-14
201,1485.9200439453125,1991-02-15
202,1479.640380859375,1991-02-19
203,1470.8155517578125,1991-02-20
204,1458.2059326171875,1991-02-21
205,1433.770751953125,1991-02-22
206,1409.5888671875,1991-02-25
207,1366.51171875,1991-02-26
208,1454.193603515625,1991-02-27
209,1540.251953125,1991-02-28
210,1598.1075439453125,1991-03-01
211,1624.1009521484375,1991-03-04
212,1615.998046875,1991-03-05
213,1580.1285400390625,1991-03-06
214,1513.8604736328125,1991-03-07
215,1415.6614990234375,1991-03-08
216,1293.9024658203125,1991-03-11
217,1153.10888671875,1991-03-12
218,992.1741943359375,1991-03-13
219,832.39599609375,1991-03-14
220,711.5498046875,1991-03-15
221,614.0296630859375,1991-03-18
222,513.5884399414062,1991-03-19
223,445.4034729003906,1991-03-20
224,339.1880798339844,1991-03-21
225,250.68011474609375,1991-03-22
226,154.10684204101562,1991-03-25
227,85.65132141113281,1991-03-26
228,52.461647033691406,1991-03-27
229,19.678138732910156,1991-03-28
230,19.35270118713379,1991-04-01
231,42.36128616333008,1991-04-02
232,70.98833465576172,1991-04-03
233,102.3989028930664,1991-04-04
234,134.7225799560547,1991-04-05
235,167.22532653808594,1991-04-08
236,196.31134033203125,1991-04-09
237,222.9752655029297,1991-04-10
238,242.5342254638672,1991-04-11
239,258.8638916015625,1991-04-12
240,267.55377197265625,1991-04-15
241,271.220458984375,1991-04-16
242,269.642333984375,1991-04-17
243,258.7314758300781,1991-04-18
244,264.07135009765625,1991-04-19
245,272.12445068359375,1991-04-22
246,283.7893371582031,1991-04-23
247,287.2637939453125,1991-04-24
248,285.5088806152344,1991-04-25
249,249.0855255126953,1991-04-26
250,197.28207397460938,1991-04-29
251,173.84979248046875,1991-04-30
252,140.8558807373047,1991-05-01
253,119.72454071044922,1991-05-02
254,111.1236343383789,1991-05-03
255,130.3741455078125,1991-05-06
256,152.0692596435547,1991-05-07
257,177.7376251220703,1991-05-08
258,216.49984741210938,1991-05-09
259,246.16529846191406,1991-05-10
260,299.23175048828125,1991-05-13
261,376.56158447265625,1991-05-14
262,454.7906494140625,1991-05-15
263,523.7232666015625,1991-05-16
264,581.1517944335938,1991-05-17
265,623.4910888671875,1991-05-20
266,648.1707763671875,1991-05-21
267,655.99560546875,1991-05-22
268,649.6915283203125,1991-05-23
269,630.9149780273438,1991-05-24
270,601.1522216796875,1991-05-28
271,564.30078125,1991-05-29
272,519.3136596679688,1991-05-30
273,496.3667907714844,1991-05-31
274,499.8417053222656,1991-06-03
275,569.82275390625,1991-06-04
276,622.5283813476562,1991-06-05
277,656.0327758789062,1991-06-06
278,650.7607421875,1991-06-07
279,653.5099487304688,1991-06-10
280,714.9921875,1991-06-11
281,672.2142944335938,1991-06-12
282,548.8298950195312,1991-06-13
283,558.1878051757812,1991-06-14
284,589.6492919921875,1991-06-17
285,563.6985473632812,1991-06-18
286,483.4266357421875,1991-06-19
287,412.9535217285156,1991-06-20
288,309.80413818359375,1991-06-21
289,184.9329071044922,1991-06-24
