Period Number,Value,Date
1,99112.5078125,1972-01-10
2,99953.1796875,1972-01-11
3,100752.9921875,1972-01-12
4,101540.53125,1972-01-13
5,102419.4140625,1972-01-14
6,103332.6640625,1972-01-17
7,104234.7578125,1972-01-18
8,105038.3203125,1972-01-19
9,105660.46875,1972-01-20
10,106264.296875,1972-01-21
11,106845.0703125,1972-01-24
12,107385.65625,1972-01-25
13,107866.78125,1972-01-26
14,108314.421875,1972-01-27
15,108794.3046875,1972-01-28
16,109205.375,1972-01-31
17,109580.3046875,1972-02-01
18,109936.0,1972-02-02
19,110066.890625,1972-02-03
20,110216.875,1972-02-04
21,110294.3359375,1972-02-07
22,110355.5390625,1972-02-08
23,110350.6640625,1972-02-09
24,110481.2734375,1972-02-10
25,110590.734375,1972-02-11
26,110585.15625,1972-02-14
27,110562.3671875,1972-02-15
28,110234.703125,1972-02-16
29,110073.4296875,1972-02-17
30,109733.4296875,1972-02-18
31,109447.4375,1972-02-22
32,109268.796875,1972-02-23
33,109016.265625,1972-02-24
34,108972.75,1972-02-25
35,109031.1875,1972-02-28
36,109263.375,1972-02-29
37,109505.921875,1972-03-01
38,109970.9453125,1972-03-02
39,110684.2734375,1972-03-03
40,111433.4765625,1972-03-06
41,112022.84375,1972-03-07
42,112649.90625,1972-03-08
43,113241.78125,1972-03-09
44,113790.3203125,1972-03-10
45,114376.6796875,1972-03-13
46,114948.609375,1972-03-14
47,115649.3984375,1972-03-15
48,116307.90625,1972-03-16
49,118025.203125,1972-03-17
50,119668.8984375,1972-03-20
51,121130.90625,1972-03-21
52,122520.8125,1972-03-22
53,123915.03125,1972-03-23
54,124912.6015625,1972-03-24
55,125866.9296875,1972-03-27
56,126366.75,1972-03-28
57,126655.734375,1972-03-29
58,127323.6640625,1972-03-30
59,127758.6796875,1972-04-03
60,128118.375,1972-04-04
61,128737.4609375,1972-04-05
62,129614.1796875,1972-04-06
63,130244.171875,1972-04-07
64,130890.140625,1972-04-10
65,131546.09375,1972-04-11
66,132026.1875,1972-04-12
67,132623.140625,1972-04-13
68,133291.921875,1972-04-14
69,133978.015625,1972-04-17
70,134615.90625,1972-04-18
71,135236.9375,1972-04-19
72,135909.578125,1972-04-20
73,136380.40625,1972-04-21
74,136805.765625,1972-04-24
75,137268.5,1972-04-25
76,137791.5625,1972-04-26
77,138341.9375,1972-04-27
78,139087.6875,1972-04-28
79,139673.546875,1972-05-01
80,140159.625,1972-05-02
81,140542.21875,1972-05-03
82,141194.8125,1972-05-04
83,141943.796875,1972-05-05
84,142681.421875,1972-05-08
85,143048.828125,1972-05-09
86,143181.421875,1972-05-10
87,143318.453125,1972-05-11
88,143343.859375,1972-05-12
89,143151.4375,1972-05-15
90,142726.171875,1972-05-16
91,142213.90625,1972-05-17
92,141377.453125,1972-05-18
93,140669.734375,1972-05-19
94,140101.921875,1972-05-22
95,139327.875,1972-05-23
96,138115.828125,1972-05-24
97,136715.46875,1972-05-25
98,135135.46875,1972-05-26
99,133408.234375,1972-05-30
100,131468.65625,1972-05-31
101,129404.03125,1972-06-01
102,127561.4609375,1972-06-02
103,126103.21875,1972-06-05
104,124790.9453125,1972-06-06
105,123644.390625,1972-06-07
106,122279.4765625,1972-06-08
107,121054.65625,1972-06-09
108,119602.7421875,1972-06-12
109,117998.40625,1972-06-13
110,116294.9453125,1972-06-14
111,114410.0078125,1972-06-15
112,112551.8515625,1972-06-16
113,110677.9609375,1972-06-19
114,108855.7421875,1972-06-20
115,107009.90625,1972-06-21
116,105473.0,1972-06-22
117,103940.265625,1972-06-23
118,102387.1328125,1972-06-26
119,100834.2734375,1972-06-27
120,99064.59375,1972-06-28
121,97234.484375,1972-06-29
122,95291.3203125,1972-06-30
123,93464.96875,1972-07-03
124,91792.6640625,1972-07-05
125,90195.0390625,1972-07-06
126,88608.6640625,1972-07-07
127,86957.2734375,1972-07-10
128,85181.8203125,1972-07-11
129,83092.359375,1972-07-12
130,80817.171875,1972-07-13
131,78616.3046875,1972-07-14
132,76290.3671875,1972-07-17
133,74095.6640625,1972-07-18
134,72076.8984375,1972-07-19
135,70011.1484375,1972-07-20
136,67992.8203125,1972-07-21
137,66268.1171875,1972-07-24
138,64763.51953125,1972-07-25
139,63255.69140625,1972-07-26
140,61531.91015625,1972-07-27
141,59871.94140625,1972-07-28
142,59081.1875,1972-07-31
143,58295.12890625,1972-08-01
144,57600.2890625,1972-08-02
145,56892.4453125,1972-08-03
146,56272.796875,1972-08-04
147,55621.84375,1972-08-07
148,55014.28125,1972-08-08
149,54408.296875,1972-08-09
150,53879.3515625,1972-08-10
151,53371.3046875,1972-08-11
152,52923.26171875,1972-08-14
153,52649.74609375,1972-08-15
154,52280.90234375,1972-08-16
155,51967.1171875,1972-08-17
156,51702.7109375,1972-08-18
157,51482.6640625,1972-08-21
158,51244.609375,1972-08-22
159,50974.7734375,1972-08-23
160,50731.3203125,1972-08-24
161,50643.640625,1972-08-25
162,50721.7578125,1972-08-28
163,50826.05078125,1972-08-29
164,51017.3359375,1972-08-30
165,51262.7421875,1972-08-31
166,51404.3984375,1972-09-01
167,51589.48828125,1972-09-05
168,51759.8515625,1972-09-06
169,51951.1328125,1972-09-07
170,52114.1953125,1972-09-08
171,52243.80078125,1972-09-11
172,52380.4921875,1972-09-12
173,52512.5546875,1972-09-13
174,52644.375,1972-09-14
175,52792.18359375,1972-09-15
176,52831.1171875,1972-09-18
177,52896.6953125,1972-09-19
178,52912.46875,1972-09-20
179,52895.2578125,1972-09-21
180,52879.16015625,1972-09-22
181,52883.296875,1972-09-25
182,52993.66796875,1972-09-26
183,53081.44921875,1972-09-27
184,53107.875,1972-09-28
185,53221.12890625,1972-09-29
186,53387.84375,1972-10-02
187,53598.82421875,1972-10-03
188,53820.2734375,1972-10-04
189,54028.9375,1972-10-05
190,54179.56640625,1972-10-06
191,54367.9140625,1972-10-09
192,54644.03125,1972-10-10
193,54977.3359375,1972-10-11
194,55368.8984375,1972-10-12
195,55773.48046875,1972-10-13
196,56152.77734375,1972-10-16
197,56445.1328125,1972-10-17
198,56734.83203125,1972-10-18
199,56957.58203125,1972-10-19
200,57242.21484375,1972-10-20
201,57559.625,1972-10-23
202,57865.38671875,1972-10-24
203,58076.11328125,1972-10-25
204,58256.4921875,1972-10-26
205,58461.33203125,1972-10-27
206,58614.36328125,1972-10-30
207,58785.0,1972-10-31
208,58866.99609375,1972-11-01
209,58922.8515625,1972-11-02
210,58995.84765625,1972-11-03
211,59068.578125,1972-11-06
212,59138.171875,1972-11-08
213,59155.77734375,1972-11-09
214,59184.14453125,1972-11-10
215,59224.96484375,1972-11-13
216,59238.51171875,1972-11-14
217,59261.375,1972-11-15
218,59249.3515625,1972-11-16
219,59227.48828125,1972-11-17
220,59201.75,1972-11-20
221,59174.6875,1972-11-21
222,59109.63671875,1972-11-22
223,59045.78125,1972-11-24
224,58974.46875,1972-11-27
225,58881.00390625,1972-11-28
226,58779.33203125,1972-11-29
227,58653.77734375,1972-11-30
228,58566.00390625,1972-12-01
229,58516.53515625,1972-12-04
230,58553.67578125,1972-12-05
231,58706.20703125,1972-12-06
232,58969.0625,1972-12-07
233,59241.51953125,1972-12-08
234,59548.07421875,1972-12-11
235,59882.40625,1972-12-12
236,60232.91015625,1972-12-13
237,60622.45703125,1972-12-14
238,61055.90625,1972-12-15
239,61543.11328125,1972-12-18
240,62035.17578125,1972-12-19
241,62584.265625,1972-12-20
242,63088.6171875,1972-12-21
243,63577.43359375,1972-12-22
244,64063.01953125,1972-12-26
245,64640.375,1972-12-27
246,65283.00390625,1972-12-29
247,65969.375,1973-01-02
248,66664.921875,1973-01-03
249,67412.9140625,1973-01-04
250,68209.25,1973-01-05
251,69018.078125,1973-01-08
252,69865.109375,1973-01-09
253,70762.0859375,1973-01-10
254,71664.84375,1973-01-11
255,72489.9765625,1973-01-12
256,73321.3671875,1973-01-15
257,74180.1015625,1973-01-16
258,75052.625,1973-01-17
259,75943.359375,1973-01-18
260,76824.7109375,1973-01-19
261,77679.7265625,1973-01-22
262,78306.6953125,1973-01-23
263,78947.1796875,1973-01-24
264,79588.2265625,1973-01-26
265,80310.46875,1973-01-29
266,81094.7734375,1973-01-30
267,81945.25,1973-01-31
268,82781.28125,1973-02-01
269,83676.1875,1973-02-02
270,84517.421875,1973-02-05
271,85333.5625,1973-02-06
272,86047.4765625,1973-02-07
273,86788.265625,1973-02-08
274,87685.703125,1973-02-09
275,88682.3203125,1973-02-12
276,89505.7265625,1973-02-13
277,90342.265625,1973-02-14
278,91105.21875,1973-02-15
279,91974.828125,1973-02-16
280,92968.9453125,1973-02-20
281,93902.1640625,1973-02-21
282,94855.6328125,1973-02-22
283,95757.5390625,1973-02-23
284,96765.5546875,1973-02-26
285,97786.6796875,1973-02-27
286,98890.2265625,1973-02-28
287,100015.7109375,1973-03-01
288,101234.671875,1973-03-02
289,102434.7890625,1973-03-05
290,103642.1328125,1973-03-06
291,104930.0234375,1973-03-07
292,106372.390625,1973-03-08
293,107742.4296875,1973-03-09
294,109139.7265625,1973-03-12
295,110657.1171875,1973-03-13
296,112226.515625,1973-03-14
297,113807.578125,1973-03-15
298,115498.234375,1973-03-16
299,117158.1015625,1973-03-19
300,118771.3671875,1973-03-20
301,120329.875,1973-03-21
302,121871.953125,1973-03-22
303,123374.15625,1973-03-23
304,124949.6875,1973-03-26
305,126544.5546875,1973-03-27
306,128042.421875,1973-03-28
307,129515.34375,1973-03-29
308,130902.25,1973-03-30
309,132221.84375,1973-04-02
310,133572.046875,1973-04-03
311,134861.4375,1973-04-04
312,136115.03125,1973-04-05
313,137416.671875,1973-04-06
314,138730.359375,1973-04-09
315,140094.65625,1973-04-10
316,141559.015625,1973-04-11
317,143058.671875,1973-04-12
318,144611.296875,1973-04-13
319,146258.828125,1973-04-16
320,148100.953125,1973-04-17
321,150096.3125,1973-04-18
322,152151.5625,1973-04-19
323,154297.765625,1973-04-23
324,156457.375,1973-04-24
325,158661.859375,1973-04-25
326,161000.09375,1973-04-26
327,163457.671875,1973-04-27
328,166069.25,1973-04-30
329,168662.859375,1973-05-01
330,171249.40625,1973-05-02
331,173879.703125,1973-05-03
332,176634.640625,1973-05-04
333,179361.96875,1973-05-07
334,182038.703125,1973-05-08
335,184713.65625,1973-05-09
336,187390.234375,1973-05-10
337,190084.46875,1973-05-11
338,192678.03125,1973-05-14
339,195263.53125,1973-05-15
340,197936.296875,1973-05-16
341,201550.546875,1973-05-17
342,205233.78125,1973-05-18
343,208946.578125,1973-05-21
344,212560.765625,1973-05-22
345,216164.359375,1973-05-23
346,219563.046875,1973-05-24
347,222921.78125,1973-05-25
348,226363.96875,1973-05-29
349,229986.984375,1973-05-30
350,233562.6875,1973-05-31
351,237179.203125,1973-06-01
352,240931.546875,1973-06-04
353,244688.015625,1973-06-05
354,248574.34375,1973-06-06
355,252304.671875,1973-06-07
356,255808.65625,1973-06-08
357,259299.59375,1973-06-11
358,262641.4375,1973-06-12
359,266005.125,1973-06-13
360,269327.6875,1973-06-14
361,272604.5,1973-06-15
362,275729.9375,1973-06-18
363,278665.875,1973-06-19
364,281566.84375,1973-06-20
365,284360.46875,1973-06-21
366,286944.9375,1973-06-22
367,289384.625,1973-06-25
368,291603.21875,1973-06-26
369,293697.8125,1973-06-27
370,295576.40625,1973-06-28
371,297357.0625,1973-06-29
372,299210.0625,1973-07-02
373,301024.84375,1973-07-03
374,302793.09375,1973-07-05
375,304447.78125,1973-07-06
376,306120.75,1973-07-09
377,307831.46875,1973-07-10
378,309544.84375,1973-07-11
379,311291.25,1973-07-12
380,313430.40625,1973-07-13
381,315433.4375,1973-07-16
382,317323.28125,1973-07-17
383,319271.34375,1973-07-18
384,321075.0,1973-07-19
385,322764.34375,1973-07-20
386,324260.25,1973-07-23
387,325570.40625,1973-07-24
388,326421.90625,1973-07-25
389,327164.125,1973-07-26
390,327815.5,1973-07-27
391,328362.8125,1973-07-30
392,328802.625,1973-07-31
393,329145.875,1973-08-01
394,329463.9375,1973-08-02
395,329465.75,1973-08-03
396,328900.625,1973-08-06
397,328089.0625,1973-08-07
398,327086.65625,1973-08-08
399,325837.65625,1973-08-09
400,324381.875,1973-08-10
401,322739.28125,1973-08-13
402,320998.71875,1973-08-14
403,318939.4375,1973-08-15
404,316512.65625,1973-08-16
405,313801.0,1973-08-17
406,310855.6875,1973-08-20
407,307913.75,1973-08-21
408,304597.53125,1973-08-22
409,300900.5625,1973-08-23
410,296954.625,1973-08-24
411,292879.75,1973-08-27
412,288574.3125,1973-08-28
413,283878.21875,1973-08-29
414,279196.6875,1973-08-30
415,274444.59375,1973-08-31
416,269589.25,1973-09-04
417,264555.875,1973-09-05
418,259362.046875,1973-09-06
419,254189.3125,1973-09-07
420,248934.96875,1973-09-10
421,243678.1875,1973-09-11
422,238409.015625,1973-09-12
423,233117.53125,1973-09-13
424,227732.296875,1973-09-14
425,222162.890625,1973-09-17
426,216414.234375,1973-09-18
427,210488.890625,1973-09-19
428,204487.125,1973-09-20
429,198513.0,1973-09-21
430,192468.265625,1973-09-24
431,187049.96875,1973-09-25
432,184047.59375,1973-09-26
433,181036.875,1973-09-27
434,178101.453125,1973-09-28
435,175156.484375,1973-10-01
436,172260.9375,1973-10-02
437,169391.796875,1973-10-03
438,166624.796875,1973-10-04
439,163929.671875,1973-10-05
