Period Number,Value,Date
1,914.7876586914062,1970-06-01
2,942.0940551757812,1970-06-02
3,958.5853271484375,1970-06-03
4,1004.9496459960938,1970-06-04
5,1025.6871337890625,1970-06-05
6,1052.06787109375,1970-06-08
7,1052.96533203125,1970-06-09
8,1034.243408203125,1970-06-10
9,1019.9353637695312,1970-06-11
10,1015.6869506835938,1970-06-12
11,984.0294189453125,1970-06-15
12,935.86279296875,1970-06-16
13,971.4635009765625,1970-06-17
14,1011.6771850585938,1970-06-18
15,1063.741943359375,1970-06-19
16,1110.449951171875,1970-06-22
17,1126.5616455078125,1970-06-23
18,1151.1597900390625,1970-06-24
19,1177.6651611328125,1970-06-25
20,1229.2469482421875,1970-06-26
21,1289.511474609375,1970-06-29
22,1361.85888671875,1970-06-30
23,1451.5277099609375,1970-07-01
24,1523.06103515625,1970-07-02
25,1577.7679443359375,1970-07-06
26,1618.53271484375,1970-07-07
27,1681.0206298828125,1970-07-08
28,1725.2236328125,1970-07-09
29,1721.171630859375,1970-07-10
30,1718.791015625,1970-07-13
31,1695.8111572265625,1970-07-14
32,1665.962158203125,1970-07-15
33,1595.4122314453125,1970-07-16
34,1491.2789306640625,1970-07-17
35,1355.2359619140625,1970-07-20
36,1210.6622314453125,1970-07-21
37,1063.382080078125,1970-07-22
38,911.3243408203125,1970-07-23
39,792.153564453125,1970-07-24
40,690.22705078125,1970-07-27
41,601.3272705078125,1970-07-28
42,667.7454223632812,1970-07-29
43,826.178466796875,1970-07-30
44,1053.3291015625,1970-07-31
45,1319.70068359375,1970-08-03
46,1589.061279296875,1970-08-04
47,1893.7022705078125,1970-08-05
48,2213.869873046875,1970-08-06
49,2524.721923828125,1970-08-07
50,2844.87353515625,1970-08-10
51,3119.05224609375,1970-08-11
52,3454.806396484375,1970-08-12
53,3764.134033203125,1970-08-13
54,4029.449951171875,1970-08-14
55,4179.41845703125,1970-08-17
56,4232.11572265625,1970-08-18
57,4323.54443359375,1970-08-19
58,4355.9951171875,1970-08-20
59,4206.99365234375,1970-08-21
60,4052.822998046875,1970-08-24
61,3772.31982421875,1970-08-25
62,3544.658203125,1970-08-26
63,3242.129638671875,1970-08-27
64,2882.705078125,1970-08-28
65,2565.320556640625,1970-08-31
66,2250.69873046875,1970-09-01
67,1948.1177978515625,1970-09-02
68,1667.80322265625,1970-09-03
69,1419.442626953125,1970-09-04
70,1215.8089599609375,1970-09-08
71,1037.1195068359375,1970-09-09
72,891.5075073242188,1970-09-10
73,748.1758422851562,1970-09-11
74,642.4923095703125,1970-09-14
75,560.0383911132812,1970-09-15
76,599.2789306640625,1970-09-16
77,643.0703125,1970-09-17
78,720.5310668945312,1970-09-18
79,849.422119140625,1970-09-21
80,1008.9925537109375,1970-09-22
81,1175.5621337890625,1970-09-23
82,1310.0374755859375,1970-09-24
83,1433.0858154296875,1970-09-25
84,1537.2125244140625,1970-09-28
85,1680.3265380859375,1970-09-29
86,1822.3717041015625,1970-09-30
87,1888.2861328125,1970-10-01
88,1914.3023681640625,1970-10-02
89,1922.4547119140625,1970-10-05
90,1922.943115234375,1970-10-06
91,1921.7752685546875,1970-10-07
92,1844.0277099609375,1970-10-08
93,1710.37060546875,1970-10-09
94,1535.224609375,1970-10-12
95,1341.45361328125,1970-10-13
96,1145.4443359375,1970-10-14
97,956.6212158203125,1970-10-15
98,785.862548828125,1970-10-16
99,663.494873046875,1970-10-19
100,595.6970825195312,1970-10-20
101,547.3712158203125,1970-10-21
102,473.4513244628906,1970-10-22
103,385.2484436035156,1970-10-23
104,295.4032287597656,1970-10-26
105,206.09828186035156,1970-10-27
106,137.25306701660156,1970-10-28
