Period Number,Value,Date
1,2511.754150390625,2020-03-25
2,3221.515869140625,2020-03-26
3,4110.0849609375,2020-03-27
4,5126.65283203125,2020-03-30
5,6280.8369140625,2020-03-31
6,7676.67578125,2020-04-01
7,9167.447265625,2020-04-02
8,10806.7587890625,2020-04-03
9,12358.818359375,2020-04-06
10,13799.4658203125,2020-04-07
11,15149.408203125,2020-04-08
12,16333.173828125,2020-04-09
13,17785.20703125,2020-04-13
14,19312.609375,2020-04-14
15,21214.154296875,2020-04-15
16,23306.83984375,2020-04-16
17,25399.263671875,2020-04-17
