Period Number,Value,Date
1,1393.376953125,1999-03-08
2,1519.56591796875,1999-03-09
3,1650.0224609375,1999-03-10
4,1777.422607421875,1999-03-11
5,1901.1995849609375,1999-03-12
6,2035.7322998046875,1999-03-15
7,2189.451171875,1999-03-16
8,2337.712890625,1999-03-17
9,2471.021240234375,1999-03-18
10,2605.70556640625,1999-03-19
11,2738.367919921875,1999-03-22
12,2832.31591796875,1999-03-23
13,2934.4912109375,1999-03-24
14,3039.59765625,1999-03-25
15,3120.8037109375,1999-03-26
16,3155.35791015625,1999-03-29
17,3148.3349609375,1999-03-30
18,3120.4951171875,1999-03-31
19,3070.453369140625,1999-04-01
20,3010.19091796875,1999-04-05
21,2944.9541015625,1999-04-06
22,2852.14892578125,1999-04-07
23,2749.233154296875,1999-04-08
24,2678.421142578125,1999-04-09
25,2580.934326171875,1999-04-12
26,2494.748046875,1999-04-13
27,2423.49365234375,1999-04-14
28,2395.8408203125,1999-04-15
29,2392.525634765625,1999-04-16
30,2378.763671875,1999-04-19
31,2377.177490234375,1999-04-20
32,2365.006591796875,1999-04-21
33,2342.303466796875,1999-04-22
34,2332.318115234375,1999-04-23
35,2305.4228515625,1999-04-26
36,2275.535400390625,1999-04-27
37,2296.303955078125,1999-04-28
38,2311.42724609375,1999-04-29
39,2324.458984375,1999-04-30
40,2326.38623046875,1999-05-03
41,2317.677978515625,1999-05-04
42,2303.027587890625,1999-05-05
43,2282.466796875,1999-05-06
44,2260.0625,1999-05-07
45,2227.40966796875,1999-05-10
46,2194.719482421875,1999-05-11
47,2159.278076171875,1999-05-12
48,2117.7666015625,1999-05-13
49,2067.1474609375,1999-05-14
50,2026.080078125,1999-05-17
51,1991.9627685546875,1999-05-18
52,1955.49658203125,1999-05-19
53,1964.14892578125,1999-05-20
54,2002.795166015625,1999-05-21
55,2038.0836181640625,1999-05-24
56,2057.788330078125,1999-05-25
57,2082.58251953125,1999-05-26
58,2123.36767578125,1999-05-27
59,2200.059814453125,1999-05-28
60,2269.125244140625,1999-06-01
61,2329.466064453125,1999-06-02
62,2403.972412109375,1999-06-03
63,2474.7294921875,1999-06-04
64,2566.201416015625,1999-06-07
65,2702.38232421875,1999-06-08
66,2877.8974609375,1999-06-09
67,3069.8525390625,1999-06-10
68,3269.90966796875,1999-06-11
69,3478.526123046875,1999-06-14
70,3686.698486328125,1999-06-15
71,3925.80712890625,1999-06-16
72,4231.71044921875,1999-06-17
73,4570.60498046875,1999-06-18
74,4934.45263671875,1999-06-21
75,5329.734375,1999-06-22
76,5751.28515625,1999-06-23
77,6216.0908203125,1999-06-24
78,6717.71533203125,1999-06-25
79,7223.73583984375,1999-06-28
80,7747.33349609375,1999-06-29
81,8277.6220703125,1999-06-30
82,8774.91015625,1999-07-01
83,9263.7724609375,1999-07-02
84,9731.2177734375,1999-07-06
85,10169.779296875,1999-07-07
86,10624.806640625,1999-07-08
87,11049.677734375,1999-07-09
88,11368.5224609375,1999-07-12
89,11626.732421875,1999-07-13
90,11799.8857421875,1999-07-14
91,11897.2197265625,1999-07-15
92,11944.8408203125,1999-07-16
93,11931.865234375,1999-07-19
94,11832.646484375,1999-07-20
95,11671.3642578125,1999-07-21
96,11459.8837890625,1999-07-22
97,11214.875,1999-07-23
98,10898.2880859375,1999-07-26
99,10499.4443359375,1999-07-27
100,10150.8701171875,1999-07-28
101,9788.958984375,1999-07-29
102,9424.8212890625,1999-07-30
103,9042.0498046875,1999-08-02
104,8650.986328125,1999-08-03
105,8283.5,1999-08-04
106,7927.123046875,1999-08-05
107,7604.9521484375,1999-08-06
108,7286.82275390625,1999-08-09
109,6970.04541015625,1999-08-10
110,6648.52880859375,1999-08-11
111,6367.15576171875,1999-08-12
112,6105.65478515625,1999-08-13
113,5881.55810546875,1999-08-16
114,5686.18212890625,1999-08-17
115,5494.4375,1999-08-18
116,5311.046875,1999-08-19
117,5150.451171875,1999-08-20
118,5004.5478515625,1999-08-23
119,4890.8759765625,1999-08-24
120,4816.2314453125,1999-08-25
121,4758.99462890625,1999-08-26
122,4716.9248046875,1999-08-27
123,4695.05712890625,1999-08-30
124,4726.4365234375,1999-08-31
125,4766.2587890625,1999-09-01
126,4806.494140625,1999-09-02
127,4896.47412109375,1999-09-03
128,5010.94189453125,1999-09-07
129,5151.07470703125,1999-09-08
130,5282.552734375,1999-09-09
131,5450.85302734375,1999-09-10
132,5608.6533203125,1999-09-13
133,5767.72509765625,1999-09-14
134,5946.44482421875,1999-09-15
135,6134.98486328125,1999-09-16
136,6346.88232421875,1999-09-17
137,6544.08984375,1999-09-20
138,6735.109375,1999-09-21
139,6939.869140625,1999-09-22
140,7157.9541015625,1999-09-23
141,7391.6181640625,1999-09-24
142,7608.41748046875,1999-09-27
143,7846.88671875,1999-09-28
144,8073.6484375,1999-09-29
145,8287.8115234375,1999-09-30
146,8504.0654296875,1999-10-01
147,8719.0888671875,1999-10-04
148,8924.3017578125,1999-10-05
149,9126.9619140625,1999-10-06
150,9312.6787109375,1999-10-07
151,9468.65234375,1999-10-08
152,9606.5673828125,1999-10-11
153,9724.75,1999-10-12
154,9801.4287109375,1999-10-13
155,9846.7744140625,1999-10-14
156,9851.462890625,1999-10-15
157,9823.8857421875,1999-10-18
158,9756.9384765625,1999-10-19
159,9647.0322265625,1999-10-20
160,9475.888671875,1999-10-21
161,9257.5751953125,1999-10-22
162,8993.384765625,1999-10-25
163,8681.95703125,1999-10-26
164,8427.3125,1999-10-27
165,8178.275390625,1999-10-28
166,7911.86328125,1999-10-29
167,7632.373046875,1999-11-01
168,7352.48291015625,1999-11-02
169,7053.119140625,1999-11-03
170,6732.32470703125,1999-11-04
171,6428.244140625,1999-11-05
172,6121.69921875,1999-11-08
173,5825.03515625,1999-11-09
174,5534.40478515625,1999-11-10
175,5238.53076171875,1999-11-11
176,4972.18994140625,1999-11-12
177,4720.53662109375,1999-11-15
