Period Number,Value,Date
1,236602.1875,1982-03-26
2,232015.609375,1982-03-29
3,227581.453125,1982-03-30
4,223455.28125,1982-03-31
5,219631.40625,1982-04-01
6,215427.203125,1982-04-02
7,209659.734375,1982-04-05
8,204168.15625,1982-04-06
9,197666.375,1982-04-07
10,191529.4375,1982-04-08
11,185265.828125,1982-04-12
12,179043.625,1982-04-13
13,172554.8125,1982-04-14
14,166077.421875,1982-04-15
15,159231.96875,1982-04-16
16,152699.8125,1982-04-19
17,147095.734375,1982-04-20
18,142056.71875,1982-04-21
19,137479.078125,1982-04-22
20,132560.546875,1982-04-23
21,128686.9296875,1982-04-26
22,125670.234375,1982-04-27
23,122298.765625,1982-04-28
24,118805.0703125,1982-04-29
25,115478.0,1982-04-30
26,112555.890625,1982-05-03
27,109791.8203125,1982-05-04
28,107569.171875,1982-05-05
29,105710.1640625,1982-05-06
30,104076.21875,1982-05-07
31,102432.8671875,1982-05-10
32,101001.234375,1982-05-11
33,99570.8125,1982-05-12
34,97908.03125,1982-05-13
35,96102.796875,1982-05-14
36,94372.9296875,1982-05-17
37,92616.2421875,1982-05-18
38,90772.6953125,1982-05-19
39,88845.9375,1982-05-20
40,86897.1953125,1982-05-21
41,84806.75,1982-05-24
42,82696.96875,1982-05-25
43,80391.3203125,1982-05-26
44,78072.890625,1982-05-27
45,75700.2734375,1982-05-28
46,73441.578125,1982-06-01
47,71241.3828125,1982-06-02
48,69152.34375,1982-06-03
49,67154.296875,1982-06-04
50,65223.15625,1982-06-07
51,63282.61328125,1982-06-08
52,61308.2734375,1982-06-09
53,59295.40625,1982-06-10
54,57438.5078125,1982-06-11
55,55623.3046875,1982-06-14
56,53943.8359375,1982-06-15
57,52319.54296875,1982-06-16
58,50668.34375,1982-06-17
59,49166.41015625,1982-06-18
60,47673.265625,1982-06-21
61,46186.796875,1982-06-22
62,44841.91796875,1982-06-23
63,43574.63671875,1982-06-24
64,42260.04296875,1982-06-25
65,42604.27734375,1982-06-28
66,42857.8671875,1982-06-29
67,43072.60546875,1982-06-30
68,43321.1015625,1982-07-01
69,43525.859375,1982-07-02
70,43704.91796875,1982-07-06
71,43800.15625,1982-07-07
72,43920.68359375,1982-07-08
73,44002.03125,1982-07-09
74,44121.89453125,1982-07-12
75,44306.93359375,1982-07-13
76,44405.2890625,1982-07-14
77,44466.578125,1982-07-15
78,44498.921875,1982-07-16
79,44579.34765625,1982-07-19
80,44675.4296875,1982-07-20
81,44761.5,1982-07-21
82,44880.22265625,1982-07-22
83,45051.35546875,1982-07-23
84,45222.796875,1982-07-26
85,45356.16796875,1982-07-27
86,45506.28515625,1982-07-28
87,45599.109375,1982-07-29
88,45712.55859375,1982-07-30
89,45804.48828125,1982-08-02
90,45955.48828125,1982-08-03
91,46113.30078125,1982-08-04
92,46274.734375,1982-08-05
93,46396.3046875,1982-08-06
94,46473.46875,1982-08-09
95,47618.23828125,1982-08-10
96,49385.41015625,1982-08-11
97,51023.15625,1982-08-12
98,52877.33203125,1982-08-13
99,55235.390625,1982-08-16
100,57737.78125,1982-08-17
101,59931.25390625,1982-08-18
102,62037.94140625,1982-08-19
103,63997.2890625,1982-08-20
104,65821.125,1982-08-23
105,67414.421875,1982-08-24
106,68551.0703125,1982-08-25
107,69808.5859375,1982-08-26
108,71174.203125,1982-08-27
109,72403.6796875,1982-08-30
110,73534.828125,1982-08-31
111,74552.1484375,1982-09-01
112,75443.59375,1982-09-02
113,75972.4140625,1982-09-03
114,76358.8515625,1982-09-07
115,76589.0,1982-09-08
116,76794.0546875,1982-09-09
117,76984.3359375,1982-09-10
118,76905.0234375,1982-09-13
119,76337.5703125,1982-09-14
120,76020.4375,1982-09-15
121,75944.0,1982-09-16
122,75861.2109375,1982-09-17
123,75491.1796875,1982-09-20
124,75015.359375,1982-09-21
125,74314.75,1982-09-22
126,73597.015625,1982-09-23
127,72828.6171875,1982-09-24
128,71673.7578125,1982-09-27
129,70268.1328125,1982-09-28
130,68661.078125,1982-09-29
131,67209.7265625,1982-09-30
132,65669.6015625,1982-10-01
133,64687.2421875,1982-10-04
134,63370.37890625,1982-10-05
135,61596.48046875,1982-10-06
136,60220.40234375,1982-10-07
137,59178.859375,1982-10-08
138,58094.265625,1982-10-11
139,56821.69140625,1982-10-12
140,55625.72265625,1982-10-13
141,53857.75,1982-10-14
142,52104.25390625,1982-10-15
143,50276.02734375,1982-10-18
144,48330.2734375,1982-10-19
145,46323.83203125,1982-10-20
146,44241.21875,1982-10-21
147,42217.0625,1982-10-22
148,40213.08203125,1982-10-25
149,38408.90234375,1982-10-26
150,36676.0625,1982-10-27
151,35091.1640625,1982-10-28
152,33531.8828125,1982-10-29
153,31958.048828125,1982-11-01
154,30238.142578125,1982-11-02
155,28558.6015625,1982-11-03
156,27033.99609375,1982-11-04
157,25746.1953125,1982-11-05
158,24303.443359375,1982-11-08
159,22844.859375,1982-11-09
160,21424.953125,1982-11-10
161,20117.263671875,1982-11-11
162,19837.322265625,1982-11-12
163,19847.103515625,1982-11-15
164,20251.904296875,1982-11-16
165,20780.349609375,1982-11-17
166,21394.2890625,1982-11-18
167,22147.3125,1982-11-19
168,22755.033203125,1982-11-22
169,23446.07421875,1982-11-23
170,24128.068359375,1982-11-24
171,24838.7734375,1982-11-26
172,25633.79296875,1982-11-29
173,26466.8515625,1982-11-30
174,27352.4296875,1982-12-01
175,28380.02734375,1982-12-02
176,29536.9296875,1982-12-03
177,30805.30859375,1982-12-06
178,32163.861328125,1982-12-07
179,33601.546875,1982-12-08
180,35977.53125,1982-12-09
181,39323.0859375,1982-12-10
182,42813.40234375,1982-12-13
183,46448.6640625,1982-12-14
184,50218.984375,1982-12-15
185,54084.31640625,1982-12-16
186,58056.5859375,1982-12-17
187,62098.328125,1982-12-20
188,66041.8671875,1982-12-21
189,69970.9609375,1982-12-22
190,73933.6171875,1982-12-23
191,77895.8046875,1982-12-27
192,81688.25,1982-12-28
193,85462.1328125,1982-12-29
194,89136.0546875,1982-12-30
195,93000.3671875,1982-12-31
196,96788.984375,1983-01-03
197,100515.578125,1983-01-04
198,104494.90625,1983-01-05
199,108426.8046875,1983-01-06
200,112391.0703125,1983-01-07
201,116278.65625,1983-01-10
202,120263.3515625,1983-01-11
203,124212.5,1983-01-12
204,128088.0390625,1983-01-13
205,131874.546875,1983-01-14
206,135590.25,1983-01-17
207,139232.0625,1983-01-18
208,142823.65625,1983-01-19
209,146350.03125,1983-01-20
210,149905.125,1983-01-21
211,153432.03125,1983-01-24
212,156962.109375,1983-01-25
213,160534.953125,1983-01-26
214,164261.671875,1983-01-27
215,168249.078125,1983-01-28
216,172339.15625,1983-01-31
217,176458.125,1983-02-01
218,180613.15625,1983-02-02
219,184953.671875,1983-02-03
220,189439.234375,1983-02-04
221,194105.5625,1983-02-07
222,198960.1875,1983-02-08
223,203878.75,1983-02-09
224,209058.3125,1983-02-10
225,214350.53125,1983-02-11
226,220013.875,1983-02-14
227,225902.328125,1983-02-15
228,231919.96875,1983-02-16
229,237961.859375,1983-02-17
230,244043.3125,1983-02-18
231,250061.890625,1983-02-22
232,256042.734375,1983-02-23
233,261959.3125,1983-02-24
234,267747.25,1983-02-25
235,273396.5625,1983-02-28
236,278916.5,1983-03-01
237,284218.71875,1983-03-02
238,289256.3125,1983-03-03
239,294008.0,1983-03-04
240,298570.40625,1983-03-07
241,302896.375,1983-03-08
242,306971.375,1983-03-09
243,310780.875,1983-03-10
244,314462.6875,1983-03-11
245,317809.75,1983-03-14
246,321107.5,1983-03-15
247,324114.875,1983-03-16
248,326914.65625,1983-03-17
249,329400.34375,1983-03-18
250,331473.84375,1983-03-21
251,333273.90625,1983-03-22
252,334679.25,1983-03-23
253,335720.3125,1983-03-24
254,336357.1875,1983-03-25
255,336537.375,1983-03-28
256,336377.6875,1983-03-29
257,335951.1875,1983-03-30
258,335183.46875,1983-03-31
259,334039.09375,1983-04-04
260,332628.4375,1983-04-05
261,330734.375,1983-04-06
262,328196.28125,1983-04-07
263,325170.15625,1983-04-08
264,321402.40625,1983-04-11
265,317241.0625,1983-04-12
266,312569.75,1983-04-13
267,307287.125,1983-04-14
268,301606.6875,1983-04-15
269,295789.46875,1983-04-18
270,289905.34375,1983-04-19
271,283744.40625,1983-04-20
272,277463.75,1983-04-21
273,271146.34375,1983-04-22
274,264818.8125,1983-04-25
275,258621.28125,1983-04-26
276,252596.21875,1983-04-27
277,246770.1875,1983-04-28
278,241025.4375,1983-04-29
279,235489.765625,1983-05-02
280,230100.53125,1983-05-03
281,224758.984375,1983-05-04
282,219625.84375,1983-05-05
283,214542.515625,1983-05-06
284,209459.546875,1983-05-09
285,204258.4375,1983-05-10
286,198884.890625,1983-05-11
287,193319.953125,1983-05-12
288,187841.375,1983-05-13
289,182335.953125,1983-05-16
290,176759.796875,1983-05-17
291,171077.78125,1983-05-18
292,165210.84375,1983-05-19
293,159293.578125,1983-05-20
294,153288.640625,1983-05-23
295,147379.546875,1983-05-24
296,141194.796875,1983-05-25
297,134860.03125,1983-05-26
298,128432.2578125,1983-05-27
299,121914.2109375,1983-05-31
300,115522.7265625,1983-06-01
301,109089.40625,1983-06-02
302,102681.46875,1983-06-03
303,96331.109375,1983-06-06
304,90001.140625,1983-06-07
305,83778.5390625,1983-06-08
306,77623.609375,1983-06-09
307,71747.59375,1983-06-10
308,65949.9140625,1983-06-13
309,60329.98046875,1983-06-14
310,54877.8359375,1983-06-15
311,49732.30859375,1983-06-16
312,44848.0703125,1983-06-17
313,40191.55859375,1983-06-20
314,36115.6796875,1983-06-21
315,34182.3125,1983-06-22
316,32407.23828125,1983-06-23
317,30796.880859375,1983-06-24
318,29296.087890625,1983-06-27
319,27713.484375,1983-06-28
320,26315.12109375,1983-06-29
321,25061.60546875,1983-06-30
322,23947.619140625,1983-07-01
323,22842.970703125,1983-07-05
324,21770.19921875,1983-07-06
325,20796.763671875,1983-07-07
326,19855.78515625,1983-07-08
327,18986.685546875,1983-07-11
328,18192.8359375,1983-07-12
329,17366.638671875,1983-07-13
330,16813.94921875,1983-07-14
331,16374.58203125,1983-07-15
332,16231.42578125,1983-07-18
333,16533.904296875,1983-07-19
334,16802.39453125,1983-07-20
335,17045.888671875,1983-07-21
336,17336.904296875,1983-07-22
337,17683.962890625,1983-07-25
338,17941.416015625,1983-07-26
339,18393.4375,1983-07-27
340,18751.861328125,1983-07-28
341,19173.443359375,1983-07-29
342,19593.765625,1983-08-01
343,20084.017578125,1983-08-02
344,20538.21875,1983-08-03
345,20953.029296875,1983-08-04
346,21515.96484375,1983-08-05
347,22172.5546875,1983-08-08
348,22875.05078125,1983-08-09
349,23844.0625,1983-08-10
350,24510.66796875,1983-08-11
351,24955.4921875,1983-08-12
352,25258.482421875,1983-08-15
353,25500.376953125,1983-08-16
354,25794.1015625,1983-08-17
355,26124.97265625,1983-08-18
356,26196.22265625,1983-08-19
357,26319.84375,1983-08-22
358,26587.302734375,1983-08-23
359,26946.341796875,1983-08-24
360,27482.03515625,1983-08-25
361,27896.318359375,1983-08-26
362,28308.4453125,1983-08-29
363,28752.291015625,1983-08-30
364,29427.39453125,1983-08-31
365,30130.81640625,1983-09-01
366,30758.736328125,1983-09-02
367,31462.529296875,1983-09-06
368,32331.578125,1983-09-07
