Period Number,Value,Date
1,7596.5947265625,2002-01-18
2,7567.28662109375,2002-01-22
3,7517.0068359375,2002-01-23
4,7552.00146484375,2002-01-24
5,7677.462890625,2002-01-25
6,7743.64208984375,2002-01-28
7,7626.68896484375,2002-01-29
8,7437.36572265625,2002-01-30
9,7141.18017578125,2002-01-31
10,6913.74072265625,2002-02-01
11,6596.1591796875,2002-02-04
12,6220.03466796875,2002-02-05
13,6326.73681640625,2002-02-06
14,6527.6787109375,2002-02-07
15,6751.0849609375,2002-02-08
16,6919.626953125,2002-02-11
17,7060.205078125,2002-02-12
18,7174.2353515625,2002-02-13
19,7081.2958984375,2002-02-14
20,6960.13525390625,2002-02-15
21,6943.07470703125,2002-02-19
22,6769.88232421875,2002-02-20
23,6501.63037109375,2002-02-21
24,6274.04541015625,2002-02-22
25,6055.927734375,2002-02-25
26,5762.71630859375,2002-02-26
27,5385.2705078125,2002-02-27
28,5063.0322265625,2002-02-28
29,4635.19677734375,2002-03-01
30,4099.2783203125,2002-03-04
31,3525.76416015625,2002-03-05
32,2995.170166015625,2002-03-06
33,2421.074462890625,2002-03-07
34,1857.989013671875,2002-03-08
35,1397.757568359375,2002-03-11
36,1128.0770263671875,2002-03-12
37,976.6278076171875,2002-03-13
38,888.2562255859375,2002-03-14
39,1008.0692749023438,2002-03-15
40,1183.5191650390625,2002-03-18
41,1407.6085205078125,2002-03-19
42,1599.3240966796875,2002-03-20
43,1854.585693359375,2002-03-21
44,2093.194580078125,2002-03-22
45,2262.376708984375,2002-03-25
46,2457.1669921875,2002-03-26
47,2641.34033203125,2002-03-27
48,2825.93115234375,2002-03-28
49,2965.6630859375,2002-04-01
50,3028.8095703125,2002-04-02
51,3092.619140625,2002-04-03
52,3197.2958984375,2002-04-04
53,3324.286376953125,2002-04-05
54,3515.749755859375,2002-04-08
55,3601.70166015625,2002-04-09
56,3640.712890625,2002-04-10
57,3510.385009765625,2002-04-11
58,3345.53515625,2002-04-12
59,3107.696044921875,2002-04-15
60,2871.428955078125,2002-04-16
61,2534.39111328125,2002-04-17
62,2172.743896484375,2002-04-18
63,1767.9786376953125,2002-04-19
64,1375.885009765625,2002-04-22
65,1001.2306518554688,2002-04-23
66,791.442138671875,2002-04-24
67,631.8912963867188,2002-04-25
68,487.70703125,2002-04-26
69,401.3661193847656,2002-04-29
70,404.9263916015625,2002-04-30
71,652.79248046875,2002-05-01
