Period Number,Value,Date
1,14963.095703125,2015-12-16
2,16566.1640625,2015-12-17
3,18136.3984375,2015-12-18
4,19750.384765625,2015-12-21
5,21597.76171875,2015-12-22
6,24041.720703125,2015-12-23
7,26542.501953125,2015-12-24
8,28875.2109375,2015-12-28
9,31234.16015625,2015-12-29
10,33601.13671875,2015-12-30
11,35915.890625,2015-12-31
12,38282.2265625,2016-01-04
13,40422.625,2016-01-05
14,42456.96484375,2016-01-06
15,44537.22265625,2016-01-07
16,46640.21875,2016-01-08
17,48612.796875,2016-01-11
18,50250.3515625,2016-01-12
19,51712.5234375,2016-01-13
20,53094.9921875,2016-01-14
21,53905.90234375,2016-01-15
22,54290.80859375,2016-01-19
23,54728.3515625,2016-01-20
24,55172.41796875,2016-01-21
25,55451.7109375,2016-01-22
26,55591.73046875,2016-01-25
27,55480.234375,2016-01-26
28,55162.8203125,2016-01-27
29,54627.8515625,2016-01-28
30,53918.22265625,2016-01-29
31,53086.80078125,2016-02-01
32,52118.34765625,2016-02-02
33,50972.98828125,2016-02-03
34,49930.81640625,2016-02-04
35,48692.9765625,2016-02-05
36,47331.5390625,2016-02-08
37,45925.68359375,2016-02-09
38,44567.06640625,2016-02-10
39,43095.9296875,2016-02-11
40,41571.42578125,2016-02-12
41,40315.09765625,2016-02-16
42,39165.875,2016-02-17
43,38096.90625,2016-02-18
44,36935.7109375,2016-02-19
45,35866.43359375,2016-02-22
46,34681.21875,2016-02-23
47,33571.4375,2016-02-24
48,32489.4375,2016-02-25
49,31437.44921875,2016-02-26
50,30399.48828125,2016-02-29
51,29407.787109375,2016-03-01
52,28445.9140625,2016-03-02
53,27350.69921875,2016-03-03
54,26196.611328125,2016-03-04
55,25111.162109375,2016-03-07
56,24054.869140625,2016-03-08
57,23009.14453125,2016-03-09
58,22028.68359375,2016-03-10
59,21026.1171875,2016-03-11
60,19935.158203125,2016-03-14
61,18880.2109375,2016-03-15
62,18395.28125,2016-03-16
63,18557.83984375,2016-03-17
64,18726.078125,2016-03-18
65,18977.529296875,2016-03-21
66,19207.048828125,2016-03-22
67,19525.365234375,2016-03-23
68,19807.736328125,2016-03-24
69,20097.62109375,2016-03-28
70,20609.08203125,2016-03-29
71,21329.55859375,2016-03-30
72,21972.451171875,2016-03-31
73,22345.859375,2016-04-01
74,22307.78125,2016-04-04
75,22152.935546875,2016-04-05
76,21741.171875,2016-04-06
77,21232.283203125,2016-04-07
78,20798.734375,2016-04-08
79,20320.689453125,2016-04-11
80,19754.630859375,2016-04-12
81,19224.712890625,2016-04-13
82,18751.40234375,2016-04-14
83,18270.734375,2016-04-15
84,17828.298828125,2016-04-18
85,17300.6875,2016-04-19
86,16809.830078125,2016-04-20
87,16336.3642578125,2016-04-21
88,15859.068359375,2016-04-22
89,15584.791015625,2016-04-25
90,15384.9609375,2016-04-26
91,15117.2978515625,2016-04-27
92,14880.552734375,2016-04-28
93,14645.6044921875,2016-04-29
94,14498.8193359375,2016-05-02
95,14334.15625,2016-05-03
96,14153.615234375,2016-05-04
97,14071.5771484375,2016-05-05
98,14775.7822265625,2016-05-06
99,15476.69921875,2016-05-09
100,16066.017578125,2016-05-10
101,16606.09765625,2016-05-11
102,17069.57421875,2016-05-12
103,17499.076171875,2016-05-13
104,17691.55078125,2016-05-16
105,17928.3203125,2016-05-17
106,17977.31640625,2016-05-18
107,17914.771484375,2016-05-19
108,17886.771484375,2016-05-20
109,17855.947265625,2016-05-23
110,17894.544921875,2016-05-24
111,17911.0546875,2016-05-25
112,18001.556640625,2016-05-26
113,18110.7109375,2016-05-27
114,18399.892578125,2016-05-31
115,18704.056640625,2016-06-01
116,19059.197265625,2016-06-02
117,19693.193359375,2016-06-03
118,20481.982421875,2016-06-06
119,21328.912109375,2016-06-07
120,22327.880859375,2016-06-08
121,23621.892578125,2016-06-09
122,25209.818359375,2016-06-10
123,26718.861328125,2016-06-13
124,27912.640625,2016-06-14
125,28457.685546875,2016-06-15
126,29049.26171875,2016-06-16
127,30160.39453125,2016-06-17
128,30854.33203125,2016-06-20
129,31124.9921875,2016-06-21
130,31139.69921875,2016-06-22
131,31210.9609375,2016-06-23
132,31482.46484375,2016-06-24
133,31605.328125,2016-06-27
134,31576.998046875,2016-06-28
135,31496.35546875,2016-06-29
136,31463.521484375,2016-06-30
137,31351.330078125,2016-07-01
138,31181.28515625,2016-07-05
139,31072.3125,2016-07-06
140,31026.05859375,2016-07-07
141,31242.748046875,2016-07-08
142,31525.728515625,2016-07-11
143,31918.224609375,2016-07-12
144,32427.1328125,2016-07-13
145,33022.03125,2016-07-14
146,33760.90234375,2016-07-15
147,34676.125,2016-07-18
148,35435.24609375,2016-07-19
149,36305.89453125,2016-07-20
150,37318.12890625,2016-07-21
151,38453.15625,2016-07-22
152,39614.19921875,2016-07-25
153,40909.8203125,2016-07-26
154,42143.46875,2016-07-27
155,43291.7265625,2016-07-28
156,44512.05078125,2016-07-29
157,45526.65625,2016-08-01
158,46407.94140625,2016-08-02
159,47551.33984375,2016-08-03
160,48948.97265625,2016-08-04
161,50037.88671875,2016-08-05
162,51165.21875,2016-08-08
163,52207.68359375,2016-08-09
164,53228.1796875,2016-08-10
165,54048.90234375,2016-08-11
166,54765.1328125,2016-08-12
167,55183.79296875,2016-08-15
168,55496.09375,2016-08-16
169,55532.484375,2016-08-17
170,55208.7578125,2016-08-18
171,54584.7578125,2016-08-19
172,53646.421875,2016-08-22
173,52381.65234375,2016-08-23
174,50445.8828125,2016-08-24
175,48156.2109375,2016-08-25
176,46036.9296875,2016-08-26
177,43857.3515625,2016-08-29
178,41565.41015625,2016-08-30
179,39118.7421875,2016-08-31
180,36511.44921875,2016-09-01
181,33920.6171875,2016-09-02
182,31588.548828125,2016-09-06
183,29395.708984375,2016-09-07
184,27347.255859375,2016-09-08
185,25284.8515625,2016-09-09
186,23204.47265625,2016-09-12
187,21389.4296875,2016-09-13
188,19668.7109375,2016-09-14
189,17987.1875,2016-09-15
190,16436.02734375,2016-09-16
191,15747.8310546875,2016-09-19
192,15142.5087890625,2016-09-20
193,14587.4951171875,2016-09-21
194,14274.7880859375,2016-09-22
195,14056.943359375,2016-09-23
196,13946.568359375,2016-09-26
197,13754.80078125,2016-09-27
198,13654.763671875,2016-09-28
199,13462.3017578125,2016-09-29
200,13348.48828125,2016-09-30
201,13516.08203125,2016-10-03
202,13700.4609375,2016-10-04
203,13881.580078125,2016-10-05
204,14076.998046875,2016-10-06
205,14341.7275390625,2016-10-07
206,14444.5322265625,2016-10-10
207,14481.7958984375,2016-10-11
208,14578.94921875,2016-10-12
209,14630.5703125,2016-10-13
210,14663.900390625,2016-10-14
211,14739.9580078125,2016-10-17
212,14759.369140625,2016-10-18
213,14601.357421875,2016-10-19
214,14465.0458984375,2016-10-20
215,14338.982421875,2016-10-21
216,14187.841796875,2016-10-24
