Period Number,Value,Date
1,8799762.0,2011-05-23
2,8852498.0,2011-05-24
3,8905395.0,2011-05-25
4,8954062.0,2011-05-26
5,9000642.0,2011-05-27
6,9045156.0,2011-05-31
7,9085008.0,2011-06-01
8,9121925.0,2011-06-02
9,9155179.0,2011-06-03
10,9185211.0,2011-06-06
11,9213998.0,2011-06-07
12,9240476.0,2011-06-08
13,9267139.0,2011-06-09
14,9291623.0,2011-06-10
15,9315606.0,2011-06-13
16,9341525.0,2011-06-14
17,9365096.0,2011-06-15
18,9383851.0,2011-06-16
19,9402066.0,2011-06-17
20,9420719.0,2011-06-20
21,9439036.0,2011-06-21
22,9454775.0,2011-06-22
23,9468589.0,2011-06-23
24,9478621.0,2011-06-24
25,9486390.0,2011-06-27
26,9494257.0,2011-06-28
27,9501501.0,2011-06-29
28,9503364.0,2011-06-30
29,9500732.0,2011-07-01
30,9495067.0,2011-07-05
31,9487897.0,2011-07-06
32,9477495.0,2011-07-07
33,9464993.0,2011-07-08
34,9449395.0,2011-07-11
35,9431547.0,2011-07-12
36,9413098.0,2011-07-13
37,9393205.0,2011-07-14
38,9371433.0,2011-07-15
39,9350383.0,2011-07-18
40,9327559.0,2011-07-19
41,9302338.0,2011-07-20
42,9277582.0,2011-07-21
43,9253716.0,2011-07-22
44,9227540.0,2011-07-25
45,9199325.0,2011-07-26
46,9167821.0,2011-07-27
47,9136038.0,2011-07-28
48,9100850.0,2011-07-29
49,9065121.0,2011-08-01
50,9028447.0,2011-08-02
51,8990640.0,2011-08-03
52,8949881.0,2011-08-04
53,8908498.0,2011-08-05
54,8866138.0,2011-08-08
55,8826047.0,2011-08-09
56,8786359.0,2011-08-10
57,8748092.0,2011-08-11
58,8710713.0,2011-08-12
59,8675943.0,2011-08-15
60,8640537.0,2011-08-16
61,8605205.0,2011-08-17
62,8570291.0,2011-08-18
63,8536756.0,2011-08-19
64,8503142.0,2011-08-22
65,8467285.0,2011-08-23
66,8429788.0,2011-08-24
67,8393350.0,2011-08-25
68,8357091.5,2011-08-26
69,8320386.5,2011-08-29
70,8283082.0,2011-08-30
71,8244039.5,2011-08-31
72,8202598.5,2011-09-01
73,8160160.0,2011-09-02
74,8114772.5,2011-09-06
75,8067718.0,2011-09-07
76,8021030.0,2011-09-08
77,7973112.0,2011-09-09
78,7925247.5,2011-09-12
79,7876877.5,2011-09-13
80,7826002.5,2011-09-14
81,7775109.5,2011-09-15
82,7723701.0,2011-09-16
83,7669540.5,2011-09-19
84,7617296.0,2011-09-20
85,7563102.0,2011-09-21
86,7503283.0,2011-09-22
87,7439593.0,2011-09-23
88,7375644.5,2011-09-26
89,7308683.0,2011-09-27
90,7237245.5,2011-09-28
91,7165165.0,2011-09-29
92,7092215.0,2011-09-30
93,7017427.5,2011-10-03
94,6942408.5,2011-10-04
95,6868370.0,2011-10-05
96,6793982.5,2011-10-06
97,6717909.0,2011-10-07
98,6643145.5,2011-10-10
99,6567559.0,2011-10-11
100,6492526.5,2011-10-12
101,6415241.5,2011-10-13
102,6337656.0,2011-10-14
103,6258300.5,2011-10-17
104,6179061.5,2011-10-18
105,6097443.5,2011-10-19
106,6014138.5,2011-10-20
107,5931835.5,2011-10-21
108,5850608.5,2011-10-24
109,5770015.0,2011-10-25
110,5688723.5,2011-10-26
111,5608141.0,2011-10-27
112,5528765.5,2011-10-28
113,5448075.5,2011-10-31
114,5366321.0,2011-11-01
115,5285462.0,2011-11-02
116,5205632.5,2011-11-03
117,5125221.0,2011-11-04
118,5046571.0,2011-11-07
119,4967656.5,2011-11-08
120,4888287.0,2011-11-09
121,4807887.0,2011-11-10
122,4730204.0,2011-11-11
123,4652744.5,2011-11-14
124,4576811.0,2011-11-15
125,4501065.0,2011-11-16
126,4426185.5,2011-11-17
127,4352127.5,2011-11-18
128,4278850.5,2011-11-21
129,4206363.0,2011-11-22
130,4133895.25,2011-11-23
131,4061274.25,2011-11-25
132,3990437.5,2011-11-28
133,3920308.5,2011-11-29
134,3853170.25,2011-11-30
135,3785716.0,2011-12-01
136,3717901.75,2011-12-02
137,3650097.0,2011-12-05
138,3584781.5,2011-12-06
139,3540134.5,2011-12-07
140,3494607.5,2011-12-08
141,3449394.5,2011-12-09
142,3403035.25,2011-12-12
143,3355369.25,2011-12-13
144,3306637.5,2011-12-14
145,3257582.75,2011-12-15
146,3209357.0,2011-12-16
147,3160137.5,2011-12-19
148,3112818.75,2011-12-20
149,3065306.5,2011-12-21
150,3017307.0,2011-12-22
151,2969740.25,2011-12-23
152,2921918.25,2011-12-27
153,2873464.0,2011-12-28
154,2826178.5,2011-12-29
155,2779214.75,2011-12-30
156,2735967.0,2012-01-03
157,2695096.5,2012-01-04
158,2654505.5,2012-01-05
159,2614106.25,2012-01-06
160,2574341.5,2012-01-09
161,2535478.25,2012-01-10
162,2497334.25,2012-01-11
163,2460666.5,2012-01-12
164,2423999.75,2012-01-13
165,2387543.75,2012-01-17
166,2351429.75,2012-01-18
167,2315629.0,2012-01-19
168,2280424.75,2012-01-20
169,2247428.75,2012-01-23
170,2214548.5,2012-01-24
171,2184253.25,2012-01-25
172,2154967.75,2012-01-26
173,2126816.5,2012-01-27
174,2099139.0,2012-01-30
175,2072399.5,2012-01-31
176,2046432.5,2012-02-01
177,2021302.0,2012-02-02
178,1996210.25,2012-02-03
179,1971618.375,2012-02-06
180,1947127.625,2012-02-07
181,1923320.75,2012-02-08
182,1899646.875,2012-02-09
183,1875597.625,2012-02-10
184,1851997.875,2012-02-13
185,1828575.75,2012-02-14
186,1805297.125,2012-02-15
187,1782751.25,2012-02-16
188,1759413.5,2012-02-17
189,1737671.875,2012-02-21
190,1716543.875,2012-02-22
191,1695619.75,2012-02-23
192,1674512.5,2012-02-24
193,1651951.625,2012-02-27
194,1630497.875,2012-02-28
195,1607875.0,2012-02-29
196,1585099.625,2012-03-01
197,1561725.875,2012-03-02
198,1538612.125,2012-03-05
199,1515239.75,2012-03-06
200,1492460.625,2012-03-07
201,1470266.25,2012-03-08
202,1448725.625,2012-03-09
203,1426511.375,2012-03-12
204,1404729.75,2012-03-13
205,1382751.5,2012-03-14
206,1361287.875,2012-03-15
207,1340377.375,2012-03-16
208,1319892.625,2012-03-19
209,1300346.75,2012-03-20
210,1281143.875,2012-03-21
211,1261838.125,2012-03-22
212,1243665.0,2012-03-23
213,1226166.125,2012-03-26
214,1208895.125,2012-03-27
215,1191565.375,2012-03-28
216,1174843.375,2012-03-29
217,1159058.125,2012-03-30
218,1144250.0,2012-04-02
219,1129307.375,2012-04-03
220,1113717.625,2012-04-04
221,1098199.625,2012-04-05
222,1083302.125,2012-04-09
223,1068920.75,2012-04-10
224,1054631.5,2012-04-11
225,1041800.875,2012-04-12
226,1029076.625,2012-04-13
227,1015974.5,2012-04-16
228,1003289.6875,2012-04-17
229,990292.5625,2012-04-18
230,977687.5,2012-04-19
231,964976.625,2012-04-20
232,951818.6875,2012-04-23
233,939124.5,2012-04-24
234,926918.0,2012-04-25
235,915029.625,2012-04-26
236,903357.5,2012-04-27
237,891614.5,2012-04-30
238,880417.125,2012-05-01
239,869109.75,2012-05-02
240,857080.75,2012-05-03
241,845334.375,2012-05-04
242,833448.5,2012-05-07
243,820914.3125,2012-05-08
244,808579.625,2012-05-09
245,796509.125,2012-05-10
246,784086.5625,2012-05-11
247,771097.0625,2012-05-14
248,757258.9375,2012-05-15
249,743650.1875,2012-05-16
250,731286.1875,2012-05-17
251,719315.0,2012-05-18
252,707916.5,2012-05-21
253,696557.875,2012-05-22
254,685771.0625,2012-05-23
255,675231.25,2012-05-24
256,664814.5,2012-05-25
