Period Number,Value,Date
1,2.0251618E7,2014-11-13
2,2.0339316E7,2014-11-14
3,2.0421098E7,2014-11-17
4,2.0493472E7,2014-11-18
5,2.0572642E7,2014-11-19
6,2.0647232E7,2014-11-20
7,2.0721314E7,2014-11-21
8,2.0797276E7,2014-11-24
9,2.0868884E7,2014-11-25
10,2.09444E7,2014-11-26
11,2.1031486E7,2014-11-28
12,2.1112472E7,2014-12-01
13,2.120094E7,2014-12-02
14,2.1285148E7,2014-12-03
15,2.1371126E7,2014-12-04
16,2.1463694E7,2014-12-05
17,2.1557804E7,2014-12-08
18,2.1648632E7,2014-12-09
19,2.1745524E7,2014-12-10
20,2.184248E7,2014-12-11
21,2.1940884E7,2014-12-12
22,2.2048648E7,2014-12-15
23,2.2156084E7,2014-12-16
24,2.2255394E7,2014-12-17
25,2.2343546E7,2014-12-18
26,2.2435924E7,2014-12-19
27,2.253323E7,2014-12-22
28,2.2630876E7,2014-12-23
29,2.272181E7,2014-12-24
30,2.2803138E7,2014-12-26
31,2.2884E7,2014-12-29
32,2.295698E7,2014-12-30
33,2.3028764E7,2014-12-31
34,2.3094928E7,2015-01-02
35,2.3154128E7,2015-01-05
36,2.3202196E7,2015-01-06
37,2.3251804E7,2015-01-07
38,2.3301386E7,2015-01-08
39,2.3346046E7,2015-01-09
40,2.338394E7,2015-01-12
41,2.3425482E7,2015-01-13
42,2.3472844E7,2015-01-14
43,2.3514048E7,2015-01-15
44,2.3554526E7,2015-01-16
45,2.3591588E7,2015-01-20
46,2.3630522E7,2015-01-21
47,2.3675058E7,2015-01-22
48,2.3728774E7,2015-01-23
49,2.377935E7,2015-01-26
50,2.3825412E7,2015-01-27
51,2.3877604E7,2015-01-28
52,2.393479E7,2015-01-29
53,2.3986848E7,2015-01-30
54,2.4040536E7,2015-02-02
55,2.409102E7,2015-02-03
56,2.4137004E7,2015-02-04
57,2.417999E7,2015-02-05
58,2.4232634E7,2015-02-06
59,2.4277996E7,2015-02-09
60,2.4326274E7,2015-02-10
61,2.4371562E7,2015-02-11
62,2.4414562E7,2015-02-12
63,2.4451512E7,2015-02-13
64,2.4492098E7,2015-02-17
