Period Number,Value,Date
1,6.659921646118164,1999-07-19
2,6.192999362945557,1999-07-20
3,15.352444648742676,1999-07-21
4,20.19102668762207,1999-07-22
5,41.38182830810547,1999-07-23
6,68.64839172363281,1999-07-26
7,70.9154052734375,1999-07-27
8,66.59583282470703,1999-07-28
9,73.43677520751953,1999-07-29
10,84.57829284667969,1999-07-30
11,96.60238647460938,1999-08-02
12,107.61163330078125,1999-08-03
13,119.41085815429688,1999-08-04
14,132.00897216796875,1999-08-05
15,172.1205596923828,1999-08-06
16,216.86749267578125,1999-08-09
17,226.22935485839844,1999-08-10
18,172.67636108398438,1999-08-11
19,123.13200378417969,1999-08-12
20,86.73118591308594,1999-08-13
21,61.80936050415039,1999-08-16
22,54.873077392578125,1999-08-17
23,48.78738021850586,1999-08-18
24,48.81175231933594,1999-08-19
25,58.27934646606445,1999-08-20
26,83.18659210205078,1999-08-23
27,110.0400619506836,1999-08-24
28,136.8716583251953,1999-08-25
29,161.1949005126953,1999-08-26
30,181.8474578857422,1999-08-27
31,198.06834411621094,1999-08-30
32,211.02847290039062,1999-08-31
33,220.0469970703125,1999-09-01
34,224.02821350097656,1999-09-02
35,225.1847686767578,1999-09-03
36,220.06552124023438,1999-09-07
37,209.1614990234375,1999-09-08
38,193.2543487548828,1999-09-09
39,180.68968200683594,1999-09-10
40,173.74880981445312,1999-09-13
41,157.96397399902344,1999-09-14
42,151.8537139892578,1999-09-15
43,147.68411254882812,1999-09-16
44,134.18572998046875,1999-09-17
45,129.8214874267578,1999-09-20
46,138.36314392089844,1999-09-21
47,136.47518920898438,1999-09-22
48,130.31617736816406,1999-09-23
49,119.97804260253906,1999-09-24
50,111.6632080078125,1999-09-27
51,96.32598876953125,1999-09-28
52,87.43514251708984,1999-09-29
53,69.59675598144531,1999-09-30
54,61.89109420776367,1999-10-01
55,40.7138671875,1999-10-04
56,23.534324645996094,1999-10-05
57,11.360518455505371,1999-10-06
58,4.878921031951904,1999-10-07
59,0.0043328735046088696,1999-10-08
60,6.665228366851807,1999-10-11
61,22.377243041992188,1999-10-12
62,38.53972625732422,1999-10-13
63,56.34751510620117,1999-10-14
64,55.0958366394043,1999-10-15
65,46.05159378051758,1999-10-18
66,36.31415557861328,1999-10-19
67,18.789535522460938,1999-10-20
68,5.047504901885986,1999-10-21
69,1.7173925638198853,1999-10-22
70,1.1284674406051636,1999-10-25
71,0.10820002108812332,1999-10-26
72,0.14094911515712738,1999-10-27
73,6.547235488891602,1999-10-28
74,19.881595611572266,1999-10-29
75,32.69925308227539,1999-11-01
76,45.68099594116211,1999-11-02
77,59.85763168334961,1999-11-03
78,86.97233581542969,1999-11-04
79,132.6484832763672,1999-11-05
80,186.11312866210938,1999-11-08
81,228.23944091796875,1999-11-09
82,260.8225402832031,1999-11-10
83,278.4911193847656,1999-11-11
84,337.9172058105469,1999-11-12
85,388.63824462890625,1999-11-15
86,457.35272216796875,1999-11-16
87,547.7225952148438,1999-11-17
88,637.2472534179688,1999-11-18
89,725.4895629882812,1999-11-19
90,797.5731201171875,1999-11-22
91,868.2064819335938,1999-11-23
92,914.530517578125,1999-11-24
93,913.2509155273438,1999-11-26
94,862.962890625,1999-11-29
95,810.5980224609375,1999-11-30
96,801.6171875,1999-12-01
97,810.7887573242188,1999-12-02
98,808.9164428710938,1999-12-03
99,815.7622680664062,1999-12-06
100,840.3938598632812,1999-12-07
101,866.478271484375,1999-12-08
102,883.4386596679688,1999-12-09
103,915.3191528320312,1999-12-10
104,932.5459594726562,1999-12-13
105,916.2900390625,1999-12-14
106,878.2205810546875,1999-12-15
107,855.024658203125,1999-12-16
108,841.4600219726562,1999-12-17
109,852.241455078125,1999-12-20
110,846.1546020507812,1999-12-21
111,838.1939086914062,1999-12-22
112,836.7506713867188,1999-12-23
113,833.7040405273438,1999-12-27
114,825.0120849609375,1999-12-28
115,849.4517822265625,1999-12-29
116,865.972900390625,1999-12-30
117,875.7271118164062,1999-12-31
118,834.304443359375,2000-01-03
119,749.1216430664062,2000-01-04
120,624.86865234375,2000-01-05
121,573.744140625,2000-01-06
122,499.23822021484375,2000-01-07
123,407.23724365234375,2000-01-10
124,342.09490966796875,2000-01-11
125,338.44342041015625,2000-01-12
126,322.09490966796875,2000-01-13
127,292.9277648925781,2000-01-14
128,267.8813171386719,2000-01-18
129,233.84608459472656,2000-01-19
130,200.32901000976562,2000-01-20
131,186.14930725097656,2000-01-21
132,154.44432067871094,2000-01-24
133,129.19412231445312,2000-01-25
134,117.75353240966797,2000-01-26
135,118.30529022216797,2000-01-27
136,122.98320770263672,2000-01-28
137,130.44586181640625,2000-01-31
138,157.85958862304688,2000-02-01
139,176.78335571289062,2000-02-02
140,181.16696166992188,2000-02-03
141,182.20188903808594,2000-02-04
142,185.90777587890625,2000-02-07
143,192.8939208984375,2000-02-08
144,185.30824279785156,2000-02-09
145,176.7809600830078,2000-02-10
146,147.24298095703125,2000-02-11
147,125.60256958007812,2000-02-14
148,108.28475189208984,2000-02-15
149,86.97390747070312,2000-02-16
150,70.64322662353516,2000-02-17
151,49.297279357910156,2000-02-18
152,39.986961364746094,2000-02-22
153,34.742835998535156,2000-02-23
154,34.41848373413086,2000-02-24
155,38.392581939697266,2000-02-25
156,41.26935958862305,2000-02-28
157,43.555973052978516,2000-02-29
158,50.8018798828125,2000-03-01
159,56.40923309326172,2000-03-02
160,80.1379165649414,2000-03-03
161,114.26362609863281,2000-03-06
162,146.7161865234375,2000-03-07
163,156.5138397216797,2000-03-08
164,188.25094604492188,2000-03-09
165,242.87545776367188,2000-03-10
166,309.38104248046875,2000-03-13
167,371.9942321777344,2000-03-14
168,466.0780944824219,2000-03-15
169,585.9825439453125,2000-03-16
170,746.2753295898438,2000-03-17
171,815.7472534179688,2000-03-20
172,852.6492919921875,2000-03-21
173,905.3585815429688,2000-03-22
174,959.2779541015625,2000-03-23
175,1038.9761962890625,2000-03-24
176,1040.90576171875,2000-03-27
177,1040.7509765625,2000-03-28
178,1044.4906005859375,2000-03-29
179,1008.2584228515625,2000-03-30
180,982.1528930664062,2000-03-31
