Period Number,Value,Date
1,5766667.0,1983-09-29
2,5753305.0,1983-09-30
3,5738762.0,1983-10-03
4,5723291.0,1983-10-04
5,5706904.0,1983-10-05
6,5689857.0,1983-10-06
7,5672001.0,1983-10-07
8,5653689.0,1983-10-10
9,5634482.0,1983-10-11
10,5614250.0,1983-10-12
11,5593824.0,1983-10-13
12,5573082.5,1983-10-14
13,5552091.0,1983-10-17
14,5530192.0,1983-10-18
15,5506791.5,1983-10-19
16,5483119.5,1983-10-20
17,5457948.0,1983-10-21
18,5433331.0,1983-10-24
19,5408966.5,1983-10-25
20,5384105.5,1983-10-26
21,5370302.5,1983-10-27
22,5355396.5,1983-10-28
23,5339094.5,1983-10-31
24,5322039.0,1983-11-01
25,5305092.5,1983-11-02
26,5288228.0,1983-11-03
27,5270807.0,1983-11-04
28,5253100.0,1983-11-07
29,5234384.5,1983-11-08
30,5224561.5,1983-11-09
31,5214264.0,1983-11-10
32,5204138.0,1983-11-11
33,5194045.5,1983-11-14
34,5183634.0,1983-11-15
35,5164331.5,1983-11-16
36,5143984.0,1983-11-17
37,5122873.5,1983-11-18
38,5102333.5,1983-11-21
39,5081421.0,1983-11-22
40,5060715.5,1983-11-23
41,5048465.5,1983-11-25
42,5035886.5,1983-11-28
43,5023214.5,1983-11-29
44,5009998.5,1983-11-30
45,4996468.0,1983-12-01
46,4982561.5,1983-12-02
47,4968004.0,1983-12-05
48,4953008.0,1983-12-06
49,4937561.5,1983-12-07
50,4921314.5,1983-12-08
51,4904119.5,1983-12-09
52,4886186.5,1983-12-12
53,4867965.5,1983-12-13
54,4855547.5,1983-12-14
55,4842135.0,1983-12-15
56,4828300.5,1983-12-16
57,4813619.0,1983-12-19
58,4797938.0,1983-12-20
59,4775071.5,1983-12-21
60,4751687.5,1983-12-22
61,4728149.5,1983-12-23
62,4704513.0,1983-12-27
63,4680781.0,1983-12-28
64,4656801.5,1983-12-29
65,4632635.0,1983-12-30
66,4607536.0,1984-01-03
67,4582137.0,1984-01-04
68,4557580.5,1984-01-05
69,4533085.0,1984-01-06
70,4508686.5,1984-01-09
71,4483831.0,1984-01-10
72,4458833.0,1984-01-11
73,4433955.0,1984-01-12
74,4408597.5,1984-01-13
75,4382554.5,1984-01-16
76,4363781.5,1984-01-17
77,4344879.0,1984-01-18
78,4325817.0,1984-01-19
79,4306272.5,1984-01-20
80,4286215.5,1984-01-23
81,4265721.0,1984-01-24
82,4244310.0,1984-01-25
83,4221353.0,1984-01-26
84,4196894.0,1984-01-27
85,4172157.25,1984-01-30
86,4147840.0,1984-01-31
87,4122797.25,1984-02-01
88,4097374.75,1984-02-02
89,4070523.0,1984-02-03
90,4042805.5,1984-02-06
91,4015090.0,1984-02-07
92,3986893.25,1984-02-08
93,3958964.5,1984-02-09
94,3930534.0,1984-02-10
95,3902326.25,1984-02-13
96,3873616.75,1984-02-14
97,3844428.0,1984-02-15
98,3814071.75,1984-02-16
99,3783274.5,1984-02-17
100,3752085.0,1984-02-21
101,3719839.0,1984-02-22
102,3686885.75,1984-02-23
103,3646995.0,1984-02-24
104,3607433.5,1984-02-27
105,3573506.75,1984-02-28
106,3539417.25,1984-02-29
107,3498244.75,1984-03-01
108,3457503.5,1984-03-02
109,3422319.25,1984-03-05
110,3387006.25,1984-03-06
111,3350267.0,1984-03-07
112,3314811.25,1984-03-08
113,3279364.5,1984-03-09
114,3243962.5,1984-03-12
115,3209839.0,1984-03-13
116,3176272.25,1984-03-14
117,3143544.75,1984-03-15
118,3111308.0,1984-03-16
119,3078995.75,1984-03-19
120,3046902.5,1984-03-20
121,3015301.5,1984-03-21
122,2983596.75,1984-03-22
123,2952033.25,1984-03-23
124,2919487.75,1984-03-26
125,2892369.25,1984-03-27
126,2864768.5,1984-03-28
127,2837443.5,1984-03-29
128,2809971.0,1984-03-30
129,2782305.25,1984-04-02
130,2754432.75,1984-04-03
131,2730970.25,1984-04-04
132,2702581.75,1984-04-05
133,2674217.25,1984-04-06
134,2645298.5,1984-04-09
135,2616350.25,1984-04-10
136,2586798.75,1984-04-11
137,2557540.25,1984-04-12
138,2528179.5,1984-04-13
139,2498449.75,1984-04-16
140,2468669.0,1984-04-17
141,2438504.0,1984-04-18
142,2407618.0,1984-04-19
143,2376078.0,1984-04-23
144,2344165.25,1984-04-24
145,2311897.0,1984-04-25
146,2279899.5,1984-04-26
147,2247946.25,1984-04-27
148,2215740.75,1984-04-30
149,2183005.25,1984-05-01
150,2150446.0,1984-05-02
151,2117122.5,1984-05-03
152,2083757.0,1984-05-04
153,2050746.875,1984-05-07
154,2021469.125,1984-05-08
155,1983643.125,1984-05-09
156,1946293.25,1984-05-10
157,1908890.125,1984-05-11
158,1876263.125,1984-05-14
159,1844100.625,1984-05-15
160,1815930.375,1984-05-16
161,1788175.75,1984-05-17
162,1761192.25,1984-05-18
