Period Number,Value,Date
1,8579.5224609375,1970-08-10
2,8432.9375,1970-08-11
3,8317.9990234375,1970-08-12
4,8238.14453125,1970-08-13
5,8124.07373046875,1970-08-14
6,7986.9345703125,1970-08-17
7,7833.68310546875,1970-08-18
8,7676.63037109375,1970-08-19
9,7502.98828125,1970-08-20
10,7305.05419921875,1970-08-21
11,7068.89697265625,1970-08-24
12,6851.4111328125,1970-08-25
13,6624.26220703125,1970-08-26
14,6391.31689453125,1970-08-27
15,6132.88623046875,1970-08-28
16,5889.06689453125,1970-08-31
17,5657.978515625,1970-09-01
18,5425.39501953125,1970-09-02
19,5172.88720703125,1970-09-03
20,4911.0751953125,1970-09-04
21,4640.3828125,1970-09-08
22,4365.9609375,1970-09-09
23,4106.91748046875,1970-09-10
24,3849.72802734375,1970-09-11
25,3610.09033203125,1970-09-14
26,3370.504150390625,1970-09-15
27,3219.798583984375,1970-09-16
28,3128.330078125,1970-09-17
29,3009.861328125,1970-09-18
30,2909.52587890625,1970-09-21
31,2822.197265625,1970-09-22
32,2720.08251953125,1970-09-23
33,2603.506103515625,1970-09-24
34,2483.1884765625,1970-09-25
35,2358.28173828125,1970-09-28
36,2236.086669921875,1970-09-29
37,2124.981689453125,1970-09-30
38,2011.6605224609375,1970-10-01
39,1916.9229736328125,1970-10-02
40,1821.0135498046875,1970-10-05
41,1734.4808349609375,1970-10-06
42,1653.4993896484375,1970-10-07
43,1587.040771484375,1970-10-08
44,1522.881103515625,1970-10-09
45,1473.62158203125,1970-10-12
46,1443.013671875,1970-10-13
47,1390.4864501953125,1970-10-14
48,1333.0054931640625,1970-10-15
49,1278.3675537109375,1970-10-16
50,1241.0880126953125,1970-10-19
51,1211.07177734375,1970-10-20
52,1180.844970703125,1970-10-21
53,1155.8397216796875,1970-10-22
54,1130.9420166015625,1970-10-23
55,1119.6219482421875,1970-10-26
56,1108.4481201171875,1970-10-27
57,1086.808349609375,1970-10-28
58,1082.1904296875,1970-10-29
59,1150.9326171875,1970-10-30
60,1226.0626220703125,1970-11-02
61,1305.9632568359375,1970-11-03
62,1396.1829833984375,1970-11-04
63,1503.9962158203125,1970-11-05
64,1633.273681640625,1970-11-06
65,1788.6107177734375,1970-11-09
66,1959.3104248046875,1970-11-10
67,2131.0732421875,1970-11-11
68,2305.52490234375,1970-11-12
69,2466.361328125,1970-11-13
70,2634.2041015625,1970-11-16
71,2801.672119140625,1970-11-17
72,2961.370849609375,1970-11-18
73,3114.896240234375,1970-11-19
74,3255.31982421875,1970-11-20
75,3375.415283203125,1970-11-23
76,3483.72509765625,1970-11-24
77,3587.047607421875,1970-11-25
78,3688.1552734375,1970-11-27
79,3765.41796875,1970-11-30
80,3836.4306640625,1970-12-01
81,3918.09619140625,1970-12-02
82,3943.10498046875,1970-12-03
83,3941.523193359375,1970-12-04
84,3913.16455078125,1970-12-07
85,3887.408447265625,1970-12-08
86,3831.628173828125,1970-12-09
87,3733.328125,1970-12-10
88,3598.193359375,1970-12-11
89,3441.779296875,1970-12-14
90,3410.91748046875,1970-12-15
91,3370.382080078125,1970-12-16
92,3314.61181640625,1970-12-17
93,3254.50390625,1970-12-18
94,3198.046875,1970-12-21
95,3141.58837890625,1970-12-22
96,3071.841796875,1970-12-23
97,3008.065185546875,1970-12-24
98,2956.93408203125,1970-12-28
99,2922.64697265625,1970-12-29
100,2889.0439453125,1970-12-30
101,2860.143798828125,1970-12-31
102,2842.275146484375,1971-01-04
103,2838.181396484375,1971-01-05
104,2845.29931640625,1971-01-06
105,2853.183837890625,1971-01-07
106,2850.43115234375,1971-01-08
107,2841.426513671875,1971-01-11
108,2826.06884765625,1971-01-12
109,2809.418212890625,1971-01-13
110,2787.2236328125,1971-01-14
111,2758.73046875,1971-01-15
112,2731.74658203125,1971-01-18
113,2701.312255859375,1971-01-19
114,2675.55517578125,1971-01-20
115,2651.098876953125,1971-01-21
116,2640.279052734375,1971-01-22
117,2632.267822265625,1971-01-25
118,2638.006103515625,1971-01-26
119,2634.49609375,1971-01-27
120,2619.850341796875,1971-01-28
121,2610.225830078125,1971-01-29
122,2605.359130859375,1971-02-01
123,2609.322265625,1971-02-02
124,2619.40869140625,1971-02-03
125,2639.127197265625,1971-02-04
126,2671.271240234375,1971-02-05
127,2724.987548828125,1971-02-08
128,2780.1357421875,1971-02-09
129,2835.208251953125,1971-02-10
130,2900.537353515625,1971-02-11
131,2988.773681640625,1971-02-12
132,3091.24755859375,1971-02-16
133,3185.5830078125,1971-02-17
134,3267.10302734375,1971-02-18
135,3353.989013671875,1971-02-19
136,3447.2802734375,1971-02-22
137,3551.92578125,1971-02-23
138,3666.582763671875,1971-02-24
139,3764.106689453125,1971-02-25
140,3859.023681640625,1971-02-26
