Period Number,Value,Date
1,566.2572021484375,2007-05-23
2,463.2631530761719,2007-05-24
3,385.7988586425781,2007-05-25
4,318.8824157714844,2007-05-29
5,256.60211181640625,2007-05-30
6,200.30712890625,2007-05-31
7,159.4414825439453,2007-06-01
8,127.28958892822266,2007-06-04
9,113.2691421508789,2007-06-05
10,149.7688751220703,2007-06-06
11,200.26809692382812,2007-06-07
12,261.47454833984375,2007-06-08
13,322.5393371582031,2007-06-11
14,402.59814453125,2007-06-12
15,490.1413269042969,2007-06-13
16,575.1112060546875,2007-06-14
17,661.7156982421875,2007-06-15
18,739.7778930664062,2007-06-18
19,814.4403076171875,2007-06-19
20,879.9388427734375,2007-06-20
21,930.9803466796875,2007-06-21
22,972.7001953125,2007-06-22
23,993.6362915039062,2007-06-25
24,1002.9248046875,2007-06-26
25,999.4180908203125,2007-06-27
26,987.783203125,2007-06-28
27,965.615966796875,2007-06-29
28,934.28369140625,2007-07-02
29,900.26171875,2007-07-03
30,864.48193359375,2007-07-05
31,823.3462524414062,2007-07-06
32,786.1118774414062,2007-07-09
33,791.7062377929688,2007-07-10
34,790.1749267578125,2007-07-11
35,779.229248046875,2007-07-12
36,762.79833984375,2007-07-13
37,771.9931640625,2007-07-16
38,879.20751953125,2007-07-17
39,985.4111938476562,2007-07-18
40,1111.0626220703125,2007-07-19
41,1221.7655029296875,2007-07-20
42,1342.102783203125,2007-07-23
43,1420.59228515625,2007-07-24
44,1494.223388671875,2007-07-25
45,1513.9053955078125,2007-07-26
46,1531.8377685546875,2007-07-27
47,1562.390625,2007-07-30
48,1562.3802490234375,2007-07-31
49,1538.8807373046875,2007-08-01
50,1508.612548828125,2007-08-02
51,1437.055908203125,2007-08-03
52,1389.6256103515625,2007-08-06
53,1346.695068359375,2007-08-07
54,1333.6572265625,2007-08-08
55,1260.178466796875,2007-08-09
56,1190.2178955078125,2007-08-10
57,1120.1751708984375,2007-08-13
58,1018.6965942382812,2007-08-14
59,898.8184204101562,2007-08-15
60,771.2610473632812,2007-08-16
61,697.593994140625,2007-08-17
62,616.7549438476562,2007-08-20
63,528.2443237304688,2007-08-21
64,473.18768310546875,2007-08-22
65,463.7727966308594,2007-08-23
66,448.7644958496094,2007-08-24
67,433.2151184082031,2007-08-27
68,407.889892578125,2007-08-28
69,373.3027038574219,2007-08-29
70,347.276611328125,2007-08-30
71,318.0605773925781,2007-08-31
72,289.6481628417969,2007-09-04
73,266.0431213378906,2007-09-05
74,243.4058380126953,2007-09-06
75,216.25949096679688,2007-09-07
76,191.99594116210938,2007-09-10
77,172.4205780029297,2007-09-11
78,162.59701538085938,2007-09-12
79,150.56887817382812,2007-09-13
80,147.3643035888672,2007-09-14
81,150.43190002441406,2007-09-17
82,171.8294677734375,2007-09-18
83,203.2089080810547,2007-09-19
84,237.21844482421875,2007-09-20
85,286.3036804199219,2007-09-21
86,346.35552978515625,2007-09-24
87,411.5198059082031,2007-09-25
88,479.8953857421875,2007-09-26
89,562.7421264648438,2007-09-27
90,644.9254760742188,2007-09-28
91,760.7011108398438,2007-10-01
92,884.5158081054688,2007-10-02
93,1007.8263549804688,2007-10-03
94,1148.3468017578125,2007-10-04
95,1312.6712646484375,2007-10-05
96,1446.4278564453125,2007-10-08
97,1635.02685546875,2007-10-09
98,1842.0562744140625,2007-10-10
99,2016.1204833984375,2007-10-11
100,2206.5703125,2007-10-12
101,2388.635009765625,2007-10-15
102,2463.22607421875,2007-10-16
103,2559.858154296875,2007-10-17
104,2597.55859375,2007-10-18
105,2520.41357421875,2007-10-19
106,2458.487548828125,2007-10-22
107,2476.7900390625,2007-10-23
108,2440.586669921875,2007-10-24
109,2340.330322265625,2007-10-25
110,2299.72998046875,2007-10-26
111,2350.969482421875,2007-10-29
112,2350.33935546875,2007-10-30
113,2384.58154296875,2007-10-31
114,2319.652587890625,2007-11-01
115,2293.99169921875,2007-11-02
116,2199.43310546875,2007-11-05
117,2142.018798828125,2007-11-06
118,2041.1881103515625,2007-11-07
119,1911.98193359375,2007-11-08
120,1735.4556884765625,2007-11-09
121,1553.3941650390625,2007-11-12
122,1457.8966064453125,2007-11-13
123,1552.374267578125,2007-11-14
124,1692.5216064453125,2007-11-15
125,1842.578125,2007-11-16
126,1982.60595703125,2007-11-19
127,2112.448974609375,2007-11-20
128,2235.707763671875,2007-11-21
129,2351.880615234375,2007-11-23
130,2474.732177734375,2007-11-26
131,2582.427001953125,2007-11-27
132,2669.531982421875,2007-11-28
133,2741.0615234375,2007-11-29
134,2817.9912109375,2007-11-30
135,2899.821044921875,2007-12-03
136,2981.233642578125,2007-12-04
137,3019.537109375,2007-12-05
138,3059.15283203125,2007-12-06
139,3112.670166015625,2007-12-07
140,3162.884765625,2007-12-10
141,3208.28466796875,2007-12-11
142,3251.116455078125,2007-12-12
143,3280.90576171875,2007-12-13
144,3525.492431640625,2007-12-14
145,3587.264404296875,2007-12-17
146,3670.5361328125,2007-12-18
147,3675.987548828125,2007-12-19
148,3692.06201171875,2007-12-20
149,3772.491943359375,2007-12-21
150,3891.240966796875,2007-12-24
151,4099.18115234375,2007-12-26
152,4211.26025390625,2007-12-27
153,4339.0478515625,2007-12-28
154,4431.619140625,2007-12-31
155,4478.27099609375,2008-01-02
156,4502.98046875,2008-01-03
157,4452.4873046875,2008-01-04
158,4470.087890625,2008-01-07
159,4450.74462890625,2008-01-08
160,4512.7763671875,2008-01-09
161,4657.1240234375,2008-01-10
162,4781.0654296875,2008-01-11
163,4925.10498046875,2008-01-14
164,4842.9384765625,2008-01-15
165,4613.17626953125,2008-01-16
166,4265.0869140625,2008-01-17
167,3887.58056640625,2008-01-18
168,3472.689208984375,2008-01-22
169,3116.285888671875,2008-01-23
170,2847.582275390625,2008-01-24
171,2770.57470703125,2008-01-25
172,2652.823486328125,2008-01-28
173,2566.80712890625,2008-01-29
174,2472.40771484375,2008-01-30
175,2396.204833984375,2008-01-31
176,2326.091064453125,2008-02-01
177,2231.451171875,2008-02-04
178,2142.2431640625,2008-02-05
179,2079.047607421875,2008-02-06
180,2008.9810791015625,2008-02-07
181,1943.35205078125,2008-02-08
182,1869.834716796875,2008-02-11
183,1772.43212890625,2008-02-12
184,1640.3880615234375,2008-02-13
185,1488.4288330078125,2008-02-14
186,1343.4501953125,2008-02-15
187,1202.6085205078125,2008-02-19
188,1056.68603515625,2008-02-20
189,923.4583740234375,2008-02-21
190,802.0684204101562,2008-02-22
191,671.7645874023438,2008-02-25
192,541.0482177734375,2008-02-26
193,421.6882019042969,2008-02-27
194,313.01910400390625,2008-02-28
195,230.91363525390625,2008-02-29
196,173.49221801757812,2008-03-03
197,164.2979278564453,2008-03-04
198,150.12139892578125,2008-03-05
199,155.433349609375,2008-03-06
200,182.26657104492188,2008-03-07
201,220.74261474609375,2008-03-10
202,216.7780303955078,2008-03-11
203,230.0236053466797,2008-03-12
204,251.46102905273438,2008-03-13
205,291.25006103515625,2008-03-14
206,362.61517333984375,2008-03-17
207,407.5846862792969,2008-03-18
208,498.4363708496094,2008-03-19
209,620.1002807617188,2008-03-20
210,804.2975463867188,2008-03-24
211,978.711181640625,2008-03-25
212,1178.16943359375,2008-03-26
213,1408.5294189453125,2008-03-27
214,1612.6253662109375,2008-03-28
215,1761.5767822265625,2008-03-31
216,1941.3885498046875,2008-04-01
217,2059.03759765625,2008-04-02
218,2193.51611328125,2008-04-03
219,2258.726318359375,2008-04-04
220,2347.613525390625,2008-04-07
221,2378.7705078125,2008-04-08
222,2447.093994140625,2008-04-09
223,2536.1171875,2008-04-10
224,2676.640869140625,2008-04-11
225,2858.71435546875,2008-04-14
226,2988.54052734375,2008-04-15
227,3100.482666015625,2008-04-16
228,3239.839111328125,2008-04-17
229,3352.906494140625,2008-04-18
230,3489.578369140625,2008-04-21
231,3617.88623046875,2008-04-22
232,3784.195556640625,2008-04-23
233,3902.84716796875,2008-04-24
234,4042.538330078125,2008-04-25
235,4118.50244140625,2008-04-28
236,4146.82470703125,2008-04-29
237,4162.95556640625,2008-04-30
238,4158.08447265625,2008-05-01
239,4079.39697265625,2008-05-02
240,3972.503173828125,2008-05-05
241,3810.963134765625,2008-05-06
242,3564.166259765625,2008-05-07
243,3266.829833984375,2008-05-08
244,3001.997314453125,2008-05-09
245,2760.001220703125,2008-05-12
246,2479.437744140625,2008-05-13
247,2210.75634765625,2008-05-14
248,1984.2735595703125,2008-05-15
249,1879.548095703125,2008-05-16
250,1780.5667724609375,2008-05-19
251,1786.09033203125,2008-05-20
252,1886.5660400390625,2008-05-21
253,1943.8863525390625,2008-05-22
254,2014.180908203125,2008-05-23
255,2057.422119140625,2008-05-27
256,2095.278564453125,2008-05-28
257,2108.47900390625,2008-05-29
258,2080.404541015625,2008-05-30
259,2102.550048828125,2008-06-02
260,2112.264404296875,2008-06-03
261,2156.83251953125,2008-06-04
262,2149.55322265625,2008-06-05
263,2239.034912109375,2008-06-06
264,2338.5732421875,2008-06-09
265,2481.289794921875,2008-06-10
266,2677.450439453125,2008-06-11
267,2813.538818359375,2008-06-12
268,2949.843017578125,2008-06-13
269,3113.9736328125,2008-06-16
270,3257.700439453125,2008-06-17
271,3398.713134765625,2008-06-18
272,3521.166015625,2008-06-19
273,3720.6376953125,2008-06-20
274,3908.314208984375,2008-06-23
275,4116.19970703125,2008-06-24
276,4199.791015625,2008-06-25
277,4314.5166015625,2008-06-26
278,4415.90478515625,2008-06-27
279,4487.1943359375,2008-06-30
280,4528.16796875,2008-07-01
281,4488.9638671875,2008-07-02
282,4417.6865234375,2008-07-03
283,4258.52587890625,2008-07-07
284,3978.3896484375,2008-07-08
285,3687.11181640625,2008-07-09
286,3338.611328125,2008-07-10
287,3054.65185546875,2008-07-11
288,2767.9189453125,2008-07-14
289,2523.779541015625,2008-07-15
290,2213.01025390625,2008-07-16
291,1842.587158203125,2008-07-17
292,1541.8876953125,2008-07-18
293,1269.23193359375,2008-07-21
294,996.9691772460938,2008-07-22
295,762.9634399414062,2008-07-23
296,776.9176025390625,2008-07-24
297,834.4483032226562,2008-07-25
298,893.8089599609375,2008-07-28
299,1016.8654174804688,2008-07-29
300,1165.69091796875,2008-07-30
301,1327.895751953125,2008-07-31
302,1484.5830078125,2008-08-01
303,1663.8133544921875,2008-08-04
304,1897.34326171875,2008-08-05
305,2139.14697265625,2008-08-06
306,2273.392578125,2008-08-07
307,2420.211181640625,2008-08-08
308,2566.59521484375,2008-08-11
309,2699.43896484375,2008-08-12
310,2843.9443359375,2008-08-13
311,2910.224365234375,2008-08-14
312,3033.727294921875,2008-08-15
313,3070.647216796875,2008-08-18
314,3007.9189453125,2008-08-19
315,2899.360107421875,2008-08-20
316,2755.38916015625,2008-08-21
317,2597.11083984375,2008-08-22
318,2395.139404296875,2008-08-25
319,2217.877197265625,2008-08-26
320,2000.699951171875,2008-08-27
321,1798.901123046875,2008-08-28
322,1601.139404296875,2008-08-29
323,1439.37353515625,2008-09-02
324,1323.6260986328125,2008-09-03
325,1249.217529296875,2008-09-04
326,1186.6365966796875,2008-09-05
327,1116.6025390625,2008-09-08
328,1227.6009521484375,2008-09-09
329,1402.0797119140625,2008-09-10
330,1588.8424072265625,2008-09-11
331,1802.428466796875,2008-09-12
332,2150.5966796875,2008-09-15
333,2497.212890625,2008-09-16
334,2962.885986328125,2008-09-17
335,3299.455078125,2008-09-18
336,3484.54541015625,2008-09-19
337,3726.320556640625,2008-09-22
338,3990.276611328125,2008-09-23
339,4233.1669921875,2008-09-24
340,4389.3564453125,2008-09-25
341,4605.66650390625,2008-09-26
342,5082.82763671875,2008-09-29
343,5319.04638671875,2008-09-30
344,5478.90673828125,2008-10-01
345,5685.427734375,2008-10-02
346,5948.61572265625,2008-10-03
347,6363.95654296875,2008-10-06
348,6797.1220703125,2008-10-07
349,7156.099609375,2008-10-08
350,7566.77734375,2008-10-09
351,7913.85888671875,2008-10-10
352,7811.60986328125,2008-10-13
353,7782.77685546875,2008-10-14
354,7996.73388671875,2008-10-15
355,7933.3173828125,2008-10-16
356,7931.93798828125,2008-10-17
357,7714.09375,2008-10-20
358,7532.93212890625,2008-10-21
359,7504.71337890625,2008-10-22
360,7353.59912109375,2008-10-23
361,7372.31591796875,2008-10-24
362,7416.62744140625,2008-10-27
363,7124.384765625,2008-10-28
364,6819.82470703125,2008-10-29
365,6358.49560546875,2008-10-30
366,5843.427734375,2008-10-31
367,5323.71630859375,2008-11-03
368,4725.8828125,2008-11-04
369,4405.69140625,2008-11-05
370,4253.1259765625,2008-11-06
371,4007.14990234375,2008-11-07
372,3917.87109375,2008-11-10
373,4227.09326171875,2008-11-11
374,4504.63232421875,2008-11-12
375,4775.60400390625,2008-11-13
376,5023.76220703125,2008-11-14
377,5328.875,2008-11-17
378,5634.63916015625,2008-11-18
379,5968.32568359375,2008-11-19
380,6241.38818359375,2008-11-20
381,6563.40087890625,2008-11-21
382,6904.88623046875,2008-11-24
383,7257.3115234375,2008-11-25
384,7629.64892578125,2008-11-26
385,7983.79736328125,2008-11-28
386,8345.1611328125,2008-12-01
387,8690.650390625,2008-12-02
388,8982.2333984375,2008-12-03
389,9289.7685546875,2008-12-04
390,9567.7421875,2008-12-05
391,9930.322265625,2008-12-08
392,10312.9072265625,2008-12-09
393,10756.783203125,2008-12-10
394,11126.4482421875,2008-12-11
395,11375.2900390625,2008-12-12
396,11634.5322265625,2008-12-15
397,11836.1083984375,2008-12-16
398,11867.3994140625,2008-12-17
399,11770.185546875,2008-12-18
400,11756.818359375,2008-12-19
401,11705.9697265625,2008-12-22
402,11684.021484375,2008-12-23
403,11613.958984375,2008-12-24
404,11511.79296875,2008-12-26
405,11421.73046875,2008-12-29
406,11214.26953125,2008-12-30
407,10955.830078125,2008-12-31
408,10525.94921875,2009-01-02
409,10054.62109375,2009-01-05
410,9598.8251953125,2009-01-06
411,9057.5830078125,2009-01-07
412,8461.59765625,2009-01-08
413,7930.630859375,2009-01-09
414,7418.73876953125,2009-01-12
415,6929.3974609375,2009-01-13
416,6425.345703125,2009-01-14
417,6037.62109375,2009-01-15
418,6115.50439453125,2009-01-16
419,6304.65771484375,2009-01-20
420,6457.34228515625,2009-01-21
421,6677.55322265625,2009-01-22
422,6923.1083984375,2009-01-23
423,7135.27490234375,2009-01-26
424,7253.13818359375,2009-01-27
425,7234.56689453125,2009-01-28
426,7304.69775390625,2009-01-29
427,7275.81298828125,2009-01-30
428,7242.287109375,2009-02-02
429,7130.43408203125,2009-02-03
430,6988.27490234375,2009-02-04
431,6822.2626953125,2009-02-05
432,6520.20751953125,2009-02-06
433,6130.45556640625,2009-02-09
434,5815.435546875,2009-02-10
435,5406.38232421875,2009-02-11
436,5006.8115234375,2009-02-12
437,4577.3359375,2009-02-13
438,4355.65576171875,2009-02-17
439,4075.09716796875,2009-02-18
440,3762.57666015625,2009-02-19
441,3495.225830078125,2009-02-20
442,3281.86669921875,2009-02-23
443,2994.8349609375,2009-02-24
444,2747.729736328125,2009-02-25
445,2537.4208984375,2009-02-26
446,2411.946533203125,2009-02-27
447,2380.822021484375,2009-03-02
448,2335.261962890625,2009-03-03
449,2230.37646484375,2009-03-04
450,2231.9033203125,2009-03-05
451,2192.9150390625,2009-03-06
452,2187.235595703125,2009-03-09
453,2068.32666015625,2009-03-10
454,1947.1866455078125,2009-03-11
455,1787.70166015625,2009-03-12
456,1605.0482177734375,2009-03-13
457,1408.2769775390625,2009-03-16
458,1213.4620361328125,2009-03-17
459,980.6305541992188,2009-03-18
460,787.0722045898438,2009-03-19
461,617.1390991210938,2009-03-20
462,411.0799560546875,2009-03-23
463,272.2610778808594,2009-03-24
464,176.8956298828125,2009-03-25
465,244.8667755126953,2009-03-26
466,398.980712890625,2009-03-27
467,534.4098510742188,2009-03-30
468,700.0299072265625,2009-03-31
469,855.76513671875,2009-04-01
470,1009.3060913085938,2009-04-02
471,1196.7425537109375,2009-04-03
472,1454.925537109375,2009-04-06
473,1691.83349609375,2009-04-07
474,1962.4471435546875,2009-04-08
475,2218.689453125,2009-04-09
476,2416.314453125,2009-04-13
477,2522.490478515625,2009-04-14
478,2632.8037109375,2009-04-15
479,2621.22900390625,2009-04-16
480,2553.78125,2009-04-17
481,2374.380615234375,2009-04-20
482,2208.79638671875,2009-04-21
483,2012.6683349609375,2009-04-22
484,1863.4254150390625,2009-04-23
485,1728.2386474609375,2009-04-24
486,1550.523193359375,2009-04-27
487,1355.93359375,2009-04-28
488,1216.616943359375,2009-04-29
489,1106.45166015625,2009-04-30
490,1007.6896362304688,2009-05-01
491,990.2833251953125,2009-05-04
492,958.427001953125,2009-05-05
493,928.1475830078125,2009-05-06
494,881.6758422851562,2009-05-07
495,862.1029663085938,2009-05-08
496,808.3614501953125,2009-05-11
497,789.6609497070312,2009-05-12
498,739.8012084960938,2009-05-13
499,721.9639282226562,2009-05-14
500,714.5772705078125,2009-05-15
501,897.6632080078125,2009-05-18
502,1048.8707275390625,2009-05-19
503,1202.0125732421875,2009-05-20
504,1338.84326171875,2009-05-21
505,1486.517333984375,2009-05-22
506,1612.079345703125,2009-05-26
507,1744.386962890625,2009-05-27
508,1895.51171875,2009-05-28
509,2071.690185546875,2009-05-29
510,2282.103271484375,2009-06-01
511,2470.355224609375,2009-06-02
512,2653.05029296875,2009-06-03
513,2867.494873046875,2009-06-04
514,3098.100830078125,2009-06-05
515,3410.46240234375,2009-06-08
516,3788.127197265625,2009-06-09
517,4165.3515625,2009-06-10
518,4495.7939453125,2009-06-11
519,4839.10791015625,2009-06-12
520,5158.67626953125,2009-06-15
521,5476.14599609375,2009-06-16
522,5807.97216796875,2009-06-17
523,6017.9130859375,2009-06-18
524,6244.7451171875,2009-06-19
525,6382.9140625,2009-06-22
526,6488.50634765625,2009-06-23
527,6565.185546875,2009-06-24
528,6649.70458984375,2009-06-25
529,6777.28173828125,2009-06-26
530,6809.4345703125,2009-06-29
531,6851.66796875,2009-06-30
532,6856.89404296875,2009-07-01
533,6886.3349609375,2009-07-02
534,6898.35986328125,2009-07-06
535,6893.56494140625,2009-07-07
536,6957.05859375,2009-07-08
537,7052.31787109375,2009-07-09
538,7091.13037109375,2009-07-10
539,7180.072265625,2009-07-13
