Period Number,Value,Date
1,79.36866760253906,1980-05-30
2,98.71955108642578,1980-06-02
3,121.45561218261719,1980-06-03
4,149.57241821289062,1980-06-04
5,167.7651824951172,1980-06-05
6,177.9472198486328,1980-06-06
7,188.35797119140625,1980-06-09
8,199.23358154296875,1980-06-10
9,211.3287353515625,1980-06-11
10,229.7154541015625,1980-06-12
11,243.27218627929688,1980-06-13
12,250.81455993652344,1980-06-16
13,265.9155578613281,1980-06-17
14,276.7774963378906,1980-06-18
15,272.4967041015625,1980-06-19
16,270.1739196777344,1980-06-20
17,259.0751037597656,1980-06-23
18,245.5902099609375,1980-06-24
19,235.08941650390625,1980-06-25
20,227.68125915527344,1980-06-26
21,215.66998291015625,1980-06-27
22,183.84524536132812,1980-06-30
23,149.52894592285156,1980-07-01
24,122.00231170654297,1980-07-02
25,94.0838851928711,1980-07-03
26,85.2103271484375,1980-07-07
27,96.13467407226562,1980-07-08
28,109.75666046142578,1980-07-09
29,121.58427429199219,1980-07-10
30,127.08199310302734,1980-07-11
31,135.94618225097656,1980-07-14
32,157.1354217529297,1980-07-15
33,183.09405517578125,1980-07-16
34,223.0156707763672,1980-07-17
35,278.4460144042969,1980-07-18
36,327.3848571777344,1980-07-21
37,362.0440673828125,1980-07-22
38,373.31427001953125,1980-07-23
39,379.43310546875,1980-07-24
40,368.6258239746094,1980-07-25
41,369.80389404296875,1980-07-28
42,399.9621276855469,1980-07-29
43,447.0244445800781,1980-07-30
44,500.634521484375,1980-07-31
45,542.5245971679688,1980-08-01
46,579.4222412109375,1980-08-04
47,595.1118774414062,1980-08-05
48,590.305908203125,1980-08-06
49,616.0484008789062,1980-08-07
50,644.9780883789062,1980-08-08
51,725.4299926757812,1980-08-11
52,805.4935913085938,1980-08-12
53,883.2311401367188,1980-08-13
54,962.500244140625,1980-08-14
55,1007.1439819335938,1980-08-15
56,1042.1214599609375,1980-08-18
57,1064.851806640625,1980-08-19
58,1091.2119140625,1980-08-20
59,1113.640869140625,1980-08-21
60,1143.1346435546875,1980-08-22
61,1176.2811279296875,1980-08-25
62,1190.9127197265625,1980-08-26
63,1197.12060546875,1980-08-27
64,1191.0560302734375,1980-08-28
65,1171.39208984375,1980-08-29
66,1148.3583984375,1980-09-02
67,1122.1043701171875,1980-09-03
68,1096.3546142578125,1980-09-04
69,1057.8148193359375,1980-09-05
70,991.1011352539062,1980-09-08
71,928.9830322265625,1980-09-09
72,852.4506225585938,1980-09-10
73,776.79833984375,1980-09-11
74,688.3216552734375,1980-09-12
75,601.1345825195312,1980-09-15
76,531.4656982421875,1980-09-16
77,483.9022216796875,1980-09-17
78,454.265869140625,1980-09-18
79,435.94464111328125,1980-09-19
80,404.070556640625,1980-09-22
81,357.75030517578125,1980-09-23
82,302.61688232421875,1980-09-24
83,248.51194763183594,1980-09-25
84,204.72927856445312,1980-09-26
85,170.2003173828125,1980-09-29
86,150.82608032226562,1980-09-30
87,143.64889526367188,1980-10-01
88,134.8144989013672,1980-10-02
89,129.67837524414062,1980-10-03
90,136.6781463623047,1980-10-06
91,137.0744171142578,1980-10-07
92,120.95740509033203,1980-10-08
93,103.15868377685547,1980-10-09
94,94.37387084960938,1980-10-10
95,94.31843566894531,1980-10-13
96,94.83721160888672,1980-10-14
97,92.87246704101562,1980-10-15
98,91.35668182373047,1980-10-16
99,86.61406707763672,1980-10-17
100,75.17842102050781,1980-10-20
101,64.83946990966797,1980-10-21
102,60.740203857421875,1980-10-22
103,67.5604476928711,1980-10-23
104,71.55480194091797,1980-10-24
105,61.286590576171875,1980-10-27
106,57.655372619628906,1980-10-28
107,55.18809127807617,1980-10-29
108,44.30472946166992,1980-10-30
109,44.9019660949707,1980-10-31
110,47.74857711791992,1980-11-03
111,50.15471267700195,1980-11-05
112,63.244991302490234,1980-11-06
113,72.22247314453125,1980-11-07
114,81.4018783569336,1980-11-10
115,84.59075927734375,1980-11-11
116,78.89408874511719,1980-11-12
117,68.29801940917969,1980-11-13
118,44.06059646606445,1980-11-14
119,18.692758560180664,1980-11-17
120,2.1394169330596924,1980-11-18
121,1.3744550943374634,1980-11-19
122,7.868705749511719,1980-11-20
123,17.26520538330078,1980-11-21
124,24.136484146118164,1980-11-24
125,32.25634002685547,1980-11-25
126,40.55601119995117,1980-11-26
127,42.890220642089844,1980-11-28
128,35.76319885253906,1980-12-01
129,39.31585693359375,1980-12-02
130,46.73217010498047,1980-12-03
131,60.97325134277344,1980-12-04
132,55.858699798583984,1980-12-05
133,40.34624481201172,1980-12-08
134,42.24192810058594,1980-12-09
135,42.27141571044922,1980-12-10
136,62.395469665527344,1980-12-11
137,97.32667541503906,1980-12-12
138,139.46714782714844,1980-12-15
139,186.0718994140625,1980-12-16
140,251.93368530273438,1980-12-17
141,309.9568786621094,1980-12-18
142,355.79864501953125,1980-12-19
143,392.4868469238281,1980-12-22
144,423.09112548828125,1980-12-23
145,433.8089294433594,1980-12-24
