Period Number,Value,Date
1,495652.125,1972-01-10
2,497879.09375,1972-01-11
3,500204.875,1972-01-12
4,502615.40625,1972-01-13
5,505093.5,1972-01-14
6,507622.59375,1972-01-17
7,510184.21875,1972-01-18
8,512758.65625,1972-01-19
9,515322.9375,1972-01-20
10,517862.84375,1972-01-21
11,520360.21875,1972-01-24
12,522805.59375,1972-01-25
13,525194.25,1972-01-26
14,527527.75,1972-01-27
15,529819.875,1972-01-28
16,532090.1875,1972-01-31
17,534371.8125,1972-02-01
18,536702.625,1972-02-02
19,535862.875,1972-02-03
20,535714.1875,1972-02-04
21,535643.3125,1972-02-07
22,538925.125,1972-02-08
23,538925.0625,1972-02-09
24,538946.1875,1972-02-10
25,538938.75,1972-02-11
26,538843.4375,1972-02-14
27,542018.6875,1972-02-15
28,545078.0625,1972-02-16
29,548053.5,1972-02-17
30,550994.4375,1972-02-18
31,550378.3125,1972-02-22
32,549763.75,1972-02-23
33,549150.375,1972-02-24
34,548539.6875,1972-02-25
35,547930.9375,1972-02-28
36,547321.375,1972-02-29
37,546713.125,1972-03-01
38,546107.375,1972-03-02
39,545499.4375,1972-03-03
40,544895.75,1972-03-06
41,544291.625,1972-03-07
42,543687.9375,1972-03-08
43,543814.625,1972-03-09
44,543231.625,1972-03-10
45,542651.1875,1972-03-13
46,542071.0,1972-03-14
47,541495.125,1972-03-15
48,540922.9375,1972-03-16
49,540353.5,1972-03-17
50,539788.9375,1972-03-20
51,539230.1875,1972-03-21
52,538676.625,1972-03-22
53,538128.875,1972-03-23
54,537589.3125,1972-03-24
55,537058.4375,1972-03-27
56,537348.9375,1972-03-28
57,536848.375,1972-03-29
58,536356.5625,1972-03-30
59,535877.125,1972-04-03
60,535406.125,1972-04-04
61,534948.125,1972-04-05
62,535347.4375,1972-04-06
63,535777.8125,1972-04-07
64,536235.1875,1972-04-10
65,536722.9375,1972-04-11
66,537236.6875,1972-04-12
67,537776.125,1972-04-13
68,538338.625,1972-04-14
69,538921.625,1972-04-17
70,539523.875,1972-04-18
71,540141.75,1972-04-19
72,540774.1875,1972-04-20
73,541414.125,1972-04-21
74,542061.875,1972-04-24
75,542710.5625,1972-04-25
76,543356.0625,1972-04-26
77,543994.875,1972-04-27
78,544619.5625,1972-04-28
79,545225.25,1972-05-01
