Period Number,Value,Date
1,197.99891662597656,1980-05-30
2,188.02796936035156,1980-06-02
3,184.71446228027344,1980-06-03
4,184.8057403564453,1980-06-04
5,190.54989624023438,1980-06-05
6,199.6878662109375,1980-06-06
7,187.80506896972656,1980-06-09
8,181.9257354736328,1980-06-10
9,176.67848205566406,1980-06-11
10,164.74002075195312,1980-06-12
11,172.15846252441406,1980-06-13
12,164.4910430908203,1980-06-16
13,166.98558044433594,1980-06-17
14,175.218994140625,1980-06-18
15,176.53460693359375,1980-06-19
16,170.4912109375,1980-06-20
17,159.09909057617188,1980-06-23
18,160.20620727539062,1980-06-24
19,162.1472625732422,1980-06-25
20,162.40676879882812,1980-06-26
21,154.9985809326172,1980-06-27
22,152.3163299560547,1980-06-30
23,142.9171600341797,1980-07-01
24,130.89797973632812,1980-07-02
25,110.17167663574219,1980-07-03
26,98.68988037109375,1980-07-07
27,86.14942169189453,1980-07-08
28,70.28369903564453,1980-07-09
29,53.07420349121094,1980-07-10
30,41.56451416015625,1980-07-11
31,35.380367279052734,1980-07-14
32,28.940378189086914,1980-07-15
33,26.279067993164062,1980-07-16
34,25.0239200592041,1980-07-17
35,32.20871353149414,1980-07-18
36,45.827083587646484,1980-07-21
37,58.55916213989258,1980-07-22
38,65.65853881835938,1980-07-23
39,72.20391845703125,1980-07-24
40,74.27987670898438,1980-07-25
41,72.29400634765625,1980-07-28
42,71.83316802978516,1980-07-29
43,70.06488800048828,1980-07-30
44,66.1529541015625,1980-07-31
45,65.50748443603516,1980-08-01
46,56.69476318359375,1980-08-04
47,43.915828704833984,1980-08-05
48,35.338443756103516,1980-08-06
49,31.906036376953125,1980-08-07
50,26.08711814880371,1980-08-08
51,22.594486236572266,1980-08-11
52,18.779172897338867,1980-08-12
53,19.324993133544922,1980-08-13
54,22.083755493164062,1980-08-14
55,24.753673553466797,1980-08-15
56,27.413105010986328,1980-08-18
57,33.338497161865234,1980-08-19
58,31.577348709106445,1980-08-20
59,34.616180419921875,1980-08-21
60,33.31248474121094,1980-08-22
61,27.66978645324707,1980-08-25
62,24.119043350219727,1980-08-26
