Period Number,Value,Date
1,142908.640625,1972-01-10
2,144090.3125,1972-01-11
3,145345.890625,1972-01-12
4,146626.375,1972-01-13
5,147936.921875,1972-01-14
6,149219.0625,1972-01-17
7,150556.15625,1972-01-18
8,151937.875,1972-01-19
9,153306.3125,1972-01-20
10,154739.125,1972-01-21
11,156192.5,1972-01-24
12,157656.796875,1972-01-25
13,159144.34375,1972-01-26
14,160613.59375,1972-01-27
15,162076.578125,1972-01-28
16,163406.265625,1972-01-31
17,164642.078125,1972-02-01
18,165877.28125,1972-02-02
19,167201.671875,1972-02-03
20,168414.75,1972-02-04
21,169358.46875,1972-02-07
22,170354.96875,1972-02-08
23,171574.625,1972-02-09
24,172780.40625,1972-02-10
25,173975.71875,1972-02-11
26,175179.859375,1972-02-14
27,176479.46875,1972-02-15
28,177750.234375,1972-02-16
29,179034.140625,1972-02-17
30,180259.8125,1972-02-18
31,181425.828125,1972-02-22
32,182571.359375,1972-02-23
33,183751.046875,1972-02-24
34,184959.15625,1972-02-25
35,186188.125,1972-02-28
36,187514.765625,1972-02-29
37,188859.453125,1972-03-01
38,190367.15625,1972-03-02
39,191822.640625,1972-03-03
40,193399.171875,1972-03-06
41,195005.703125,1972-03-07
42,196729.34375,1972-03-08
43,198586.4375,1972-03-09
44,200343.46875,1972-03-10
45,202048.53125,1972-03-13
46,203694.921875,1972-03-14
47,205229.46875,1972-03-15
48,206770.375,1972-03-16
49,208327.953125,1972-03-17
50,209895.15625,1972-03-20
51,211354.34375,1972-03-21
52,212944.40625,1972-03-22
53,214405.8125,1972-03-23
54,215995.6875,1972-03-24
55,217536.046875,1972-03-27
56,219035.796875,1972-03-28
57,220534.4375,1972-03-29
58,222127.765625,1972-03-30
59,223805.484375,1972-04-03
60,225553.5625,1972-04-04
61,227336.65625,1972-04-05
62,229136.640625,1972-04-06
63,231004.59375,1972-04-07
64,232833.75,1972-04-10
65,234594.421875,1972-04-11
66,236440.296875,1972-04-12
67,238231.078125,1972-04-13
68,240047.59375,1972-04-14
69,241710.765625,1972-04-17
70,243235.953125,1972-04-18
71,244666.71875,1972-04-19
72,246169.765625,1972-04-20
73,247605.9375,1972-04-21
74,249178.234375,1972-04-24
