Period Number,Value,Date
1,2142.31103515625,1970-08-10
2,2129.363525390625,1970-08-11
3,2122.962158203125,1970-08-12
4,2128.01318359375,1970-08-13
5,2136.7216796875,1970-08-14
6,2173.6787109375,1970-08-17
7,2224.39453125,1970-08-18
8,2273.706787109375,1970-08-19
9,2326.94140625,1970-08-20
10,2354.1689453125,1970-08-21
11,2367.25,1970-08-24
12,2395.814697265625,1970-08-25
13,2394.936767578125,1970-08-26
14,2400.449951171875,1970-08-27
15,2418.91845703125,1970-08-28
16,2430.622802734375,1970-08-31
17,2456.702880859375,1970-09-01
18,2482.347900390625,1970-09-02
19,2511.04541015625,1970-09-03
20,2576.734130859375,1970-09-04
21,2620.061767578125,1970-09-08
22,2633.9755859375,1970-09-09
23,2609.681396484375,1970-09-10
24,2550.8671875,1970-09-11
25,2481.54638671875,1970-09-14
26,2363.708740234375,1970-09-15
27,2247.3525390625,1970-09-16
28,2157.89453125,1970-09-17
29,2067.634765625,1970-09-18
30,1992.399658203125,1970-09-21
31,1910.47314453125,1970-09-22
32,1835.4609375,1970-09-23
33,1765.264892578125,1970-09-24
34,1665.4014892578125,1970-09-25
35,1562.8463134765625,1970-09-28
36,1470.073486328125,1970-09-29
37,1406.3221435546875,1970-09-30
38,1393.3218994140625,1970-10-01
39,1398.87744140625,1970-10-02
40,1398.3944091796875,1970-10-05
41,1404.248291015625,1970-10-06
42,1396.5113525390625,1970-10-07
43,1386.2900390625,1970-10-08
44,1381.7623291015625,1970-10-09
45,1374.157958984375,1970-10-12
46,1374.41796875,1970-10-13
47,1361.947021484375,1970-10-14
48,1365.8984375,1970-10-15
49,1380.95703125,1970-10-16
50,1425.2276611328125,1970-10-19
51,1485.229248046875,1970-10-20
52,1540.4837646484375,1970-10-21
53,1593.8055419921875,1970-10-22
54,1717.593505859375,1970-10-23
55,1856.906494140625,1970-10-26
56,1973.217041015625,1970-10-27
57,2083.32861328125,1970-10-28
58,2180.2197265625,1970-10-29
59,2278.84326171875,1970-10-30
60,2372.143310546875,1970-11-02
61,2464.316162109375,1970-11-03
62,2631.421142578125,1970-11-04
63,2829.869384765625,1970-11-05
64,2999.17138671875,1970-11-06
65,3160.046142578125,1970-11-09
66,3327.74853515625,1970-11-10
67,3493.875244140625,1970-11-11
68,3646.02978515625,1970-11-12
69,3794.72265625,1970-11-13
70,3915.95654296875,1970-11-16
71,4059.9794921875,1970-11-17
72,4178.3271484375,1970-11-18
73,4313.7900390625,1970-11-19
74,4478.81640625,1970-11-20
75,4673.8984375,1970-11-23
76,4870.08203125,1970-11-24
77,5051.0185546875,1970-11-25
78,5247.7197265625,1970-11-27
79,5462.66455078125,1970-11-30
80,5651.75537109375,1970-12-01
81,5830.81494140625,1970-12-02
82,5997.69921875,1970-12-03
83,6133.54443359375,1970-12-04
84,6224.14990234375,1970-12-07
85,6294.32861328125,1970-12-08
86,6293.2080078125,1970-12-09
87,6262.08056640625,1970-12-10
88,6203.3818359375,1970-12-11
89,6118.3115234375,1970-12-14
90,5994.32373046875,1970-12-15
91,5851.07421875,1970-12-16
92,5722.009765625,1970-12-17
93,5596.90966796875,1970-12-18
94,5469.17822265625,1970-12-21
95,5337.4501953125,1970-12-22
96,5209.50341796875,1970-12-23
97,5086.611328125,1970-12-24
98,4952.07080078125,1970-12-28
99,4843.53662109375,1970-12-29
100,4747.8193359375,1970-12-30
101,4654.98486328125,1970-12-31
102,4584.9521484375,1971-01-04
103,4522.119140625,1971-01-05
104,4444.529296875,1971-01-06
105,4381.53369140625,1971-01-07
106,4303.81884765625,1971-01-08
107,4217.52099609375,1971-01-11
108,4127.009765625,1971-01-12
109,4020.518310546875,1971-01-13
110,3905.2958984375,1971-01-14
111,3792.472900390625,1971-01-15
112,3685.73828125,1971-01-18
113,3573.466796875,1971-01-19
114,3487.70166015625,1971-01-20
115,3420.21875,1971-01-21
116,3366.847412109375,1971-01-22
117,3316.78955078125,1971-01-25
118,3283.476806640625,1971-01-26
119,3269.4208984375,1971-01-27
120,3354.235107421875,1971-01-28
121,3420.496337890625,1971-01-29
122,3433.9873046875,1971-02-01
123,3458.697509765625,1971-02-02
124,3477.020263671875,1971-02-03
125,3520.495849609375,1971-02-04
126,3577.748291015625,1971-02-05
127,3627.868896484375,1971-02-08
128,3726.3017578125,1971-02-09
129,3914.8642578125,1971-02-10
130,4133.71142578125,1971-02-11
131,4405.7177734375,1971-02-12
132,4730.4013671875,1971-02-16
133,5107.658203125,1971-02-17
134,5515.7509765625,1971-02-18
135,5949.5107421875,1971-02-19
136,6412.5732421875,1971-02-22
137,6937.62890625,1971-02-23
138,7509.2802734375,1971-02-24
139,8092.18798828125,1971-02-25
140,8688.4814453125,1971-02-26
141,9325.908203125,1971-03-01
142,9966.4833984375,1971-03-02
143,10571.30078125,1971-03-03
144,11161.0830078125,1971-03-04
145,11717.109375,1971-03-05
146,12264.1181640625,1971-03-08
147,12802.8447265625,1971-03-09
148,13253.279296875,1971-03-10
149,13592.00390625,1971-03-11
150,13858.177734375,1971-03-12
151,14100.6748046875,1971-03-15
152,14308.0498046875,1971-03-16
153,14502.0166015625,1971-03-17
154,14643.3818359375,1971-03-18
155,14790.40234375,1971-03-19
156,14908.81640625,1971-03-22
157,15018.2880859375,1971-03-23
158,15075.2890625,1971-03-24
159,15126.4287109375,1971-03-25
160,15221.98046875,1971-03-26
161,15361.25,1971-03-29
162,15505.1494140625,1971-03-30
163,15696.3818359375,1971-03-31
164,15891.779296875,1971-04-01
165,16127.06640625,1971-04-02
166,16349.3544921875,1971-04-05
167,16529.013671875,1971-04-06
168,16735.10546875,1971-04-07
169,16947.357421875,1971-04-08
170,17181.919921875,1971-04-12
171,17454.623046875,1971-04-13
172,17747.744140625,1971-04-14
173,18012.380859375,1971-04-15
174,18303.87890625,1971-04-16
175,18627.90234375,1971-04-19
176,18933.455078125,1971-04-20
177,19264.15625,1971-04-21
178,19566.34375,1971-04-22
179,19857.302734375,1971-04-23
180,20195.369140625,1971-04-26
181,20536.703125,1971-04-27
182,20937.099609375,1971-04-28
183,21307.138671875,1971-04-29
184,21643.791015625,1971-04-30
185,21987.08984375,1971-05-03
186,22331.248046875,1971-05-04
187,22650.3125,1971-05-05
188,22993.431640625,1971-05-06
189,23335.025390625,1971-05-07
190,23628.328125,1971-05-10
191,23908.115234375,1971-05-11
192,24209.755859375,1971-05-12
193,24551.0390625,1971-05-13
194,24943.88671875,1971-05-14
195,25255.5078125,1971-05-17
196,25550.818359375,1971-05-18
197,25858.8046875,1971-05-19
198,26170.310546875,1971-05-20
199,26490.328125,1971-05-21
200,26809.806640625,1971-05-24
201,27143.74609375,1971-05-25
202,27445.044921875,1971-05-26
203,27714.33984375,1971-05-27
204,27981.646484375,1971-05-28
205,28236.48046875,1971-06-01
206,28544.072265625,1971-06-02
207,28879.81640625,1971-06-03
208,29080.42578125,1971-06-04
209,29217.552734375,1971-06-07
210,29266.173828125,1971-06-08
211,29228.796875,1971-06-09
212,29148.248046875,1971-06-10
213,28970.876953125,1971-06-11
214,28725.55859375,1971-06-14
215,28520.232421875,1971-06-15
216,28301.47265625,1971-06-16
217,28002.98828125,1971-06-17
218,27548.50390625,1971-06-18
219,26965.7890625,1971-06-21
220,26396.88671875,1971-06-22
221,25841.44921875,1971-06-23
222,25315.669921875,1971-06-24
223,24864.435546875,1971-06-25
224,24462.826171875,1971-06-28
225,24103.798828125,1971-06-29
226,23772.35546875,1971-06-30
227,23467.52734375,1971-07-01
228,23194.720703125,1971-07-02
229,22954.275390625,1971-07-06
230,22739.275390625,1971-07-07
231,22546.953125,1971-07-08
232,22375.587890625,1971-07-09
233,22203.478515625,1971-07-12
234,22012.109375,1971-07-13
235,21774.974609375,1971-07-14
236,21527.97265625,1971-07-15
237,21250.90625,1971-07-16
238,21011.37890625,1971-07-19
239,20751.177734375,1971-07-20
240,20516.146484375,1971-07-21
241,20269.45703125,1971-07-22
242,19965.75390625,1971-07-23
243,19611.66015625,1971-07-26
244,19251.125,1971-07-27
245,18876.05078125,1971-07-28
246,18470.37109375,1971-07-29
247,18031.6875,1971-07-30
248,17619.716796875,1971-08-02
249,17152.13671875,1971-08-03
250,16635.958984375,1971-08-04
251,16119.306640625,1971-08-05
252,15646.7431640625,1971-08-06
253,15209.41015625,1971-08-09
254,14781.017578125,1971-08-10
255,14356.134765625,1971-08-11
256,13940.1298828125,1971-08-12
257,13522.142578125,1971-08-13
258,13158.03515625,1971-08-16
259,12810.54296875,1971-08-17
260,12413.2666015625,1971-08-18
261,12028.9873046875,1971-08-19
262,11688.466796875,1971-08-20
263,11364.814453125,1971-08-23
264,11068.4931640625,1971-08-24
265,10779.6728515625,1971-08-25
266,10470.1298828125,1971-08-26
267,10202.6572265625,1971-08-27
268,9949.064453125,1971-08-30
269,9699.8974609375,1971-08-31
270,9444.0380859375,1971-09-01
271,9215.5654296875,1971-09-02
272,9018.69140625,1971-09-03
273,8852.349609375,1971-09-07
274,8684.5341796875,1971-09-08
275,8507.7939453125,1971-09-09
276,8352.66015625,1971-09-10
277,8176.6640625,1971-09-13
278,7998.09521484375,1971-09-14
279,7843.501953125,1971-09-15
280,7671.60791015625,1971-09-16
281,7483.482421875,1971-09-17
282,7291.4443359375,1971-09-20
283,7056.94140625,1971-09-21
284,6790.1318359375,1971-09-22
285,6508.7451171875,1971-09-23
286,6257.6962890625,1971-09-24
287,6020.630859375,1971-09-27
288,5799.38134765625,1971-09-28
289,5571.57470703125,1971-09-29
290,5363.2236328125,1971-09-30
291,5180.19287109375,1971-10-01
292,5000.884765625,1971-10-04
293,4865.71826171875,1971-10-05
294,4764.3505859375,1971-10-06
295,4681.23095703125,1971-10-07
296,4596.91943359375,1971-10-08
297,4523.0224609375,1971-10-11
