Period Number,Value,Date
1,1863925.25,1974-12-27
2,1864718.5,1974-12-30
3,1865710.625,1974-12-31
4,1866597.5,1975-01-02
5,1867955.5,1975-01-03
6,1869216.875,1975-01-06
7,1870794.625,1975-01-07
8,1872334.0,1975-01-08
9,1874657.75,1975-01-09
10,1876686.5,1975-01-10
11,1878751.625,1975-01-13
12,1880160.5,1975-01-14
13,1882101.375,1975-01-15
14,1884112.5,1975-01-16
15,1886411.0,1975-01-17
16,1888539.25,1975-01-20
17,1890353.625,1975-01-21
18,1890978.875,1975-01-22
19,1891010.25,1975-01-23
20,1890114.625,1975-01-24
21,1888882.625,1975-01-27
22,1887678.375,1975-01-28
23,1887840.875,1975-01-29
24,1886722.0,1975-01-30
25,1885709.375,1975-01-31
26,1885234.75,1975-02-03
27,1885320.125,1975-02-04
28,1885809.875,1975-02-05
29,1886223.375,1975-02-06
30,1887467.625,1975-02-07
31,1888883.0,1975-02-10
32,1891096.5,1975-02-11
33,1893643.25,1975-02-12
34,1897202.375,1975-02-13
35,1900888.25,1975-02-14
36,1904292.875,1975-02-18
37,1907566.375,1975-02-19
38,1912552.75,1975-02-20
39,1918351.875,1975-02-21
40,1924355.75,1975-02-24
41,1942251.5,1975-02-25
42,1964815.125,1975-02-26
43,1988090.875,1975-02-27
44,2011061.0,1975-02-28
45,2034043.875,1975-03-03
46,2056937.5,1975-03-04
47,2080682.75,1975-03-05
48,2104577.0,1975-03-06
49,2128567.5,1975-03-07
50,2152878.0,1975-03-10
51,2176080.5,1975-03-11
52,2199890.0,1975-03-12
53,2223891.25,1975-03-13
54,2248072.25,1975-03-14
55,2271508.25,1975-03-17
56,2294454.25,1975-03-18
57,2317957.25,1975-03-19
58,2342542.0,1975-03-20
59,2367285.0,1975-03-21
60,2392611.5,1975-03-24
61,2418247.5,1975-03-25
62,2444782.75,1975-03-26
63,2471925.75,1975-03-27
64,2499366.0,1975-03-31
65,2526280.75,1975-04-01
66,2553640.0,1975-04-02
67,2581461.75,1975-04-03
68,2609826.5,1975-04-04
69,2638673.25,1975-04-07
70,2667579.25,1975-04-08
71,2696101.5,1975-04-09
72,2724373.25,1975-04-10
73,2752398.5,1975-04-11
74,2779555.0,1975-04-14
75,2806644.25,1975-04-15
76,2833792.75,1975-04-16
77,2860087.0,1975-04-17
78,2885950.0,1975-04-18
79,2911864.75,1975-04-21
80,2937196.25,1975-04-22
81,2962071.5,1975-04-23
82,2987176.0,1975-04-24
83,3011500.5,1975-04-25
84,3036058.25,1975-04-28
85,3059089.0,1975-04-29
86,3081091.0,1975-04-30
87,3103377.75,1975-05-01
88,3126907.5,1975-05-02
89,3150393.0,1975-05-05
90,3173519.0,1975-05-06
91,3195780.25,1975-05-07
92,3216381.25,1975-05-08
93,3236216.5,1975-05-09
94,3256291.5,1975-05-12
95,3276332.25,1975-05-13
96,3294628.5,1975-05-14
97,3310303.25,1975-05-15
98,3324828.75,1975-05-16
99,3338438.0,1975-05-19
100,3347737.0,1975-05-20
101,3355874.25,1975-05-21
102,3365627.75,1975-05-22
103,3374765.5,1975-05-23
104,3383857.5,1975-05-27
105,3392863.5,1975-05-28
106,3401983.0,1975-05-29
107,3411067.5,1975-05-30
108,3418717.0,1975-06-02
109,3425804.5,1975-06-03
110,3431833.5,1975-06-04
111,3437357.75,1975-06-05
112,3442408.0,1975-06-06
113,3447492.0,1975-06-09
114,3452253.75,1975-06-10
115,3457072.5,1975-06-11
116,3463064.0,1975-06-12
117,3468963.5,1975-06-13
118,3474616.5,1975-06-16
119,3480754.25,1975-06-17
120,3486789.5,1975-06-18
121,3492150.75,1975-06-19
122,3497043.75,1975-06-20
123,3500996.5,1975-06-23
124,3504431.0,1975-06-24
125,3506571.0,1975-06-25
126,3507713.0,1975-06-26
127,3507193.0,1975-06-27
128,3505972.75,1975-06-30
129,3502934.75,1975-07-01
130,3499031.0,1975-07-02
131,3496759.0,1975-07-03
132,3494611.0,1975-07-07
133,3491622.5,1975-07-08
134,3487500.25,1975-07-09
135,3483783.75,1975-07-10
136,3480437.25,1975-07-11
137,3478032.0,1975-07-14
138,3476889.0,1975-07-15
139,3475324.5,1975-07-16
140,3474142.0,1975-07-17
141,3473230.0,1975-07-18
142,3473076.5,1975-07-21
143,3473201.0,1975-07-22
144,3473431.25,1975-07-23
145,3473798.25,1975-07-24
146,3474609.75,1975-07-25
147,3475373.0,1975-07-28
148,3476225.5,1975-07-29
149,3477271.5,1975-07-30
150,3478030.0,1975-07-31
151,3478860.75,1975-08-01
152,3480532.0,1975-08-04
153,3482698.0,1975-08-05
154,3484713.25,1975-08-06
155,3486549.75,1975-08-07
156,3487788.25,1975-08-08
157,3488043.25,1975-08-11
158,3486420.5,1975-08-12
159,3485564.75,1975-08-13
160,3484991.5,1975-08-14
161,3484207.25,1975-08-15
162,3484200.25,1975-08-18
163,3486146.5,1975-08-19
164,3489679.25,1975-08-20
165,3493469.25,1975-08-21
166,3496708.5,1975-08-22
167,3499646.75,1975-08-25
168,3503922.25,1975-08-26
169,3508080.25,1975-08-27
170,3510625.0,1975-08-28
171,3512768.5,1975-08-29
172,3515496.75,1975-09-02
173,3517440.25,1975-09-03
174,3518705.75,1975-09-04
175,3520925.25,1975-09-05
176,3522851.0,1975-09-08
177,3524650.0,1975-09-09
178,3527437.5,1975-09-10
179,3530551.0,1975-09-11
180,3533613.75,1975-09-12
181,3536474.75,1975-09-15
182,3539337.25,1975-09-16
183,3541851.75,1975-09-17
184,3543061.75,1975-09-18
185,3543608.25,1975-09-19
186,3545317.0,1975-09-22
187,3546106.5,1975-09-23
188,3545699.75,1975-09-24
189,3544460.0,1975-09-25
190,3543173.25,1975-09-26
191,3541797.25,1975-09-29
192,3541760.0,1975-09-30
193,3542834.5,1975-10-01
194,3543468.0,1975-10-02
195,3542726.0,1975-10-03
196,3540915.5,1975-10-06
197,3538206.5,1975-10-07
198,3535042.25,1975-10-08
199,3531099.5,1975-10-09
200,3527696.0,1975-10-10
201,3524277.75,1975-10-13
202,3520527.25,1975-10-14
203,3516662.25,1975-10-15
204,3512213.0,1975-10-16
205,3508546.25,1975-10-17
206,3505002.5,1975-10-20
207,3500990.5,1975-10-21
208,3497515.25,1975-10-22
209,3494045.75,1975-10-23
210,3491532.0,1975-10-24
211,3489945.75,1975-10-27
212,3488396.25,1975-10-28
213,3487799.5,1975-10-29
214,3487352.5,1975-10-30
215,3487331.0,1975-10-31
216,3488445.0,1975-11-03
217,3489903.25,1975-11-04
218,3491672.25,1975-11-05
219,3492173.5,1975-11-06
220,3492337.5,1975-11-07
221,3491699.0,1975-11-10
222,3490714.75,1975-11-11
223,3488746.0,1975-11-12
224,3486009.0,1975-11-13
225,3482798.25,1975-11-14
226,3478428.75,1975-11-17
227,3473931.0,1975-11-18
228,3469895.0,1975-11-19
229,3465436.5,1975-11-20
230,3461058.75,1975-11-21
231,3456317.0,1975-11-24
232,3450158.75,1975-11-25
233,3443172.75,1975-11-26
234,3436035.75,1975-11-28
235,3428676.75,1975-12-01
236,3421749.0,1975-12-02
237,3415525.25,1975-12-03
238,3409020.75,1975-12-04
239,3402588.25,1975-12-05
240,3396407.25,1975-12-08
241,3390506.75,1975-12-09
242,3383614.75,1975-12-10
243,3376526.25,1975-12-11
244,3369028.0,1975-12-12
245,3361148.25,1975-12-15
246,3352544.75,1975-12-16
247,3343045.25,1975-12-17
248,3333738.75,1975-12-18
249,3324185.75,1975-12-19
250,3315295.75,1975-12-22
251,3306721.75,1975-12-23
252,3298237.75,1975-12-24
253,3289854.0,1975-12-26
254,3281933.25,1975-12-29
255,3273280.0,1975-12-30
256,3264747.0,1975-12-31
257,3256316.25,1976-01-02
258,3247411.5,1976-01-05
259,3237261.5,1976-01-06
260,3226244.5,1976-01-07
261,3215094.75,1976-01-08
262,3203783.25,1976-01-09
263,3191344.75,1976-01-12
264,3178915.75,1976-01-13
265,3165614.75,1976-01-14
266,3152703.75,1976-01-15
267,3139236.0,1976-01-16
268,3125320.5,1976-01-19
269,3111602.25,1976-01-20
270,3098018.5,1976-01-21
271,3084470.25,1976-01-22
272,3070611.5,1976-01-23
273,3056274.5,1976-01-26
274,3042512.0,1976-01-27
275,3029026.25,1976-01-28
276,3015320.0,1976-01-29
277,3001021.0,1976-01-30
278,2986711.0,1976-02-02
279,2972170.0,1976-02-03
280,2958253.75,1976-02-04
281,2945352.75,1976-02-05
282,2932612.5,1976-02-06
283,2920664.25,1976-02-09
284,2909010.0,1976-02-10
285,2897465.0,1976-02-11
286,2885972.5,1976-02-12
287,2874455.5,1976-02-13
288,2863616.5,1976-02-17
289,2851993.25,1976-02-18
