Period Number,Value,Date
1,6420.19921875,1971-01-06
2,6249.75341796875,1971-01-07
3,6073.98486328125,1971-01-08
4,5912.759765625,1971-01-11
5,5745.0751953125,1971-01-12
6,5585.98974609375,1971-01-13
7,5430.7080078125,1971-01-14
8,5279.28857421875,1971-01-15
9,5143.65185546875,1971-01-18
10,5017.76708984375,1971-01-19
11,4895.103515625,1971-01-20
12,4956.97412109375,1971-01-21
13,5054.89697265625,1971-01-22
14,5164.57275390625,1971-01-25
15,5289.39501953125,1971-01-26
16,5414.18017578125,1971-01-27
17,5543.11328125,1971-01-28
18,5660.09619140625,1971-01-29
19,5764.0380859375,1971-02-01
20,5864.5087890625,1971-02-02
21,5944.8701171875,1971-02-03
22,6017.61328125,1971-02-04
23,6090.70263671875,1971-02-05
24,6151.48828125,1971-02-08
25,6207.1025390625,1971-02-09
26,6270.23876953125,1971-02-10
27,6326.7529296875,1971-02-11
28,6372.11767578125,1971-02-12
29,6407.00048828125,1971-02-16
30,6442.86669921875,1971-02-17
31,6487.5947265625,1971-02-18
32,6526.31005859375,1971-02-19
33,6556.6318359375,1971-02-22
34,6595.55712890625,1971-02-23
35,6633.04345703125,1971-02-24
36,6700.244140625,1971-02-25
37,6790.044921875,1971-02-26
38,6904.83251953125,1971-03-01
39,7022.3408203125,1971-03-02
40,7150.56884765625,1971-03-03
41,7292.765625,1971-03-04
42,7445.0703125,1971-03-05
43,7606.14990234375,1971-03-08
44,7765.0703125,1971-03-09
45,7928.693359375,1971-03-10
46,8091.09228515625,1971-03-11
47,8245.3671875,1971-03-12
48,8401.3271484375,1971-03-15
49,8543.423828125,1971-03-16
50,8636.3798828125,1971-03-17
51,8693.4501953125,1971-03-18
52,8719.0888671875,1971-03-19
53,8751.0087890625,1971-03-22
54,8754.0595703125,1971-03-23
55,8698.3330078125,1971-03-24
56,8615.01171875,1971-03-25
57,8511.1005859375,1971-03-26
58,8418.02734375,1971-03-29
59,8337.9951171875,1971-03-30
60,8228.244140625,1971-03-31
