Period Number,Value,Date
1,39.4351921081543,1986-10-20
2,46.35853576660156,1986-10-21
3,75.26173400878906,1986-10-22
4,115.80958557128906,1986-10-23
5,161.87237548828125,1986-10-24
6,218.9774627685547,1986-10-27
7,287.18115234375,1986-10-28
8,356.5021667480469,1986-10-29
9,440.56854248046875,1986-10-30
10,550.5669555664062,1986-10-31
11,685.570068359375,1986-11-03
12,846.7459106445312,1986-11-04
13,1044.91748046875,1986-11-05
14,1271.429443359375,1986-11-06
15,1521.0794677734375,1986-11-07
16,1787.9517822265625,1986-11-10
17,2095.856201171875,1986-11-11
18,2433.091064453125,1986-11-12
19,2787.99072265625,1986-11-13
20,3172.52587890625,1986-11-14
21,3579.45068359375,1986-11-17
22,3986.092041015625,1986-11-18
23,4435.2587890625,1986-11-19
24,4922.04296875,1986-11-20
25,5450.17822265625,1986-11-21
26,6087.5498046875,1986-11-24
27,6778.97021484375,1986-11-25
28,7527.48046875,1986-11-26
29,8301.08203125,1986-11-28
30,8978.681640625,1986-12-01
31,9584.896484375,1986-12-02
32,10160.478515625,1986-12-03
33,10763.5322265625,1986-12-04
34,11380.095703125,1986-12-05
35,12001.033203125,1986-12-08
36,12612.2529296875,1986-12-09
37,13234.40625,1986-12-10
38,13849.2255859375,1986-12-11
39,14427.3955078125,1986-12-12
40,14962.8349609375,1986-12-15
41,15509.4970703125,1986-12-16
42,16050.86328125,1986-12-17
43,16587.591796875,1986-12-18
44,17161.63671875,1986-12-19
45,17757.61328125,1986-12-22
46,18369.6015625,1986-12-23
47,19022.9765625,1986-12-24
48,19710.85546875,1986-12-26
49,20402.626953125,1986-12-29
50,21122.056640625,1986-12-30
51,21860.0625,1986-12-31
52,22528.248046875,1987-01-02
53,23182.0625,1987-01-05
54,23852.603515625,1987-01-06
55,24798.494140625,1987-01-07
56,25761.083984375,1987-01-08
57,26779.04296875,1987-01-09
58,27892.275390625,1987-01-12
59,28931.38671875,1987-01-13
60,29937.703125,1987-01-14
61,30992.5859375,1987-01-15
62,31971.6640625,1987-01-16
63,32999.67578125,1987-01-19
64,34000.4453125,1987-01-20
65,35061.25390625,1987-01-21
66,36300.859375,1987-01-22
67,37292.34375,1987-01-23
