Period Number,Value,Date
1,504107.4375,1982-12-10
2,507955.625,1982-12-13
3,511629.8125,1982-12-14
4,514659.96875,1982-12-15
5,514157.25,1982-12-16
6,513599.4375,1982-12-17
7,513019.0625,1982-12-20
8,512447.5,1982-12-21
9,511914.40625,1982-12-22
10,511446.40625,1982-12-23
11,511070.71875,1982-12-27
12,510809.5,1982-12-28
13,510682.78125,1982-12-29
14,510699.375,1982-12-30
15,510166.34375,1982-12-31
16,509766.0,1983-01-03
17,509488.1875,1983-01-04
18,509317.90625,1983-01-05
19,509933.6875,1983-01-06
20,513568.90625,1983-01-07
21,513558.28125,1983-01-10
22,516422.34375,1983-01-11
23,520118.1875,1983-01-12
24,523840.53125,1983-01-13
25,527599.375,1983-01-14
26,527605.25,1983-01-17
27,527610.0625,1983-01-18
28,527560.8125,1983-01-19
29,531201.4375,1983-01-20
30,534732.9375,1983-01-21
31,538161.3125,1983-01-24
32,541501.9375,1983-01-25
33,544779.625,1983-01-26
34,548035.375,1983-01-27
35,547336.6875,1983-01-28
36,546643.0625,1983-01-31
37,545954.9375,1983-02-01
38,544337.3125,1983-02-02
39,542719.75,1983-02-03
40,542038.0625,1983-02-04
41,541369.375,1983-02-07
42,540712.75,1983-02-08
43,540070.5625,1983-02-09
44,539441.25,1983-02-10
45,538825.4375,1983-02-11
46,539041.5,1983-02-14
47,539280.1875,1983-02-15
48,538718.5625,1983-02-16
49,538990.0625,1983-02-17
50,539279.3125,1983-02-18
51,538762.3125,1983-02-22
52,539074.625,1983-02-23
53,537626.125,1983-02-24
54,536178.625,1983-02-25
55,534734.75,1983-02-28
56,533293.8125,1983-03-01
57,531850.5625,1983-03-02
58,530407.9375,1983-03-03
59,527889.5625,1983-03-04
60,525378.8125,1983-03-07
61,522876.15625,1983-03-08
62,520383.875,1983-03-09
63,517899.875,1983-03-10
64,515429.0,1983-03-11
65,512972.0625,1983-03-14
66,510536.875,1983-03-15
67,508129.03125,1983-03-16
68,505756.4375,1983-03-17
69,503430.9375,1983-03-18
70,501164.0625,1983-03-21
71,498974.15625,1983-03-22
72,496877.96875,1983-03-23
73,494897.84375,1983-03-24
74,493057.125,1983-03-25
