Period Number,Value,Date
1,65.56927490234375,1972-08-15
2,63.54618835449219,1972-08-16
3,60.31433868408203,1972-08-17
4,57.69696807861328,1972-08-18
5,54.585933685302734,1972-08-21
6,48.634220123291016,1972-08-22
7,42.84440994262695,1972-08-23
8,36.71854782104492,1972-08-24
9,30.72872543334961,1972-08-25
10,24.773887634277344,1972-08-28
11,18.816810607910156,1972-08-29
12,15.11164665222168,1972-08-30
13,12.122700691223145,1972-08-31
14,10.254791259765625,1972-09-01
15,7.647886276245117,1972-09-05
16,4.361465930938721,1972-09-06
17,2.605430841445923,1972-09-07
18,4.364743232727051,1972-09-08
19,11.323213577270508,1972-09-11
20,26.769081115722656,1972-09-12
21,42.087066650390625,1972-09-13
22,61.573917388916016,1972-09-14
23,78.16277313232422,1972-09-15
24,86.94635009765625,1972-09-18
25,81.9505386352539,1972-09-19
26,70.41868591308594,1972-09-20
27,59.390323638916016,1972-09-21
28,52.8196907043457,1972-09-22
29,47.504417419433594,1972-09-25
30,45.72836685180664,1972-09-26
31,37.08671188354492,1972-09-27
32,33.14555358886719,1972-09-28
33,39.72495651245117,1972-09-29
34,49.41238784790039,1972-10-02
35,58.89923095703125,1972-10-03
36,67.96084594726562,1972-10-04
37,75.53234100341797,1972-10-05
38,82.20316314697266,1972-10-06
39,87.09661102294922,1972-10-09
40,90.16810607910156,1972-10-10
41,90.99971771240234,1972-10-11
42,89.57293701171875,1972-10-12
43,96.45553588867188,1972-10-13
44,102.59526824951172,1972-10-16
45,111.07234954833984,1972-10-17
46,122.32405853271484,1972-10-18
47,131.04090881347656,1972-10-19
48,133.3885040283203,1972-10-20
49,128.71224975585938,1972-10-23
50,118.30010223388672,1972-10-24
51,105.10453796386719,1972-10-25
52,91.94330596923828,1972-10-26
53,78.62015533447266,1972-10-27
54,69.8453140258789,1972-10-30
55,56.864051818847656,1972-10-31
56,46.44456481933594,1972-11-01
57,31.03160285949707,1972-11-02
58,15.395557403564453,1972-11-03
59,9.475040435791016,1972-11-06
60,8.038082122802734,1972-11-08
61,11.293124198913574,1972-11-09
62,15.022174835205078,1972-11-10
63,22.42697525024414,1972-11-13
64,30.52402687072754,1972-11-14
65,37.812347412109375,1972-11-15
66,46.68848419189453,1972-11-16
67,57.08537673950195,1972-11-17
68,59.03828430175781,1972-11-20
69,45.099212646484375,1972-11-21
70,38.24094009399414,1972-11-22
71,32.96653747558594,1972-11-24
72,28.14162826538086,1972-11-27
73,26.048858642578125,1972-11-28
74,23.32971954345703,1972-11-29
75,24.978927612304688,1972-11-30
76,28.40188217163086,1972-12-01
77,35.192527770996094,1972-12-04
78,42.99705123901367,1972-12-05
79,53.25206756591797,1972-12-06
80,63.70880889892578,1972-12-07
81,73.67330932617188,1972-12-08
82,82.66556549072266,1972-12-11
83,90.20101165771484,1972-12-12
84,97.0442123413086,1972-12-13
85,109.21415710449219,1972-12-14
86,113.62199401855469,1972-12-15
87,112.12007904052734,1972-12-18
88,112.87727355957031,1972-12-19
89,103.72481536865234,1972-12-20
90,98.82493591308594,1972-12-21
91,93.23633575439453,1972-12-22
92,88.36885070800781,1972-12-26
93,82.47586059570312,1972-12-27
94,74.03069305419922,1972-12-29
95,65.8113784790039,1973-01-02
96,56.16255569458008,1973-01-03
97,50.22770309448242,1973-01-04
98,41.761268615722656,1973-01-05
99,31.586833953857422,1973-01-08
100,25.740062713623047,1973-01-09
101,24.49967384338379,1973-01-10
102,25.497116088867188,1973-01-11
103,21.280794143676758,1973-01-12
104,16.46372413635254,1973-01-15
105,11.926461219787598,1973-01-16
106,6.46157693862915,1973-01-17
107,3.320267915725708,1973-01-18
108,2.2733681201934814,1973-01-19
109,1.8912827968597412,1973-01-22
110,1.5336363315582275,1973-01-23
111,1.3337632417678833,1973-01-24
112,0.6459775567054749,1973-01-26
113,0.1982204020023346,1973-01-29
114,0.18328259885311127,1973-01-30
115,0.490435391664505,1973-01-31
116,1.4323246479034424,1973-02-01
117,3.192574977874756,1973-02-02
118,6.081462860107422,1973-02-05
119,9.919458389282227,1973-02-06
120,16.927156448364258,1973-02-07
121,27.53246307373047,1973-02-08
122,35.331016540527344,1973-02-09
123,40.920101165771484,1973-02-12
124,41.5880126953125,1973-02-13
125,44.74451446533203,1973-02-14
126,45.81705856323242,1973-02-15
127,44.667476654052734,1973-02-16
128,41.23158645629883,1973-02-20
129,34.01382064819336,1973-02-21
130,27.274694442749023,1973-02-22
131,23.064695358276367,1973-02-23
132,20.406015396118164,1973-02-26
133,21.750457763671875,1973-02-27
134,24.091251373291016,1973-02-28
135,26.44376564025879,1973-03-01
136,28.480051040649414,1973-03-02
137,30.776506423950195,1973-03-05
138,30.597108840942383,1973-03-06
139,30.45210838317871,1973-03-07
140,31.31509017944336,1973-03-08
141,30.805097579956055,1973-03-09
142,26.872526168823242,1973-03-12
143,21.99724006652832,1973-03-13
144,15.368426322937012,1973-03-14
145,10.06938362121582,1973-03-15
146,6.045718193054199,1973-03-16
147,2.9568068981170654,1973-03-19
148,2.537066698074341,1973-03-20
149,4.512701511383057,1973-03-21
150,13.955022811889648,1973-03-22
151,33.84379196166992,1973-03-23
152,55.07545852661133,1973-03-26
153,59.405799865722656,1973-03-27
154,55.249752044677734,1973-03-28
155,54.4743537902832,1973-03-29
156,54.494197845458984,1973-03-30
157,56.77591323852539,1973-04-02
158,54.92435073852539,1973-04-03
159,46.844913482666016,1973-04-04
160,42.015052795410156,1973-04-05
161,32.95951843261719,1973-04-06
162,23.41877555847168,1973-04-09
163,12.938068389892578,1973-04-10
164,9.335108757019043,1973-04-11
165,7.126402378082275,1973-04-12
166,7.547278881072998,1973-04-13
167,7.576595306396484,1973-04-16
168,9.44678783416748,1973-04-17
169,13.726853370666504,1973-04-18
170,19.159395217895508,1973-04-19
171,24.81761360168457,1973-04-23
172,30.20271873474121,1973-04-24
173,35.15546798706055,1973-04-25
174,42.99080276489258,1973-04-26
175,50.73340606689453,1973-04-27
176,55.046443939208984,1973-04-30
177,61.87852096557617,1973-05-01
178,66.62644958496094,1973-05-02
179,67.72694396972656,1973-05-03
180,66.10272216796875,1973-05-04
181,62.588253021240234,1973-05-07
182,58.1890983581543,1973-05-08
183,56.4035530090332,1973-05-09
184,53.721397399902344,1973-05-10
185,49.90655517578125,1973-05-11
186,47.83058166503906,1973-05-14
187,45.450233459472656,1973-05-15
188,44.83656692504883,1973-05-16
189,45.378692626953125,1973-05-17
190,47.90811538696289,1973-05-18
191,46.35033416748047,1973-05-21
192,41.93158721923828,1973-05-22
193,33.72038269042969,1973-05-23
194,24.536487579345703,1973-05-24
195,14.485420227050781,1973-05-25
196,6.621420860290527,1973-05-29
197,3.164919853210449,1973-05-30
198,2.259927988052368,1973-05-31
199,3.917066812515259,1973-06-01
200,5.437833786010742,1973-06-04
201,8.130315780639648,1973-06-05
202,6.913535118103027,1973-06-06
203,6.878427505493164,1973-06-07
204,8.169082641601562,1973-06-08
205,19.947019577026367,1973-06-11
206,35.42473220825195,1973-06-12
207,55.580902099609375,1973-06-13
208,70.3774642944336,1973-06-14
209,77.44800567626953,1973-06-15
210,82.37447357177734,1973-06-18
211,88.54914855957031,1973-06-19
212,85.11511993408203,1973-06-20
213,86.04013061523438,1973-06-21
214,88.40251159667969,1973-06-22
215,97.33877563476562,1973-06-25
216,108.19511413574219,1973-06-26
217,124.95693969726562,1973-06-27
218,150.31446838378906,1973-06-28
219,173.62777709960938,1973-06-29
220,190.96568298339844,1973-07-02
