Period Number,Value,Date
1,7419.54296875,1971-01-06
2,7185.904296875,1971-01-07
3,6944.662109375,1971-01-08
4,6715.16015625,1971-01-11
5,6498.82763671875,1971-01-12
6,6270.20703125,1971-01-13
7,6007.33544921875,1971-01-14
8,5739.24755859375,1971-01-15
9,5468.671875,1971-01-18
10,5209.54296875,1971-01-19
11,4965.740234375,1971-01-20
12,4717.81298828125,1971-01-21
13,4470.27587890625,1971-01-22
14,4239.97314453125,1971-01-25
15,4200.18505859375,1971-01-26
16,4132.73583984375,1971-01-27
17,4064.57470703125,1971-01-28
18,4011.515380859375,1971-01-29
19,3949.984130859375,1971-02-01
20,3884.5283203125,1971-02-02
21,3828.672119140625,1971-02-03
22,3765.98779296875,1971-02-04
23,3733.5244140625,1971-02-05
24,3725.295166015625,1971-02-08
25,3721.93896484375,1971-02-09
26,3756.412109375,1971-02-10
27,3818.275146484375,1971-02-11
28,3892.471923828125,1971-02-12
29,4000.09765625,1971-02-16
30,4121.52734375,1971-02-17
31,4246.71923828125,1971-02-18
32,4372.751953125,1971-02-19
33,4454.09814453125,1971-02-22
34,4524.6572265625,1971-02-23
35,4609.18505859375,1971-02-24
36,4719.5947265625,1971-02-25
37,4847.81103515625,1971-02-26
38,4979.67626953125,1971-03-01
39,5102.42724609375,1971-03-02
40,5288.08447265625,1971-03-03
41,5492.6357421875,1971-03-04
42,5720.080078125,1971-03-05
43,5958.7001953125,1971-03-08
44,6196.34375,1971-03-09
45,6443.7529296875,1971-03-10
46,6712.236328125,1971-03-11
47,6988.57568359375,1971-03-12
48,7290.94677734375,1971-03-15
49,7632.66943359375,1971-03-16
50,7965.88720703125,1971-03-17
51,8275.6611328125,1971-03-18
52,8572.9453125,1971-03-19
53,8899.0224609375,1971-03-22
54,9179.4384765625,1971-03-23
55,9461.5595703125,1971-03-24
56,9713.697265625,1971-03-25
57,9967.49609375,1971-03-26
58,10178.431640625,1971-03-29
59,10405.1083984375,1971-03-30
60,10610.9794921875,1971-03-31
61,10808.638671875,1971-04-01
62,11016.0693359375,1971-04-02
63,11209.654296875,1971-04-05
64,11391.9130859375,1971-04-06
65,11559.46875,1971-04-07
66,11702.447265625,1971-04-08
67,11797.3017578125,1971-04-12
68,11862.91796875,1971-04-13
69,11904.17578125,1971-04-14
70,11911.4140625,1971-04-15
71,11937.55859375,1971-04-16
72,11964.3271484375,1971-04-19
73,11943.525390625,1971-04-20
74,11943.326171875,1971-04-21
75,11916.5302734375,1971-04-22
76,11851.60546875,1971-04-23
77,11754.2509765625,1971-04-26
78,11584.55078125,1971-04-27
79,11441.173828125,1971-04-28
80,11255.08984375,1971-04-29
81,11132.2919921875,1971-04-30
82,11028.482421875,1971-05-03
83,10914.3125,1971-05-04
84,10794.40234375,1971-05-05
85,10617.3369140625,1971-05-06
86,10393.380859375,1971-05-07
87,10188.892578125,1971-05-10
88,10074.3056640625,1971-05-11
89,9947.8828125,1971-05-12
90,9814.5927734375,1971-05-13
91,9653.3759765625,1971-05-14
92,9464.91796875,1971-05-17
93,9263.8115234375,1971-05-18
94,9164.0673828125,1971-05-19
95,9062.259765625,1971-05-20
96,8889.5048828125,1971-05-21
97,8643.908203125,1971-05-24
98,8349.619140625,1971-05-25
99,7990.33349609375,1971-05-26
100,7567.94580078125,1971-05-27
101,7079.43896484375,1971-05-28
102,6783.60546875,1971-06-01
103,6589.1787109375,1971-06-02
104,6499.150390625,1971-06-03
105,6439.49462890625,1971-06-04
