Period Number,Value,Date
1,2781.3583984375,1994-01-05
2,2968.155517578125,1994-01-06
3,3128.383544921875,1994-01-07
4,3281.611328125,1994-01-10
5,3454.974853515625,1994-01-11
6,3595.2724609375,1994-01-12
7,3744.16259765625,1994-01-13
8,3871.670654296875,1994-01-14
9,3984.569091796875,1994-01-17
10,4089.893310546875,1994-01-18
11,4134.39453125,1994-01-19
12,4177.7314453125,1994-01-20
13,4202.71435546875,1994-01-21
14,4232.607421875,1994-01-24
15,4294.1279296875,1994-01-25
16,4370.7490234375,1994-01-26
17,4483.2021484375,1994-01-27
18,4597.80078125,1994-01-28
19,4697.8564453125,1994-01-31
20,4785.20361328125,1994-02-01
21,4859.2158203125,1994-02-02
22,4931.30029296875,1994-02-03
23,5020.8994140625,1994-02-04
24,5091.12744140625,1994-02-07
25,5142.5556640625,1994-02-08
26,5145.7919921875,1994-02-09
27,5158.92333984375,1994-02-10
28,5147.78564453125,1994-02-11
29,5119.3076171875,1994-02-14
30,5105.755859375,1994-02-15
31,5081.90673828125,1994-02-16
32,5026.646484375,1994-02-17
33,4928.1005859375,1994-02-18
34,4807.18017578125,1994-02-22
35,4650.85693359375,1994-02-23
36,4482.4853515625,1994-02-24
37,4418.39404296875,1994-02-25
38,4348.36865234375,1994-02-28
39,4254.47314453125,1994-03-01
40,4152.0947265625,1994-03-02
41,4050.189453125,1994-03-03
42,3899.091796875,1994-03-04
43,3731.31396484375,1994-03-07
44,3572.468017578125,1994-03-08
45,3416.900390625,1994-03-09
46,3280.812255859375,1994-03-10
47,3143.3046875,1994-03-11
48,2964.63134765625,1994-03-14
49,2776.486328125,1994-03-15
50,2578.776123046875,1994-03-16
51,2381.01806640625,1994-03-17
52,2195.324462890625,1994-03-18
53,2002.8323974609375,1994-03-21
54,1802.0833740234375,1994-03-22
55,1600.2159423828125,1994-03-23
56,1573.717529296875,1994-03-24
57,1612.4326171875,1994-03-25
58,1645.182373046875,1994-03-28
59,1698.60498046875,1994-03-29
60,1785.2906494140625,1994-03-30
61,1875.9901123046875,1994-03-31
62,1959.804931640625,1994-04-04
63,2045.999755859375,1994-04-05
64,2119.927490234375,1994-04-06
65,2171.6669921875,1994-04-07
66,2184.6572265625,1994-04-08
67,2173.90283203125,1994-04-11
68,2145.545166015625,1994-04-12
69,2096.87939453125,1994-04-13
70,2025.808837890625,1994-04-14
71,1947.8153076171875,1994-04-15
72,1869.3648681640625,1994-04-18
73,1850.21923828125,1994-04-19
74,1845.8448486328125,1994-04-20
75,1853.5152587890625,1994-04-21
76,1850.95166015625,1994-04-22
77,1834.95166015625,1994-04-25
78,1819.279541015625,1994-04-26
79,1790.5810546875,1994-04-28
80,1797.054931640625,1994-04-29
81,1789.5682373046875,1994-05-02
82,1782.5699462890625,1994-05-03
83,1773.8909912109375,1994-05-04
84,1784.11865234375,1994-05-05
85,1787.4593505859375,1994-05-06
86,1776.540771484375,1994-05-09
87,1702.6702880859375,1994-05-10
88,1598.6773681640625,1994-05-11
89,1465.15869140625,1994-05-12
90,1328.231201171875,1994-05-13
91,1180.21728515625,1994-05-16
92,1036.6029052734375,1994-05-17
93,914.9258422851562,1994-05-18
94,787.6222534179688,1994-05-19
95,671.9390869140625,1994-05-20
96,553.115478515625,1994-05-23
97,448.1232604980469,1994-05-24
98,363.5967712402344,1994-05-25
99,290.69647216796875,1994-05-26
100,238.87693786621094,1994-05-27
101,204.26907348632812,1994-05-31
102,194.36476135253906,1994-06-01
103,177.6742401123047,1994-06-02
104,159.143310546875,1994-06-03
105,139.14804077148438,1994-06-06
106,116.4267578125,1994-06-07
107,92.71593475341797,1994-06-08
108,68.22274017333984,1994-06-09
109,45.178314208984375,1994-06-10
110,25.992799758911133,1994-06-13
111,13.739697456359863,1994-06-14
112,5.001140117645264,1994-06-15
113,1.6907070875167847,1994-06-16
114,8.327184677124023,1994-06-17
115,29.49004554748535,1994-06-20
116,64.69000244140625,1994-06-21
117,116.33223724365234,1994-06-22
118,185.45884704589844,1994-06-23
119,267.4771423339844,1994-06-24
120,361.9437561035156,1994-06-27
121,462.0721740722656,1994-06-28
122,572.1707763671875,1994-06-29
123,686.0689697265625,1994-06-30
124,800.4545288085938,1994-07-01
125,921.6278076171875,1994-07-05
126,1040.49609375,1994-07-06
127,1153.819091796875,1994-07-07
128,1261.357177734375,1994-07-08
129,1380.4486083984375,1994-07-11
130,1491.45751953125,1994-07-12
131,1601.074951171875,1994-07-13
132,1727.281494140625,1994-07-14
133,1852.6146240234375,1994-07-15
134,1965.5482177734375,1994-07-18
135,2056.560791015625,1994-07-19
136,2146.232421875,1994-07-20
137,2235.103515625,1994-07-21
138,2317.549560546875,1994-07-22
139,2379.321044921875,1994-07-25
140,2433.13330078125,1994-07-26
141,2469.94287109375,1994-07-27
142,2493.700439453125,1994-07-28
143,2509.468505859375,1994-07-29
144,2518.38916015625,1994-08-01
145,2523.43212890625,1994-08-02
146,2529.964599609375,1994-08-03
147,2536.30908203125,1994-08-04
148,2543.894775390625,1994-08-05
149,2549.569091796875,1994-08-08
150,2545.634765625,1994-08-09
151,2525.129638671875,1994-08-10
152,2499.626953125,1994-08-11
153,2469.0302734375,1994-08-12
