Period Number,Value,Date
1,326.69720458984375,2007-09-26
2,438.9371643066406,2007-09-27
3,557.13232421875,2007-09-28
4,700.2814331054688,2007-10-01
5,862.8219604492188,2007-10-02
6,1006.4774169921875,2007-10-03
7,1152.8997802734375,2007-10-04
8,1313.80908203125,2007-10-05
9,1459.3243408203125,2007-10-08
10,1619.8775634765625,2007-10-09
11,1751.4171142578125,2007-10-10
12,1851.168212890625,2007-10-11
13,1942.2818603515625,2007-10-12
14,2004.43701171875,2007-10-15
15,2011.087890625,2007-10-16
16,2010.80029296875,2007-10-17
17,1971.2249755859375,2007-10-18
18,1874.8974609375,2007-10-19
19,1763.8612060546875,2007-10-22
20,1671.803466796875,2007-10-23
21,1565.001220703125,2007-10-24
22,1463.4700927734375,2007-10-25
23,1389.3604736328125,2007-10-26
24,1313.3367919921875,2007-10-29
25,1188.2769775390625,2007-10-30
26,1096.27685546875,2007-10-31
27,969.658203125,2007-11-01
28,869.8850708007812,2007-11-02
29,755.01220703125,2007-11-05
30,682.4284057617188,2007-11-06
31,591.87109375,2007-11-07
32,530.053955078125,2007-11-08
33,469.732421875,2007-11-09
34,413.7655029296875,2007-11-12
35,476.8945617675781,2007-11-13
36,541.26806640625,2007-11-14
37,604.1466064453125,2007-11-15
38,693.64208984375,2007-11-16
39,794.1112670898438,2007-11-19
40,878.373779296875,2007-11-20
41,967.0499267578125,2007-11-21
42,1040.1689453125,2007-11-23
43,1100.5203857421875,2007-11-26
44,1131.34228515625,2007-11-27
45,1149.3760986328125,2007-11-28
46,1162.6251220703125,2007-11-29
47,1171.6451416015625,2007-11-30
48,1167.9267578125,2007-12-03
49,1157.6866455078125,2007-12-04
50,1111.409912109375,2007-12-05
51,1070.7291259765625,2007-12-06
52,1049.430908203125,2007-12-07
53,1017.501220703125,2007-12-10
54,987.2469482421875,2007-12-11
55,980.6322631835938,2007-12-12
56,974.4183959960938,2007-12-13
57,977.9113159179688,2007-12-14
58,975.3142700195312,2007-12-17
59,981.8890991210938,2007-12-18
60,969.9883422851562,2007-12-19
61,963.72705078125,2007-12-20
62,997.32861328125,2007-12-21
63,1108.4754638671875,2007-12-24
64,1226.562744140625,2007-12-26
65,1315.776611328125,2007-12-27
66,1380.9935302734375,2007-12-28
67,1436.0638427734375,2007-12-31
68,1505.7969970703125,2008-01-02
69,1581.4881591796875,2008-01-03
70,1619.620849609375,2008-01-04
71,1670.4208984375,2008-01-07
72,1674.6226806640625,2008-01-08
73,1699.333251953125,2008-01-09
74,1717.5816650390625,2008-01-10
75,1695.621337890625,2008-01-11
76,1674.8541259765625,2008-01-14
77,1611.3321533203125,2008-01-15
78,1477.0736083984375,2008-01-16
79,1288.9111328125,2008-01-17
80,1137.17578125,2008-01-18
81,956.3790893554688,2008-01-22
82,792.8836059570312,2008-01-23
83,672.2383422851562,2008-01-24
84,558.4453735351562,2008-01-25
85,472.1693115234375,2008-01-28
86,450.29217529296875,2008-01-29
87,424.6483154296875,2008-01-30
88,408.0035705566406,2008-01-31
89,392.97686767578125,2008-02-01
90,374.41082763671875,2008-02-04
91,383.46343994140625,2008-02-05
92,381.36322021484375,2008-02-06
93,372.6156311035156,2008-02-07
94,365.521484375,2008-02-08
95,345.0790100097656,2008-02-11
96,320.48822021484375,2008-02-12
97,287.706298828125,2008-02-13
98,251.84214782714844,2008-02-14
99,221.5432891845703,2008-02-15
100,190.74996948242188,2008-02-19
101,158.18951416015625,2008-02-20
102,129.0738983154297,2008-02-21
103,99.41424560546875,2008-02-22
104,69.82125091552734,2008-02-25
105,45.78549575805664,2008-02-26
106,27.889991760253906,2008-02-27
107,13.935750961303711,2008-02-28
108,5.995340824127197,2008-02-29
109,1.6102372407913208,2008-03-03
110,0.25860971212387085,2008-03-04
111,4.125835418701172,2008-03-05
112,10.030169486999512,2008-03-06
113,15.623065948486328,2008-03-07
114,21.632917404174805,2008-03-10
115,38.8367919921875,2008-03-11
116,56.22610855102539,2008-03-12
117,80.70291900634766,2008-03-13
118,106.54518127441406,2008-03-14
119,121.46671295166016,2008-03-17
120,153.0384063720703,2008-03-18
121,166.08692932128906,2008-03-19
122,197.88592529296875,2008-03-20
123,237.88101196289062,2008-03-24
124,278.5050354003906,2008-03-25
125,318.61767578125,2008-03-26
126,356.7070007324219,2008-03-27
127,380.49481201171875,2008-03-28
128,396.1196594238281,2008-03-31
129,426.107421875,2008-04-01
130,437.48175048828125,2008-04-02
131,451.03857421875,2008-04-03
132,445.32623291015625,2008-04-04
133,443.7265625,2008-04-07
134,415.268798828125,2008-04-08
135,388.3400573730469,2008-04-09
136,348.7568054199219,2008-04-10
137,304.6949768066406,2008-04-11
138,270.5582580566406,2008-04-14
139,226.7400360107422,2008-04-15
140,190.91502380371094,2008-04-16
141,156.90695190429688,2008-04-17
142,126.64326477050781,2008-04-18
143,105.96260070800781,2008-04-21
144,81.99921417236328,2008-04-22
145,66.5530776977539,2008-04-23
146,51.99241256713867,2008-04-24
147,46.54363250732422,2008-04-25
148,44.01547622680664,2008-04-28
149,56.06522750854492,2008-04-29
150,76.68196105957031,2008-04-30
151,96.10070037841797,2008-05-01
152,118.14990997314453,2008-05-02
153,139.3342742919922,2008-05-05
154,150.7477264404297,2008-05-06
155,158.60118103027344,2008-05-07
156,147.28802490234375,2008-05-08
157,126.83963012695312,2008-05-09
158,110.08683013916016,2008-05-12
159,91.68589782714844,2008-05-13
160,65.23612976074219,2008-05-14
161,39.63145446777344,2008-05-15
162,23.943683624267578,2008-05-16
163,18.062137603759766,2008-05-19
164,17.89201545715332,2008-05-20
165,38.285884857177734,2008-05-21
166,73.70919799804688,2008-05-22
167,123.46903228759766,2008-05-23
168,182.4743194580078,2008-05-27
169,258.9256591796875,2008-05-28
170,347.7431640625,2008-05-29
171,456.71307373046875,2008-05-30
172,568.2095947265625,2008-06-02
173,663.530029296875,2008-06-03
174,726.0228271484375,2008-06-04
175,804.48779296875,2008-06-05
176,848.2840576171875,2008-06-06
177,886.7957763671875,2008-06-09
178,886.30712890625,2008-06-10
179,865.8006591796875,2008-06-11
180,842.522216796875,2008-06-12
181,815.342041015625,2008-06-13
182,773.6497192382812,2008-06-16
183,727.75537109375,2008-06-17
184,690.5496826171875,2008-06-18
185,641.7045288085938,2008-06-19
186,622.3619995117188,2008-06-20
187,667.6365356445312,2008-06-23
188,706.651123046875,2008-06-24
189,754.9805908203125,2008-06-25
190,806.0425415039062,2008-06-26
191,869.9166870117188,2008-06-27
192,939.9947509765625,2008-06-30
193,1023.1351318359375,2008-07-01
194,1115.2130126953125,2008-07-02
195,1152.7115478515625,2008-07-03
196,1173.4979248046875,2008-07-07
197,1169.47509765625,2008-07-08
198,1147.0587158203125,2008-07-09
199,1117.364990234375,2008-07-10
200,1088.8778076171875,2008-07-11
201,1051.3787841796875,2008-07-14
202,1000.3671875,2008-07-15
203,935.9885864257812,2008-07-16
204,877.6014404296875,2008-07-17
205,825.2086791992188,2008-07-18
206,765.7034301757812,2008-07-21
207,719.0989990234375,2008-07-22
208,677.8443603515625,2008-07-23
209,653.5471801757812,2008-07-24
210,627.3775024414062,2008-07-25
211,600.8729248046875,2008-07-28
212,556.9202880859375,2008-07-29
213,499.3441467285156,2008-07-30
214,436.9566650390625,2008-07-31
215,389.89251708984375,2008-08-01
216,341.00848388671875,2008-08-04
217,289.1545715332031,2008-08-05
218,276.74053955078125,2008-08-06
219,275.76123046875,2008-08-07
220,301.5835876464844,2008-08-08
221,320.3009338378906,2008-08-11
222,322.19305419921875,2008-08-12
223,319.6878356933594,2008-08-13
224,310.36029052734375,2008-08-14
225,305.84869384765625,2008-08-15
226,307.79278564453125,2008-08-18
227,336.0142517089844,2008-08-19
228,345.95928955078125,2008-08-20
229,356.3212890625,2008-08-21
230,381.34197998046875,2008-08-22
231,432.0826110839844,2008-08-25
232,499.5304260253906,2008-08-26
233,548.5758056640625,2008-08-27
234,588.3554077148438,2008-08-28
235,636.6741333007812,2008-08-29
236,747.519775390625,2008-09-02
237,864.00439453125,2008-09-03
238,989.2814331054688,2008-09-04
239,1118.5118408203125,2008-09-05
240,1246.078857421875,2008-09-08
241,1395.8092041015625,2008-09-09
242,1552.922119140625,2008-09-10
243,1784.39013671875,2008-09-11
244,1948.67138671875,2008-09-12
245,2231.869384765625,2008-09-15
246,2621.66796875,2008-09-16
247,3177.317138671875,2008-09-17
248,3591.130126953125,2008-09-18
249,3749.056640625,2008-09-19
250,4004.77685546875,2008-09-22
251,4321.9619140625,2008-09-23
252,4626.2099609375,2008-09-24
253,4819.677734375,2008-09-25
254,5070.0908203125,2008-09-26
255,5618.88720703125,2008-09-29
256,5952.439453125,2008-09-30
257,6323.8134765625,2008-10-01
258,6866.90234375,2008-10-02
259,7566.2001953125,2008-10-03
260,8654.9248046875,2008-10-06
261,9908.4521484375,2008-10-07
262,11090.9619140625,2008-10-08
263,12655.0703125,2008-10-09
264,14096.5078125,2008-10-10
265,14984.8564453125,2008-10-13
266,15781.041015625,2008-10-14
267,17146.177734375,2008-10-15
268,18434.310546875,2008-10-16
269,19679.759765625,2008-10-17
270,20561.328125,2008-10-20
271,21552.359375,2008-10-21
272,23122.482421875,2008-10-22
273,24429.517578125,2008-10-23
274,26215.4453125,2008-10-24
275,28214.595703125,2008-10-27
276,29116.08984375,2008-10-28
277,29312.818359375,2008-10-29
278,28717.75390625,2008-10-30
279,28008.166015625,2008-10-31
280,27168.64453125,2008-11-03
281,25751.28515625,2008-11-04
282,24933.34765625,2008-11-05
283,24594.44140625,2008-11-06
284,23974.40234375,2008-11-07
285,23357.658203125,2008-11-10
286,23248.328125,2008-11-11
287,23989.630859375,2008-11-12
288,23988.25,2008-11-13
