Period Number,Value,Date
1,591000.9375,2012-03-02
2,585290.0,2012-03-05
3,579510.5625,2012-03-06
4,572942.25,2012-03-07
5,565894.875,2012-03-08
6,557957.1875,2012-03-09
7,549657.5625,2012-03-12
8,541182.0,2012-03-13
9,534956.625,2012-03-14
10,532007.5625,2012-03-15
11,529436.8125,2012-03-16
12,526868.125,2012-03-19
13,524332.0,2012-03-20
14,521755.625,2012-03-21
15,519119.625,2012-03-22
16,517380.375,2012-03-23
17,516275.21875,2012-03-26
18,516171.34375,2012-03-27
19,516084.65625,2012-03-28
20,515984.46875,2012-03-29
21,515431.1875,2012-03-30
22,515302.1875,2012-04-02
23,515530.75,2012-04-03
24,516125.21875,2012-04-04
25,516952.375,2012-04-05
26,517968.46875,2012-04-09
27,519127.03125,2012-04-10
28,520718.875,2012-04-11
29,523669.78125,2012-04-12
30,526728.625,2012-04-13
31,529792.875,2012-04-16
32,532754.125,2012-04-17
33,535755.9375,2012-04-18
34,539288.6875,2012-04-19
35,542423.625,2012-04-20
36,545245.8125,2012-04-23
37,548306.9375,2012-04-24
38,551460.375,2012-04-25
39,554586.6875,2012-04-26
40,557522.9375,2012-04-27
41,561387.9375,2012-04-30
42,564998.5625,2012-05-01
43,568511.8125,2012-05-02
44,571861.9375,2012-05-03
45,574405.0,2012-05-04
46,575820.8125,2012-05-07
47,577156.375,2012-05-08
48,579006.75,2012-05-09
49,580849.125,2012-05-10
50,582171.0,2012-05-11
51,583091.25,2012-05-14
52,583494.25,2012-05-15
53,582661.5,2012-05-16
54,581545.3125,2012-05-17
55,582205.6875,2012-05-18
56,583047.9375,2012-05-21
57,584809.1875,2012-05-22
58,586181.25,2012-05-23
59,587628.8125,2012-05-24
60,588461.6875,2012-05-25
61,589385.875,2012-05-29
62,588381.25,2012-05-30
63,585812.5,2012-05-31
64,583589.625,2012-06-01
65,581645.9375,2012-06-04
66,581586.75,2012-06-05
67,582822.9375,2012-06-06
68,584422.125,2012-06-07
69,585237.5,2012-06-08
70,585671.875,2012-06-11
71,586044.4375,2012-06-12
72,585442.3125,2012-06-13
73,585543.1875,2012-06-14
74,585904.4375,2012-06-15
75,585768.25,2012-06-18
76,585632.5,2012-06-19
77,586398.875,2012-06-20
78,586999.5,2012-06-21
79,587406.375,2012-06-22
80,588924.625,2012-06-25
81,589337.5,2012-06-26
82,589973.0625,2012-06-27
83,590245.0,2012-06-28
84,590527.125,2012-06-29
85,590560.5,2012-07-02
86,590590.125,2012-07-03
87,590114.875,2012-07-05
88,590241.875,2012-07-06
89,590254.9375,2012-07-09
90,589760.625,2012-07-10
91,588991.5,2012-07-11
92,588393.9375,2012-07-12
93,587612.625,2012-07-13
94,585569.8125,2012-07-16
95,585060.875,2012-07-17
96,584394.125,2012-07-18
97,584772.0,2012-07-19
98,584145.0625,2012-07-20
99,582963.4375,2012-07-23
100,581743.875,2012-07-24
101,580567.6875,2012-07-25
102,579502.4375,2012-07-26
103,577498.375,2012-07-27
104,576144.375,2012-07-30
105,574527.5,2012-07-31
106,573349.0,2012-08-01
107,571798.1875,2012-08-02
108,569701.625,2012-08-03
109,567511.4375,2012-08-06
110,566149.25,2012-08-07
111,564525.875,2012-08-08
112,564163.625,2012-08-09
113,563717.5,2012-08-10
114,562425.875,2012-08-13
115,561182.875,2012-08-14
116,560368.5625,2012-08-15
117,558917.6875,2012-08-16
118,558139.375,2012-08-17
119,556867.8125,2012-08-20
120,556241.0,2012-08-21
