Period Number,Value,Date
1,18489.169921875,1976-11-22
2,18936.193359375,1976-11-23
3,19368.1171875,1976-11-24
4,19801.4765625,1976-11-26
5,20225.337890625,1976-11-29
6,20632.845703125,1976-11-30
7,21068.44921875,1976-12-01
8,21520.50390625,1976-12-02
9,22036.787109375,1976-12-03
10,22486.970703125,1976-12-06
11,22806.4453125,1976-12-07
12,22988.8828125,1976-12-08
13,23109.0234375,1976-12-09
14,23166.052734375,1976-12-10
15,23190.734375,1976-12-13
16,23128.673828125,1976-12-14
17,23030.431640625,1976-12-15
18,22846.927734375,1976-12-16
19,22624.626953125,1976-12-17
20,22326.6875,1976-12-20
21,21995.619140625,1976-12-21
22,21623.419921875,1976-12-22
23,21184.43359375,1976-12-23
24,20683.126953125,1976-12-27
25,20145.658203125,1976-12-28
26,19560.197265625,1976-12-29
27,18899.099609375,1976-12-30
28,18204.328125,1976-12-31
29,17429.091796875,1977-01-03
30,16590.6875,1977-01-04
31,15713.310546875,1977-01-05
32,14841.373046875,1977-01-06
33,13957.6806640625,1977-01-07
34,13122.7919921875,1977-01-10
35,12273.3466796875,1977-01-11
36,11422.8740234375,1977-01-12
37,10617.6083984375,1977-01-13
38,9827.046875,1977-01-14
39,9033.9501953125,1977-01-17
40,8494.28515625,1977-01-18
41,8024.7939453125,1977-01-19
42,7502.69970703125,1977-01-20
43,7020.51025390625,1977-01-21
44,6576.54541015625,1977-01-24
45,6096.9931640625,1977-01-25
46,5601.62255859375,1977-01-26
47,5109.3935546875,1977-01-27
48,4579.806640625,1977-01-28
49,4069.721435546875,1977-01-31
50,3629.95654296875,1977-02-01
51,3301.688232421875,1977-02-02
52,2983.439453125,1977-02-03
53,2699.377197265625,1977-02-04
54,2436.71533203125,1977-02-07
55,2209.892822265625,1977-02-08
56,1980.2056884765625,1977-02-09
57,1933.102783203125,1977-02-10
58,2022.9974365234375,1977-02-11
59,2109.453125,1977-02-14
60,2207.1953125,1977-02-15
61,2315.905029296875,1977-02-16
62,2426.24609375,1977-02-17
63,2527.249755859375,1977-02-18
64,2622.21728515625,1977-02-22
65,2685.621337890625,1977-02-23
66,2744.770263671875,1977-02-24
67,2798.744873046875,1977-02-25
68,2831.497802734375,1977-02-28
69,2873.164794921875,1977-03-01
70,2901.024169921875,1977-03-02
71,2908.97265625,1977-03-03
72,2918.5849609375,1977-03-04
73,2935.028076171875,1977-03-07
74,2939.088623046875,1977-03-08
75,2935.89453125,1977-03-09
76,2928.529052734375,1977-03-10
77,2931.614501953125,1977-03-11
78,2955.271728515625,1977-03-14
79,2987.284423828125,1977-03-15
80,3046.471923828125,1977-03-16
81,3098.84814453125,1977-03-17
82,3136.308349609375,1977-03-18
83,3181.4560546875,1977-03-21
84,3225.499267578125,1977-03-22
85,3268.696044921875,1977-03-23
86,3335.895263671875,1977-03-24
87,3422.239990234375,1977-03-25
88,3521.876220703125,1977-03-28
89,3624.766357421875,1977-03-29
90,3732.20068359375,1977-03-30
91,3835.986083984375,1977-03-31
92,3938.509765625,1977-04-01
93,4048.426513671875,1977-04-04
94,4162.31298828125,1977-04-05
95,4271.7314453125,1977-04-06
96,4380.40625,1977-04-07
97,4487.58544921875,1977-04-11
98,4583.92236328125,1977-04-12
99,4678.3046875,1977-04-13
100,4757.95458984375,1977-04-14
101,4822.9296875,1977-04-15
102,4874.68603515625,1977-04-18
103,4919.11181640625,1977-04-19
104,4961.15283203125,1977-04-20
105,4995.1591796875,1977-04-21
106,5029.310546875,1977-04-22
107,5060.49169921875,1977-04-25
108,5087.25390625,1977-04-26
109,5110.1474609375,1977-04-27
110,5129.69482421875,1977-04-28
111,5145.73046875,1977-04-29
112,5160.41748046875,1977-05-02
113,5179.02099609375,1977-05-03
114,5196.03271484375,1977-05-04
115,5214.279296875,1977-05-05
116,5238.9208984375,1977-05-06
117,5277.71142578125,1977-05-09
118,5330.0498046875,1977-05-10
119,5396.83349609375,1977-05-11
120,5470.6884765625,1977-05-12
121,5539.8017578125,1977-05-13
122,5599.19091796875,1977-05-16
123,5650.3251953125,1977-05-17
124,5680.46533203125,1977-05-18
125,5693.599609375,1977-05-19
126,5685.513671875,1977-05-20
127,5674.154296875,1977-05-23
128,5643.359375,1977-05-24
129,5594.4384765625,1977-05-25
130,5526.68701171875,1977-05-26
131,5435.52880859375,1977-05-27
132,5325.599609375,1977-05-31
133,5192.27587890625,1977-06-01
134,5035.0849609375,1977-06-02
135,4853.7939453125,1977-06-03
136,4654.3681640625,1977-06-06
137,4433.70458984375,1977-06-07
138,4198.138671875,1977-06-08
139,3955.0361328125,1977-06-09
140,3704.784912109375,1977-06-10
141,3454.334716796875,1977-06-13
142,3205.953125,1977-06-14
143,2962.642333984375,1977-06-15
144,2723.411865234375,1977-06-16
145,2488.358642578125,1977-06-17
146,2259.01416015625,1977-06-20
147,2034.976806640625,1977-06-21
148,1818.810302734375,1977-06-22
149,1609.8896484375,1977-06-23
150,1407.637939453125,1977-06-24
151,1215.2235107421875,1977-06-27
152,1037.909912109375,1977-06-28
153,902.75390625,1977-06-29
154,779.8841552734375,1977-06-30
155,663.8062133789062,1977-07-01
156,555.5875854492188,1977-07-05
157,456.09368896484375,1977-07-06
158,379.54638671875,1977-07-07
159,316.05633544921875,1977-07-08
160,252.8809051513672,1977-07-11
161,196.8943634033203,1977-07-12
162,190.71194458007812,1977-07-13
163,232.19834899902344,1977-07-15
164,294.9140319824219,1977-07-18
165,367.59356689453125,1977-07-19
166,450.0143127441406,1977-07-20
167,550.5028686523438,1977-07-21
168,728.384765625,1977-07-22
169,923.5912475585938,1977-07-25
170,1117.7406005859375,1977-07-26
171,1313.212646484375,1977-07-27
172,1505.40234375,1977-07-28
173,1694.7093505859375,1977-07-29
174,1883.692138671875,1977-08-01
175,2062.640625,1977-08-02
176,2234.430419921875,1977-08-03
177,2425.541259765625,1977-08-04
178,2631.248046875,1977-08-05
179,2839.4296875,1977-08-08
180,3056.571533203125,1977-08-09
181,3279.987548828125,1977-08-10
182,3499.068115234375,1977-08-11
183,3718.12158203125,1977-08-12
184,3923.2607421875,1977-08-15
185,4128.90283203125,1977-08-16
186,4336.88427734375,1977-08-17
187,4556.96826171875,1977-08-18
188,4785.93603515625,1977-08-19
189,5014.21240234375,1977-08-22
190,5228.765625,1977-08-23
191,5422.162109375,1977-08-24
192,5574.41748046875,1977-08-25
193,5701.400390625,1977-08-26
194,5811.337890625,1977-08-29
195,5877.86669921875,1977-08-30
196,5921.29345703125,1977-08-31
197,5932.6923828125,1977-09-01
198,5933.095703125,1977-09-02
199,5889.27783203125,1977-09-06
200,5817.3935546875,1977-09-07
201,5736.11767578125,1977-09-08
202,5627.0703125,1977-09-09
203,5494.087890625,1977-09-12
204,5355.5625,1977-09-13
205,5234.94580078125,1977-09-14
206,5112.80908203125,1977-09-15
207,4983.88134765625,1977-09-16
208,4832.25634765625,1977-09-19
