Period Number,Value,Date
1,3465.4052734375,2010-11-24
2,3866.4765625,2010-11-26
3,4167.4072265625,2010-11-29
4,4476.08251953125,2010-11-30
5,4669.33837890625,2010-12-01
6,4742.2548828125,2010-12-02
7,4808.85009765625,2010-12-03
8,4801.95703125,2010-12-06
9,4881.1171875,2010-12-07
10,5035.201171875,2010-12-08
11,5186.7802734375,2010-12-09
12,5278.205078125,2010-12-10
13,5288.39697265625,2010-12-13
14,5150.54345703125,2010-12-14
15,5040.625,2010-12-15
16,4989.76171875,2010-12-16
17,4964.384765625,2010-12-17
18,4936.08349609375,2010-12-20
19,4902.39501953125,2010-12-21
20,4848.8427734375,2010-12-22
21,4625.8955078125,2010-12-23
22,4125.47607421875,2010-12-27
23,3731.623291015625,2010-12-28
24,3576.846435546875,2010-12-29
25,3995.369873046875,2010-12-30
26,4406.3388671875,2010-12-31
27,4789.59423828125,2011-01-03
28,5126.42333984375,2011-01-04
29,5639.23828125,2011-01-05
30,6138.2783203125,2011-01-06
31,6515.5849609375,2011-01-07
32,6819.28564453125,2011-01-10
33,7174.2099609375,2011-01-11
34,7512.37548828125,2011-01-12
35,7843.60888671875,2011-01-13
36,8087.572265625,2011-01-14
37,8255.822265625,2011-01-18
38,8422.083984375,2011-01-19
39,8638.4140625,2011-01-20
40,8659.7978515625,2011-01-21
41,8581.2314453125,2011-01-24
42,8386.224609375,2011-01-25
43,8090.99365234375,2011-01-26
44,7716.9013671875,2011-01-27
45,7266.8583984375,2011-01-28
46,6818.171875,2011-01-31
47,6361.5576171875,2011-02-01
48,5854.80126953125,2011-02-02
49,5286.64453125,2011-02-03
50,4719.28076171875,2011-02-04
51,4136.7001953125,2011-02-07
52,3488.74462890625,2011-02-08
53,2919.89111328125,2011-02-09
54,2394.8046875,2011-02-10
55,1936.9425048828125,2011-02-11
56,1486.0823974609375,2011-02-14
57,1111.92919921875,2011-02-15
58,855.4107055664062,2011-02-16
59,775.2106323242188,2011-02-17
60,918.88037109375,2011-02-18
61,1086.5281982421875,2011-02-22
62,1317.6275634765625,2011-02-23
63,1637.077880859375,2011-02-24
64,2062.714599609375,2011-02-25
65,2531.249267578125,2011-02-28
66,3001.230224609375,2011-03-01
67,3462.344970703125,2011-03-02
68,3911.769775390625,2011-03-03
69,4350.43017578125,2011-03-04
70,4712.12890625,2011-03-07
71,4956.5751953125,2011-03-08
72,5102.5546875,2011-03-09
73,5074.49560546875,2011-03-10
74,4946.677734375,2011-03-11
75,4645.076171875,2011-03-14
76,4238.681640625,2011-03-15
77,3770.084228515625,2011-03-16
78,3278.4580078125,2011-03-17
79,2797.17333984375,2011-03-18
80,2314.050537109375,2011-03-21
81,2088.72216796875,2011-03-22
82,1941.5308837890625,2011-03-23
83,1798.837158203125,2011-03-24
84,1659.1551513671875,2011-03-25
85,1558.2694091796875,2011-03-28
86,1482.3475341796875,2011-03-29
87,1406.1788330078125,2011-03-30
88,1418.936279296875,2011-03-31
89,1489.5860595703125,2011-04-01
90,1568.3365478515625,2011-04-04
91,1569.2086181640625,2011-04-05
92,1595.776611328125,2011-04-06
93,1620.910888671875,2011-04-07
94,1668.86474609375,2011-04-08
95,1600.2734375,2011-04-11
96,1572.88720703125,2011-04-12
97,1511.169189453125,2011-04-13
98,1435.799072265625,2011-04-14
99,1393.0960693359375,2011-04-15
100,1389.000244140625,2011-04-18
101,1377.6212158203125,2011-04-19
102,1328.94287109375,2011-04-20
103,1221.5010986328125,2011-04-21
104,1116.005859375,2011-04-25
105,993.5520629882812,2011-04-26
106,877.4159545898438,2011-04-27
107,764.6768188476562,2011-04-28
108,654.1962280273438,2011-04-29
109,562.769775390625,2011-05-02
110,502.79058837890625,2011-05-03
111,453.9003601074219,2011-05-04
112,418.0511169433594,2011-05-05
