Period Number,Value,Date
1,582270.1875,1986-10-28
2,573794.125,1986-10-29
3,565151.6875,1986-10-30
4,556625.1875,1986-10-31
5,547885.5625,1986-11-03
6,539549.75,1986-11-04
7,531016.875,1986-11-05
8,522695.3125,1986-11-06
9,514450.75,1986-11-07
10,506214.1875,1986-11-10
11,498505.53125,1986-11-11
12,490678.40625,1986-11-12
13,482991.5,1986-11-13
14,475310.625,1986-11-14
15,467654.75,1986-11-17
16,460077.15625,1986-11-18
17,452514.15625,1986-11-19
18,445136.25,1986-11-20
19,437881.53125,1986-11-21
20,430744.40625,1986-11-24
21,423484.59375,1986-11-25
22,416246.8125,1986-11-26
23,408536.46875,1986-11-28
24,400915.3125,1986-12-01
25,393252.8125,1986-12-02
26,385769.0,1986-12-03
27,378380.71875,1986-12-04
28,371245.34375,1986-12-05
29,364260.21875,1986-12-08
30,357267.09375,1986-12-09
31,350198.84375,1986-12-10
32,343032.40625,1986-12-11
33,335537.71875,1986-12-12
34,327622.15625,1986-12-15
35,319558.25,1986-12-16
36,311065.75,1986-12-17
37,305314.9375,1986-12-18
38,300205.03125,1986-12-19
39,294470.65625,1986-12-22
40,288099.125,1986-12-23
41,280997.875,1986-12-24
42,273357.34375,1986-12-26
43,265104.28125,1986-12-29
44,256355.96875,1986-12-30
45,247411.46875,1986-12-31
46,237770.234375,1987-01-02
47,227593.40625,1987-01-05
48,217032.625,1987-01-06
49,206152.625,1987-01-07
50,195095.109375,1987-01-08
51,183837.046875,1987-01-09
52,172363.09375,1987-01-12
53,160941.3125,1987-01-13
54,149528.234375,1987-01-14
55,137961.734375,1987-01-15
56,126504.0,1987-01-16
57,114889.0078125,1987-01-19
58,103541.6484375,1987-01-20
59,92748.8046875,1987-01-21
60,82113.84375,1987-01-22
61,71783.6796875,1987-01-23
62,63879.97265625,1987-01-26
63,56789.48046875,1987-01-27
64,50072.9921875,1987-01-28
65,43824.78515625,1987-01-29
66,38049.20703125,1987-01-30
67,32834.34375,1987-02-02
68,28171.38671875,1987-02-03
69,24398.869140625,1987-02-04
70,21357.556640625,1987-02-05
71,18759.619140625,1987-02-06
72,17006.462890625,1987-02-09
73,18920.576171875,1987-02-10
74,21456.92578125,1987-02-11
75,23955.388671875,1987-02-12
76,27278.158203125,1987-02-13
77,31972.185546875,1987-02-17
78,37355.81640625,1987-02-18
79,42751.16796875,1987-02-19
80,49605.83984375,1987-02-20
81,57019.671875,1987-02-23
82,64633.33203125,1987-02-24
83,72002.75,1987-02-25
84,79469.984375,1987-02-26
85,87088.9453125,1987-02-27
86,94463.6484375,1987-03-02
87,101495.171875,1987-03-03
88,109221.2109375,1987-03-04
89,117508.3828125,1987-03-05
90,125767.96875,1987-03-06
91,134230.140625,1987-03-09
92,142777.28125,1987-03-10
93,152402.96875,1987-03-11
94,162087.453125,1987-03-12
95,171817.8125,1987-03-13
96,181464.015625,1987-03-16
97,191185.78125,1987-03-17
98,200740.671875,1987-03-18
99,210352.09375,1987-03-19
100,219840.125,1987-03-20
101,229083.234375,1987-03-23
102,237377.5,1987-03-24
103,245329.859375,1987-03-25
104,253433.296875,1987-03-26
105,261290.71875,1987-03-27
106,269125.59375,1987-03-30
107,277207.03125,1987-03-31
108,285617.1875,1987-04-01
109,294179.1875,1987-04-02
110,303069.125,1987-04-03
111,312505.125,1987-04-06
112,321729.25,1987-04-07
113,331231.875,1987-04-08
114,340542.875,1987-04-09
115,349222.125,1987-04-10
116,355980.34375,1987-04-13
117,361142.34375,1987-04-14
118,364720.90625,1987-04-15
119,366842.21875,1987-04-16
120,369565.6875,1987-04-20
121,377410.46875,1987-04-21
122,385159.0625,1987-04-22
123,392688.03125,1987-04-23
124,399228.625,1987-04-24
125,404982.125,1987-04-27
126,410073.90625,1987-04-28
127,414452.28125,1987-04-29
128,417944.15625,1987-04-30
129,421461.84375,1987-05-01
130,427008.84375,1987-05-04
131,433149.0,1987-05-05
132,439041.375,1987-05-06
133,445105.375,1987-05-07
134,450920.96875,1987-05-08
135,456792.6875,1987-05-11
136,462401.125,1987-05-12
137,467892.3125,1987-05-13
138,473296.375,1987-05-14
139,478147.78125,1987-05-15
140,482762.4375,1987-05-18
141,486896.875,1987-05-19
142,490678.53125,1987-05-20
143,494056.875,1987-05-21
144,497039.78125,1987-05-22
145,499710.5,1987-05-26
146,501569.59375,1987-05-27
147,502849.03125,1987-05-28
148,503155.53125,1987-05-29
149,503396.21875,1987-06-01
150,503574.96875,1987-06-02
151,503779.5,1987-06-03
152,503945.375,1987-06-04
153,503305.53125,1987-06-05
154,502424.1875,1987-06-08
155,501039.4375,1987-06-09
156,499449.09375,1987-06-10
157,497662.96875,1987-06-11
158,495965.21875,1987-06-12
159,494190.15625,1987-06-15
160,492731.9375,1987-06-16
161,490783.03125,1987-06-17
162,489290.9375,1987-06-18
163,488040.96875,1987-06-19
164,487185.25,1987-06-22
165,486639.25,1987-06-23
166,487076.65625,1987-06-24
167,487892.21875,1987-06-25
168,488490.09375,1987-06-26
169,488486.5625,1987-06-29
170,488292.4375,1987-06-30
171,487914.46875,1987-07-01
172,487237.09375,1987-07-02
173,485692.3125,1987-07-06
174,483761.1875,1987-07-07
175,481806.625,1987-07-08
176,478702.125,1987-07-09
177,475725.84375,1987-07-10
178,472740.25,1987-07-13
179,469550.375,1987-07-14
180,465886.625,1987-07-15
181,461916.5625,1987-07-16
182,457373.21875,1987-07-17
183,452457.5,1987-07-20
184,446488.09375,1987-07-21
185,439887.09375,1987-07-22
186,433236.5,1987-07-23
187,426138.0625,1987-07-24
188,419284.90625,1987-07-27
189,412203.65625,1987-07-28
190,405056.21875,1987-07-29
191,397979.6875,1987-07-30
192,391155.46875,1987-07-31
193,383988.375,1987-08-03
194,376914.34375,1987-08-04
195,369899.71875,1987-08-05
196,362910.625,1987-08-06
197,355933.71875,1987-08-07
198,349019.78125,1987-08-10
199,342350.0,1987-08-11
200,336077.09375,1987-08-12
201,330149.125,1987-08-13
202,323960.6875,1987-08-14
203,317752.8125,1987-08-17
204,311036.875,1987-08-18
205,304249.84375,1987-08-19
206,297583.53125,1987-08-20
207,290639.0,1987-08-21
208,283311.90625,1987-08-24
209,275985.40625,1987-08-25
210,268587.8125,1987-08-26
211,261353.328125,1987-08-27
212,259874.890625,1987-08-28
213,260214.859375,1987-08-31
214,259720.296875,1987-09-01
215,259420.828125,1987-09-02
216,259358.796875,1987-09-03
217,259571.359375,1987-09-04
218,259955.859375,1987-09-08
219,260484.625,1987-09-09
220,260952.78125,1987-09-10
221,261426.703125,1987-09-11
222,262394.25,1987-09-14
223,263829.375,1987-09-15
224,265370.25,1987-09-16
225,267024.5,1987-09-17
226,268938.21875,1987-09-18
227,271393.40625,1987-09-21
228,274149.96875,1987-09-22
229,277730.96875,1987-09-23
230,281627.0,1987-09-24
231,285653.65625,1987-09-25
232,289696.15625,1987-09-28
233,293748.125,1987-09-29
234,297887.15625,1987-09-30
235,302527.9375,1987-10-01
236,307246.90625,1987-10-02
237,312471.5625,1987-10-05
238,317861.09375,1987-10-06
239,323257.8125,1987-10-07
240,329515.625,1987-10-08
241,335330.46875,1987-10-09
242,341522.75,1987-10-12
243,346559.125,1987-10-13
244,351194.40625,1987-10-14
245,355654.40625,1987-10-15
246,360519.0625,1987-10-16
247,365594.40625,1987-10-19
248,371890.9375,1987-10-20
249,377347.1875,1987-10-21
250,382815.03125,1987-10-22
251,389064.375,1987-10-23
252,395187.15625,1987-10-26
253,401439.09375,1987-10-27
254,407658.5625,1987-10-28
255,413963.1875,1987-10-29
256,419947.96875,1987-10-30
257,426305.40625,1987-11-02
258,433609.75,1987-11-03
259,440865.34375,1987-11-04
260,447885.6875,1987-11-05
261,455180.09375,1987-11-06
262,462753.75,1987-11-09
263,471391.21875,1987-11-10
264,480031.34375,1987-11-11
265,488784.1875,1987-11-12
266,497973.59375,1987-11-13
267,507573.03125,1987-11-16
268,517902.25,1987-11-17
269,527948.5,1987-11-18
270,537785.5,1987-11-19
271,547748.625,1987-11-20
272,558116.625,1987-11-23
273,567749.6875,1987-11-24
274,576911.1875,1987-11-25
275,585834.9375,1987-11-27
276,595024.9375,1987-11-30
277,604332.0,1987-12-01
278,614445.625,1987-12-02
279,625873.6875,1987-12-03
280,637663.4375,1987-12-04
281,648832.875,1987-12-07
282,659675.25,1987-12-08
283,670097.25,1987-12-09
284,681601.0625,1987-12-10
285,693364.4375,1987-12-11
286,704852.6875,1987-12-14
287,715353.375,1987-12-15
288,725713.0625,1987-12-16
289,737268.5625,1987-12-17
290,748936.1875,1987-12-18
291,760529.8125,1987-12-21
292,771814.75,1987-12-22
293,783491.4375,1987-12-23
294,794826.3125,1987-12-24
295,806548.3125,1987-12-28
296,817461.875,1987-12-29
297,828197.25,1987-12-30
298,840484.9375,1987-12-31
299,852726.125,1988-01-04
300,864609.375,1988-01-05
301,876136.0,1988-01-06
302,887784.1875,1988-01-07
303,898852.3125,1988-01-08
304,910275.6875,1988-01-11
305,922458.375,1988-01-12
306,934959.125,1988-01-13
307,946838.375,1988-01-14
308,957457.4375,1988-01-15
309,968139.5625,1988-01-18
310,979061.75,1988-01-19
311,990510.0,1988-01-20
312,1001773.3125,1988-01-21
313,1012322.375,1988-01-22
314,1021649.0625,1988-01-25
315,1031139.125,1988-01-26
316,1040140.6875,1988-01-27
317,1048047.5,1988-01-28
318,1056471.875,1988-01-29
319,1064979.5,1988-02-01
320,1073566.625,1988-02-02
321,1081810.625,1988-02-03
322,1089811.25,1988-02-04
323,1097385.625,1988-02-05
324,1104647.125,1988-02-08
325,1110854.625,1988-02-09
326,1115709.375,1988-02-10
327,1120103.5,1988-02-11
328,1124612.375,1988-02-12
329,1129180.75,1988-02-16
330,1132633.375,1988-02-17
331,1136344.375,1988-02-18
332,1140529.0,1988-02-19
333,1145374.25,1988-02-22
334,1150070.5,1988-02-23
335,1155015.0,1988-02-24
336,1159845.875,1988-02-25
337,1164320.375,1988-02-26
338,1168937.25,1988-02-29
339,1174069.75,1988-03-01
340,1180070.125,1988-03-02
341,1186918.25,1988-03-03
342,1193376.125,1988-03-04
343,1199130.875,1988-03-07
344,1203725.875,1988-03-08
345,1208452.0,1988-03-09
346,1212956.75,1988-03-10
347,1218012.375,1988-03-11
348,1222735.375,1988-03-14
349,1227830.625,1988-03-15
350,1232012.625,1988-03-16
351,1235467.625,1988-03-17
352,1238053.25,1988-03-18
353,1240312.25,1988-03-21
354,1242684.125,1988-03-22
355,1243925.25,1988-03-23
356,1244937.875,1988-03-24
357,1245683.25,1988-03-25
358,1246446.125,1988-03-28
359,1246349.125,1988-03-29
360,1244785.75,1988-03-30
361,1242343.0,1988-03-31
362,1239752.25,1988-04-04
363,1236986.125,1988-04-05
364,1233634.75,1988-04-06
365,1230085.75,1988-04-07
366,1226082.0,1988-04-08
367,1221447.125,1988-04-11
368,1216061.875,1988-04-12
369,1209775.25,1988-04-13
370,1203370.75,1988-04-14
371,1196614.0,1988-04-15
372,1189659.125,1988-04-18
373,1183032.625,1988-04-19
374,1175879.25,1988-04-20
375,1168739.25,1988-04-21
376,1161540.625,1988-04-22
377,1154073.625,1988-04-25
378,1146256.375,1988-04-26
379,1138383.5,1988-04-27
380,1130605.5,1988-04-28
381,1122441.5,1988-04-29
382,1114640.875,1988-05-02
383,1106829.25,1988-05-03
384,1099111.25,1988-05-04
385,1091965.25,1988-05-05
386,1085651.25,1988-05-06
