Period Number,Value,Date
1,1.646856E7,2015-11-09
2,1.6491537E7,2015-11-10
3,1.6516489E7,2015-11-11
4,1.6541352E7,2015-11-12
5,1.6566763E7,2015-11-13
6,1.6594341E7,2015-11-16
7,1.6623531E7,2015-11-17
8,1.6655109E7,2015-11-18
9,1.6683164E7,2015-11-19
10,1.6709581E7,2015-11-20
11,1.6735847E7,2015-11-23
12,1.6759763E7,2015-11-24
13,1.6783672E7,2015-11-25
14,1.6804016E7,2015-11-27
15,1.6821222E7,2015-11-30
16,1.6836116E7,2015-12-01
17,1.6853282E7,2015-12-02
18,1.6870334E7,2015-12-03
19,1.6886638E7,2015-12-04
20,1.6907216E7,2015-12-07
21,1.6928026E7,2015-12-08
22,1.695018E7,2015-12-09
23,1.6973266E7,2015-12-10
24,1.6999102E7,2015-12-11
25,1.7026346E7,2015-12-14
26,1.705332E7,2015-12-15
27,1.7080442E7,2015-12-16
28,1.7110048E7,2015-12-17
29,1.7138838E7,2015-12-18
30,1.7167906E7,2015-12-21
31,1.7194872E7,2015-12-22
32,1.7222564E7,2015-12-23
33,1.7251254E7,2015-12-24
34,1.7281508E7,2015-12-28
35,1.7311966E7,2015-12-29
36,1.7343856E7,2015-12-30
37,1.7374086E7,2015-12-31
38,1.7406096E7,2016-01-04
39,1.7439334E7,2016-01-05
40,1.7475244E7,2016-01-06
41,1.7517588E7,2016-01-07
42,1.756073E7,2016-01-08
43,1.7607634E7,2016-01-11
44,1.7656328E7,2016-01-12
45,1.7708056E7,2016-01-13
46,1.7760734E7,2016-01-14
47,1.7814874E7,2016-01-15
48,1.7869404E7,2016-01-19
49,1.7925258E7,2016-01-20
50,1.7977746E7,2016-01-21
51,1.8028392E7,2016-01-22
52,1.8081806E7,2016-01-25
53,1.8132334E7,2016-01-26
54,1.8181948E7,2016-01-27
55,1.8228484E7,2016-01-28
56,1.827077E7,2016-01-29
57,1.8311928E7,2016-02-01
58,1.8354544E7,2016-02-02
59,1.8390828E7,2016-02-03
60,1.8422496E7,2016-02-04
61,1.8452626E7,2016-02-05
62,1.8486018E7,2016-02-08
63,1.8521394E7,2016-02-09
64,1.8555734E7,2016-02-10
65,1.8590212E7,2016-02-11
66,1.8620242E7,2016-02-12
67,1.8647116E7,2016-02-16
68,1.8669562E7,2016-02-17
69,1.8689334E7,2016-02-18
70,1.8708918E7,2016-02-19
71,1.8725534E7,2016-02-22
72,1.8743412E7,2016-02-23
73,1.87618E7,2016-02-24
74,1.8784144E7,2016-02-25
75,1.8805702E7,2016-02-26
76,1.8826402E7,2016-02-29
77,1.8843892E7,2016-03-01
78,1.8861602E7,2016-03-02
79,1.8878106E7,2016-03-03
80,1.8895724E7,2016-03-04
81,1.8912264E7,2016-03-07
82,1.8932814E7,2016-03-08
83,1.8957518E7,2016-03-09
84,1.8985186E7,2016-03-10
85,1.9013178E7,2016-03-11
86,1.9046174E7,2016-03-14
87,1.9079062E7,2016-03-15
88,1.9120148E7,2016-03-16
89,1.9160634E7,2016-03-17
90,1.9203166E7,2016-03-18
91,1.924416E7,2016-03-21
92,1.9279844E7,2016-03-22
93,1.9312312E7,2016-03-23
94,1.9344758E7,2016-03-24
95,1.9375696E7,2016-03-28
96,1.9405406E7,2016-03-29
97,1.943092E7,2016-03-30
98,1.94581E7,2016-03-31
99,1.9483882E7,2016-04-01
100,1.9508552E7,2016-04-04
101,1.9533854E7,2016-04-05
102,1.9554888E7,2016-04-06
103,1.9574716E7,2016-04-07
104,1.9590514E7,2016-04-08
105,1.9601592E7,2016-04-11
106,1.9606624E7,2016-04-12
107,1.960831E7,2016-04-13
108,1.9608934E7,2016-04-14
109,1.9610484E7,2016-04-15
110,1.9611324E7,2016-04-18
111,1.9607396E7,2016-04-19
112,1.9601942E7,2016-04-20
113,1.9597112E7,2016-04-21
114,1.9589928E7,2016-04-22
115,1.9581376E7,2016-04-25
116,1.9571296E7,2016-04-26
117,1.9558988E7,2016-04-27
118,1.9544908E7,2016-04-28
119,1.9530924E7,2016-04-29
120,1.951771E7,2016-05-02
121,1.9506612E7,2016-05-03
122,1.9495714E7,2016-05-04
123,1.9483174E7,2016-05-05
124,1.9468414E7,2016-05-06
125,1.9455562E7,2016-05-09
126,1.944116E7,2016-05-10
127,1.9424244E7,2016-05-11
128,1.9406536E7,2016-05-12
129,1.9388932E7,2016-05-13
130,1.936919E7,2016-05-16
131,1.9349158E7,2016-05-17
132,1.9331522E7,2016-05-18
133,1.9314822E7,2016-05-19
134,1.9295326E7,2016-05-20
135,1.9274612E7,2016-05-23
136,1.9255002E7,2016-05-24
137,1.9236628E7,2016-05-25
138,1.9216988E7,2016-05-26
139,1.9197912E7,2016-05-27
140,1.9178166E7,2016-05-31
141,1.9157538E7,2016-06-01
142,1.9138462E7,2016-06-02
143,1.911993E7,2016-06-03
144,1.9099274E7,2016-06-06
145,1.9078658E7,2016-06-07
146,1.9060686E7,2016-06-08
147,1.9043132E7,2016-06-09
148,1.9031976E7,2016-06-10
149,1.9022736E7,2016-06-13
150,1.901817E7,2016-06-14
151,1.9015462E7,2016-06-15
152,1.9012914E7,2016-06-16
153,1.9010976E7,2016-06-17
154,1.9008676E7,2016-06-20
155,1.900676E7,2016-06-21
156,1.900748E7,2016-06-22
157,1.9004334E7,2016-06-23
158,1.9004946E7,2016-06-24
159,1.900791E7,2016-06-27
160,1.9009276E7,2016-06-28
161,1.9009926E7,2016-06-29
162,1.9006936E7,2016-06-30
163,1.9001764E7,2016-07-01
164,1.899547E7,2016-07-05
165,1.8988562E7,2016-07-06
166,1.898057E7,2016-07-07
167,1.8970116E7,2016-07-08
168,1.8958086E7,2016-07-11
169,1.8942184E7,2016-07-12
170,1.892783E7,2016-07-13
171,1.8911572E7,2016-07-14
172,1.8893752E7,2016-07-15
173,1.8875974E7,2016-07-18
174,1.8858044E7,2016-07-19
175,1.8840384E7,2016-07-20
176,1.8822618E7,2016-07-21
177,1.8805294E7,2016-07-22
178,1.878884E7,2016-07-25
179,1.8769992E7,2016-07-26
180,1.8752456E7,2016-07-27
181,1.8738094E7,2016-07-28
182,1.8727096E7,2016-07-29
183,1.871928E7,2016-08-01
184,1.8713506E7,2016-08-02
185,1.870771E7,2016-08-03
186,1.8703352E7,2016-08-04
187,1.8700252E7,2016-08-05
188,1.870185E7,2016-08-08
189,1.8706598E7,2016-08-09
190,1.8716296E7,2016-08-10
191,1.8717014E7,2016-08-11
192,1.8718032E7,2016-08-12
193,1.871507E7,2016-08-15
194,1.87105E7,2016-08-16
195,1.8703136E7,2016-08-17
196,1.8696656E7,2016-08-18
197,1.8690324E7,2016-08-19
198,1.8687082E7,2016-08-22
199,1.8683608E7,2016-08-23
200,1.8680678E7,2016-08-24
201,1.8675858E7,2016-08-25
202,1.8671322E7,2016-08-26
203,1.8667672E7,2016-08-29
204,1.8662328E7,2016-08-30
205,1.8657024E7,2016-08-31
206,1.8652024E7,2016-09-01
207,1.8648432E7,2016-09-02
208,1.864687E7,2016-09-06
209,1.8649976E7,2016-09-07
210,1.8656878E7,2016-09-08
211,1.866638E7,2016-09-09
212,1.867896E7,2016-09-12
213,1.8699608E7,2016-09-13
214,1.8724874E7,2016-09-14
215,1.875294E7,2016-09-15
216,1.878638E7,2016-09-16
217,1.8820898E7,2016-09-19
218,1.885856E7,2016-09-20
219,1.8900342E7,2016-09-21
220,1.8946236E7,2016-09-22
221,1.8996992E7,2016-09-23
222,1.9056542E7,2016-09-26
223,1.91191E7,2016-09-27
224,1.9183648E7,2016-09-28
225,1.9246058E7,2016-09-29
226,1.9311768E7,2016-09-30
227,1.9379362E7,2016-10-03
228,1.9449032E7,2016-10-04
229,1.9521552E7,2016-10-05
230,1.959173E7,2016-10-06
231,1.965568E7,2016-10-07
232,1.971553E7,2016-10-10
233,1.977494E7,2016-10-11
234,1.9828228E7,2016-10-12
235,1.9879622E7,2016-10-13
236,1.9925968E7,2016-10-14
237,1.9971374E7,2016-10-17
238,2.001143E7,2016-10-18
239,2.0051492E7,2016-10-19
240,2.0088324E7,2016-10-20
241,2.012462E7,2016-10-21
242,2.0158466E7,2016-10-24
243,2.0190022E7,2016-10-25
244,2.021641E7,2016-10-26
245,2.0241348E7,2016-10-27
246,2.0262504E7,2016-10-28
247,2.0279524E7,2016-10-31
248,2.0297758E7,2016-11-01
249,2.0314826E7,2016-11-02
250,2.0335126E7,2016-11-03
251,2.0351732E7,2016-11-04
252,2.0365764E7,2016-11-07
253,2.0377976E7,2016-11-08
254,2.0390478E7,2016-11-09
255,2.0397078E7,2016-11-10
256,2.0405622E7,2016-11-11
257,2.0413616E7,2016-11-14
258,2.0415334E7,2016-11-15
259,2.0416196E7,2016-11-16
260,2.0413282E7,2016-11-17
261,2.0411996E7,2016-11-18
262,2.0409576E7,2016-11-21
263,2.0404162E7,2016-11-22
264,2.0400896E7,2016-11-23
265,2.0396112E7,2016-11-25
266,2.0390238E7,2016-11-28
267,2.0383318E7,2016-11-29
268,2.037374E7,2016-11-30
269,2.0362046E7,2016-12-01
270,2.0344332E7,2016-12-02
271,2.0326288E7,2016-12-05
272,2.0307244E7,2016-12-06
273,2.028438E7,2016-12-07
274,2.0261398E7,2016-12-08
275,2.0234602E7,2016-12-09
276,2.0211522E7,2016-12-12
277,2.0186034E7,2016-12-13
278,2.0164882E7,2016-12-14
279,2.0144512E7,2016-12-15
280,2.0123186E7,2016-12-16
281,2.0103516E7,2016-12-19
282,2.0082782E7,2016-12-20
283,2.0064464E7,2016-12-21
284,2.0044128E7,2016-12-22
285,2.0023978E7,2016-12-23
286,2.0002826E7,2016-12-27
287,1.998092E7,2016-12-28
288,1.9957146E7,2016-12-29
289,1.9932506E7,2016-12-30
290,1.9902604E7,2017-01-03
291,1.9867472E7,2017-01-04
292,1.98245E7,2017-01-05
293,1.9777142E7,2017-01-06
294,1.9728296E7,2017-01-09
295,1.9670098E7,2017-01-10
296,1.9605234E7,2017-01-11
297,1.9536134E7,2017-01-12
298,1.9461052E7,2017-01-13
299,1.9384692E7,2017-01-17
300,1.9315136E7,2017-01-18
301,1.923681E7,2017-01-19
302,1.9154634E7,2017-01-20
303,1.9065972E7,2017-01-23
304,1.897138E7,2017-01-24
305,1.8876848E7,2017-01-25
306,1.8784712E7,2017-01-26
307,1.8690624E7,2017-01-27
308,1.8599828E7,2017-01-30
309,1.850748E7,2017-01-31
310,1.842047E7,2017-02-01
311,1.8335314E7,2017-02-02
312,1.8250052E7,2017-02-03
313,1.816503E7,2017-02-06
314,1.8076766E7,2017-02-07
315,1.7986094E7,2017-02-08
316,1.789406E7,2017-02-09
317,1.7799484E7,2017-02-10
318,1.7700354E7,2017-02-13
319,1.7600166E7,2017-02-14
320,1.750278E7,2017-02-15
321,1.740716E7,2017-02-16
322,1.7311954E7,2017-02-17
323,1.7215852E7,2017-02-21
324,1.7121134E7,2017-02-22
325,1.7026612E7,2017-02-23
326,1.693296E7,2017-02-24
327,1.6838538E7,2017-02-27
328,1.6746073E7,2017-02-28
329,1.6654125E7,2017-03-01
330,1.6564648E7,2017-03-02
331,1.6478516E7,2017-03-03
332,1.6395246E7,2017-03-06
333,1.6311055E7,2017-03-07
334,1.6227375E7,2017-03-08
335,1.6148756E7,2017-03-09
336,1.6069304E7,2017-03-10
337,1.5988565E7,2017-03-13
338,1.590755E7,2017-03-14
339,1.5824963E7,2017-03-15
340,1.5738756E7,2017-03-16
341,1.5655922E7,2017-03-17
342,1.5574841E7,2017-03-20
343,1.5498804E7,2017-03-21
344,1.5424237E7,2017-03-22
345,1.5351016E7,2017-03-23
346,1.5278498E7,2017-03-24
347,1.5207181E7,2017-03-27
348,1.5134935E7,2017-03-28
349,1.5060657E7,2017-03-29
350,1.4987024E7,2017-03-30
351,1.4915127E7,2017-03-31
352,1.4845663E7,2017-04-03
353,1.4775845E7,2017-04-04
354,1.47064E7,2017-04-05
355,1.4636762E7,2017-04-06
356,1.4566297E7,2017-04-07
357,1.449072E7,2017-04-10
358,1.4412954E7,2017-04-11
359,1.4336399E7,2017-04-12
360,1.4259275E7,2017-04-13
361,1.4177659E7,2017-04-17
362,1.4096705E7,2017-04-18
363,1.4017446E7,2017-04-19
364,1.3933874E7,2017-04-20
365,1.3850404E7,2017-04-21
366,1.3766837E7,2017-04-24
367,1.3680995E7,2017-04-25
368,1.3598289E7,2017-04-26
369,1.3518462E7,2017-04-27
370,1.344102E7,2017-04-28
371,1.3362724E7,2017-05-01
372,1.328383E7,2017-05-02
373,1.3206923E7,2017-05-03
374,1.3133242E7,2017-05-04
375,1.3059368E7,2017-05-05
376,1.298567E7,2017-05-08
377,1.2913291E7,2017-05-09
378,1.2841586E7,2017-05-10
379,1.277059E7,2017-05-11
380,1.2700449E7,2017-05-12
381,1.2629958E7,2017-05-15
382,1.2559927E7,2017-05-16
383,1.2495395E7,2017-05-17
384,1.2433403E7,2017-05-18
385,1.2371246E7,2017-05-19
386,1.2307763E7,2017-05-22
387,1.2244424E7,2017-05-23
388,1.2181258E7,2017-05-24
389,1.2119116E7,2017-05-25
390,1.2055046E7,2017-05-26
391,1.199158E7,2017-05-30
392,1.1927672E7,2017-05-31
393,1.1862122E7,2017-06-01
394,1.1797969E7,2017-06-02
395,1.1734095E7,2017-06-05
396,1.1671415E7,2017-06-06
397,1.1608056E7,2017-06-07
398,1.1540591E7,2017-06-08
399,1.1470277E7,2017-06-09
400,1.1399833E7,2017-06-12
401,1.1327855E7,2017-06-13
402,1.1256759E7,2017-06-14
403,1.1185046E7,2017-06-15
404,1.1112864E7,2017-06-16
405,1.1039699E7,2017-06-19
406,1.0965447E7,2017-06-20
407,1.0890106E7,2017-06-21
408,1.0812093E7,2017-06-22
409,1.0730378E7,2017-06-23
410,1.0648803E7,2017-06-26
411,1.0566696E7,2017-06-27
412,1.0485094E7,2017-06-28
413,1.0403503E7,2017-06-29
414,1.0320356E7,2017-06-30
415,1.0235743E7,2017-07-03
416,1.0148934E7,2017-07-05
417,1.0062665E7,2017-07-06
418,9976271.0,2017-07-07
419,9889442.0,2017-07-10
420,9803885.0,2017-07-11
421,9719878.0,2017-07-12
422,9637374.0,2017-07-13
423,9554965.0,2017-07-14
424,9471413.0,2017-07-17
425,9388248.0,2017-07-18
426,9304796.0,2017-07-19
427,9223310.0,2017-07-20
428,9144529.0,2017-07-21
429,9066120.0,2017-07-24
430,8988551.0,2017-07-25
431,8913505.0,2017-07-26
432,8840472.0,2017-07-27
433,8767044.0,2017-07-28
434,8694117.0,2017-07-31
435,8621718.0,2017-08-01
436,8551882.0,2017-08-02
437,8482653.0,2017-08-03
438,8416073.0,2017-08-04
439,8351316.0,2017-08-07
440,8286966.0,2017-08-08
441,8223575.5,2017-08-09
442,8163277.0,2017-08-10
443,8103438.0,2017-08-11
444,8043900.0,2017-08-14
445,7985789.5,2017-08-15
446,7927873.0,2017-08-16
447,7869990.0,2017-08-17
448,7810942.5,2017-08-18
449,7752392.0,2017-08-21
450,7695528.0,2017-08-22
451,7639672.0,2017-08-23
452,7584194.5,2017-08-24
453,7529271.5,2017-08-25
454,7475555.0,2017-08-28
455,7421548.0,2017-08-29
456,7368774.0,2017-08-30
457,7315607.5,2017-08-31
458,7262234.0,2017-09-01
459,7211091.0,2017-09-05
460,7159314.0,2017-09-06
461,7107254.0,2017-09-07
462,7056440.5,2017-09-08
463,7004605.5,2017-09-11
464,6951237.0,2017-09-12
465,6897983.5,2017-09-13
466,6844781.5,2017-09-14
467,6791878.5,2017-09-15
468,6738315.5,2017-09-18
469,6684525.5,2017-09-19
470,6631811.5,2017-09-20
471,6579257.0,2017-09-21
472,6526874.5,2017-09-22
473,6475579.5,2017-09-25
474,6424755.0,2017-09-26
475,6375380.0,2017-09-27
476,6326477.0,2017-09-28
477,6278579.0,2017-09-29
478,6229515.0,2017-10-02
479,6182617.5,2017-10-03
480,6135015.0,2017-10-04
481,6087298.5,2017-10-05
482,6039218.5,2017-10-06
483,5991096.5,2017-10-09
484,5942391.0,2017-10-10
485,5893585.5,2017-10-11
486,5845042.0,2017-10-12
487,5796106.5,2017-10-13
488,5747119.5,2017-10-16
489,5697861.0,2017-10-17
490,5648058.0,2017-10-18
491,5597718.5,2017-10-19
492,5547179.5,2017-10-20
493,5496899.5,2017-10-23
494,5447554.5,2017-10-24
495,5398141.5,2017-10-25
496,5349224.5,2017-10-26
497,5302270.0,2017-10-27
498,5255892.0,2017-10-30
499,5220855.5,2017-10-31
500,5216515.0,2017-11-01
501,5213593.0,2017-11-02
502,5211928.5,2017-11-03
503,5210155.5,2017-11-06
504,5207484.5,2017-11-07
505,5205456.5,2017-11-08
506,5201234.0,2017-11-09
507,5197644.0,2017-11-10
508,5194884.0,2017-11-13
509,5194667.5,2017-11-14
510,5198325.0,2017-11-15
511,5202951.0,2017-11-16
512,5206061.5,2017-11-17
513,5207310.5,2017-11-20
514,5206550.0,2017-11-21
515,5205320.5,2017-11-22
516,5203083.5,2017-11-24
517,5203218.5,2017-11-27
518,5203811.0,2017-11-28
519,5203955.0,2017-11-29
520,5202954.5,2017-11-30
521,5203194.0,2017-12-01
522,5200562.0,2017-12-04
523,5198407.0,2017-12-05
524,5197615.5,2017-12-06
525,5197443.5,2017-12-07
526,5196925.0,2017-12-08
527,5195615.5,2017-12-11
528,5193186.0,2017-12-12
529,5189690.0,2017-12-13
530,5186123.5,2017-12-14
531,5181244.0,2017-12-15
532,5172428.5,2017-12-18
533,5161086.0,2017-12-19
534,5150832.5,2017-12-20
535,5139653.0,2017-12-21
536,5130684.5,2017-12-22
537,5122845.5,2017-12-26
538,5115198.0,2017-12-27
539,5107143.0,2017-12-28
540,5099826.0,2017-12-29
541,5089690.0,2018-01-02
542,5076374.5,2018-01-03
543,5063949.5,2018-01-04
544,5051451.0,2018-01-05
545,5039486.0,2018-01-08
546,5027829.5,2018-01-09
547,5014689.0,2018-01-10
548,5000031.5,2018-01-11
549,4986360.0,2018-01-12
550,4971822.0,2018-01-16
