Period Number,Value,Date
1,6259.6591796875,1972-01-10
2,6542.2890625,1972-01-11
3,6848.51171875,1972-01-12
4,7145.14111328125,1972-01-13
5,7450.03076171875,1972-01-14
6,7808.013671875,1972-01-17
7,8229.419921875,1972-01-18
8,8656.595703125,1972-01-19
9,8979.6279296875,1972-01-20
10,9244.2412109375,1972-01-21
11,9761.537109375,1972-01-24
12,10251.8486328125,1972-01-25
13,10694.9111328125,1972-01-26
14,11336.1640625,1972-01-27
15,12199.3505859375,1972-01-28
16,13035.3193359375,1972-01-31
17,14048.43359375,1972-02-01
18,15063.8642578125,1972-02-02
19,16135.732421875,1972-02-03
20,17300.845703125,1972-02-04
21,18364.310546875,1972-02-07
22,19713.6875,1972-02-08
23,21108.69140625,1972-02-09
24,22526.076171875,1972-02-10
25,24008.0,1972-02-11
26,25365.068359375,1972-02-14
27,26485.169921875,1972-02-15
28,27347.2265625,1972-02-16
29,28545.31640625,1972-02-17
30,29604.498046875,1972-02-18
31,30599.0,1972-02-22
32,31507.0,1972-02-23
33,32494.166015625,1972-02-24
34,33569.1640625,1972-02-25
35,34986.74609375,1972-02-28
36,36521.6953125,1972-02-29
37,38404.796875,1972-03-01
38,41137.05859375,1972-03-02
39,43950.99609375,1972-03-03
40,47105.93359375,1972-03-06
41,49966.94921875,1972-03-07
42,53174.1484375,1972-03-08
43,56411.55078125,1972-03-09
44,60027.2109375,1972-03-10
45,63586.01953125,1972-03-13
46,67044.203125,1972-03-14
47,70284.2734375,1972-03-15
48,73498.25,1972-03-16
49,76512.296875,1972-03-17
50,79553.2734375,1972-03-20
51,82797.5,1972-03-21
52,85929.5703125,1972-03-22
53,89257.4375,1972-03-23
54,92390.625,1972-03-24
55,95340.25,1972-03-27
56,98606.90625,1972-03-28
57,102173.15625,1972-03-29
58,106084.953125,1972-03-30
59,109766.109375,1972-04-03
60,113482.171875,1972-04-04
61,117387.3828125,1972-04-05
62,121466.5703125,1972-04-06
63,125426.8515625,1972-04-07
64,129427.65625,1972-04-10
65,134621.71875,1972-04-11
66,140667.96875,1972-04-12
67,146867.1875,1972-04-13
68,153692.9375,1972-04-14
69,160569.671875,1972-04-17
70,167231.25,1972-04-18
71,173916.234375,1972-04-19
72,181022.5625,1972-04-20
73,188183.21875,1972-04-21
74,195735.015625,1972-04-24
75,202923.828125,1972-04-25
76,210330.296875,1972-04-26
77,217616.953125,1972-04-27
78,224215.125,1972-04-28
79,230749.984375,1972-05-01
80,236207.546875,1972-05-02
81,241061.875,1972-05-03
82,246218.453125,1972-05-04
83,251789.046875,1972-05-05
84,257557.15625,1972-05-08
85,261686.875,1972-05-09
86,266731.65625,1972-05-10
87,271629.125,1972-05-11
88,276797.03125,1972-05-12
89,281671.875,1972-05-15
90,285765.9375,1972-05-16
91,289071.0,1972-05-17
92,291834.0625,1972-05-18
93,294797.46875,1972-05-19
94,299064.59375,1972-05-22
