Period Number,Value,Date
1,183729.15625,2010-03-31
2,182538.0625,2010-04-01
3,181376.390625,2010-04-05
4,179892.734375,2010-04-06
5,178298.765625,2010-04-07
6,176536.75,2010-04-08
7,174579.546875,2010-04-09
8,172482.109375,2010-04-12
9,170342.15625,2010-04-13
10,168005.203125,2010-04-14
11,165452.8125,2010-04-15
12,162919.5625,2010-04-16
13,160383.609375,2010-04-19
14,157688.21875,2010-04-20
15,155192.15625,2010-04-21
16,152678.03125,2010-04-22
17,150234.71875,2010-04-23
18,148023.609375,2010-04-26
19,146236.53125,2010-04-27
20,144578.109375,2010-04-28
21,143160.71875,2010-04-29
22,142041.015625,2010-04-30
23,141124.609375,2010-05-03
24,140492.15625,2010-05-04
25,140177.59375,2010-05-05
26,140163.171875,2010-05-06
27,140225.171875,2010-05-07
28,140150.078125,2010-05-10
29,140075.140625,2010-05-11
30,139822.546875,2010-05-12
31,139505.3125,2010-05-13
32,139747.28125,2010-05-14
33,140062.3125,2010-05-17
34,140564.5,2010-05-18
35,140798.421875,2010-05-19
36,141049.609375,2010-05-20
37,141345.6875,2010-05-21
38,141697.953125,2010-05-24
39,142208.46875,2010-05-25
40,142776.734375,2010-05-26
41,143426.296875,2010-05-27
42,144271.59375,2010-05-28
43,145290.140625,2010-06-01
44,146494.5,2010-06-02
45,147826.375,2010-06-03
46,149517.625,2010-06-04
47,151469.65625,2010-06-07
48,153444.359375,2010-06-08
49,155452.390625,2010-06-09
50,157250.375,2010-06-10
51,159217.09375,2010-06-11
52,161453.1875,2010-06-14
53,163541.390625,2010-06-15
54,165793.15625,2010-06-16
55,168059.84375,2010-06-17
56,170661.75,2010-06-18
57,173236.75,2010-06-21
58,176189.90625,2010-06-22
59,179465.1875,2010-06-23
60,182917.984375,2010-06-24
61,186390.625,2010-06-25
62,189954.921875,2010-06-28
63,193753.125,2010-06-29
64,197586.53125,2010-06-30
65,201170.65625,2010-07-01
66,204650.421875,2010-07-02
67,208156.203125,2010-07-06
68,211255.1875,2010-07-07
69,214159.734375,2010-07-08
70,216770.921875,2010-07-09
71,219085.640625,2010-07-12
