Period Number,Value,Date
1,65.9300765991211,1984-04-19
2,75.18043518066406,1984-04-23
3,87.85060119628906,1984-04-24
4,103.62030029296875,1984-04-25
5,123.44572448730469,1984-04-26
6,138.9279327392578,1984-04-27
7,151.4886016845703,1984-04-30
8,168.46188354492188,1984-05-01
9,188.09109497070312,1984-05-02
10,206.48655700683594,1984-05-03
11,216.4915313720703,1984-05-04
12,219.6280059814453,1984-05-07
13,222.82460021972656,1984-05-08
14,223.74697875976562,1984-05-09
15,219.47471618652344,1984-05-10
16,206.89691162109375,1984-05-11
17,186.17996215820312,1984-05-14
18,161.4854278564453,1984-05-15
19,133.4176788330078,1984-05-16
20,102.45113372802734,1984-05-17
21,73.73736572265625,1984-05-18
22,49.73670196533203,1984-05-21
23,30.294328689575195,1984-05-22
24,16.700990676879883,1984-05-23
25,9.539517402648926,1984-05-24
26,4.654620170593262,1984-05-25
27,4.656498908996582,1984-05-29
28,6.034306049346924,1984-05-30
29,7.673586368560791,1984-05-31
30,9.019471168518066,1984-06-01
31,11.099879264831543,1984-06-04
32,13.227701187133789,1984-06-05
33,14.223419189453125,1984-06-06
34,15.08685302734375,1984-06-07
35,14.172447204589844,1984-06-08
36,13.67094898223877,1984-06-11
37,12.78720760345459,1984-06-12
38,11.947293281555176,1984-06-13
39,11.539377212524414,1984-06-14
40,10.958352088928223,1984-06-15
41,10.387934684753418,1984-06-18
42,9.397612571716309,1984-06-19
43,9.000611305236816,1984-06-20
44,8.620267868041992,1984-06-21
45,7.99408483505249,1984-06-22
46,7.607269287109375,1984-06-25
47,6.31420373916626,1984-06-26
48,4.635157585144043,1984-06-27
49,2.8945374488830566,1984-06-28
50,1.3050984144210815,1984-06-29
51,0.2205234318971634,1984-07-02
52,0.004271141719073057,1984-07-03
53,0.37867501378059387,1984-07-05
54,1.2663427591323853,1984-07-06
55,1.5341436862945557,1984-07-09
56,1.7324525117874146,1984-07-10
57,2.034060001373291,1984-07-11
58,2.298450231552124,1984-07-12
59,3.4447176456451416,1984-07-13
60,4.893383979797363,1984-07-16
61,7.42493200302124,1984-07-17
62,9.354277610778809,1984-07-18
63,11.148966789245605,1984-07-19
64,12.807722091674805,1984-07-20
65,15.948198318481445,1984-07-23
66,19.836790084838867,1984-07-24
67,24.072166442871094,1984-07-25
68,29.976377487182617,1984-07-26
69,36.3350830078125,1984-07-27
70,43.067813873291016,1984-07-30
71,51.32780075073242,1984-07-31
72,59.0334358215332,1984-08-01
73,75.5567398071289,1984-08-02
74,92.76541137695312,1984-08-03
75,106.26952362060547,1984-08-06
76,117.2536392211914,1984-08-07
