Period Number,Value,Date
1,2.2474776E7,1985-03-11
2,2.2363454E7,1985-03-12
3,2.2252888E7,1985-03-13
4,2.2143676E7,1985-03-14
5,2.2034366E7,1985-03-15
6,2.1923902E7,1985-03-18
7,2.1813922E7,1985-03-19
8,2.1705412E7,1985-03-20
9,2.1598986E7,1985-03-21
10,2.1493024E7,1985-03-22
11,2.1389474E7,1985-03-25
12,2.1285034E7,1985-03-26
13,2.117921E7,1985-03-27
14,2.107354E7,1985-03-28
15,2.09682E7,1985-03-29
16,2.086226E7,1985-04-01
17,2.0754324E7,1985-04-02
18,2.0647422E7,1985-04-03
19,2.0540022E7,1985-04-04
20,2.043305E7,1985-04-08
21,2.0323434E7,1985-04-09
22,2.0218028E7,1985-04-10
23,2.0114178E7,1985-04-11
24,2.0012016E7,1985-04-12
25,1.9910594E7,1985-04-15
26,1.981102E7,1985-04-16
27,1.971412E7,1985-04-17
28,1.9619308E7,1985-04-18
29,1.9525772E7,1985-04-19
30,1.9434182E7,1985-04-22
31,1.934506E7,1985-04-23
32,1.925901E7,1985-04-24
33,1.9176436E7,1985-04-25
34,1.9095864E7,1985-04-26
35,1.9018726E7,1985-04-29
36,1.8941794E7,1985-04-30
37,1.8870726E7,1985-05-01
38,1.8801246E7,1985-05-02
39,1.8733236E7,1985-05-03
40,1.8664864E7,1985-05-06
41,1.8600494E7,1985-05-07
42,1.8539254E7,1985-05-08
43,1.848123E7,1985-05-09
44,1.8428592E7,1985-05-10
45,1.837888E7,1985-05-13
46,1.8336758E7,1985-05-14
47,1.8295466E7,1985-05-15
48,1.8254826E7,1985-05-16
49,1.8215978E7,1985-05-17
50,1.8180418E7,1985-05-20
51,1.81485E7,1985-05-21
52,1.8116824E7,1985-05-22
53,1.8084208E7,1985-05-23
54,1.8054342E7,1985-05-24
55,1.8026544E7,1985-05-28
56,1.80015E7,1985-05-29
57,1.7978018E7,1985-05-30
58,1.795548E7,1985-05-31
59,1.7936786E7,1985-06-03
60,1.7917506E7,1985-06-04
61,1.7898458E7,1985-06-05
62,1.7880108E7,1985-06-06
63,1.7861518E7,1985-06-07
64,1.7842476E7,1985-06-10
65,1.7826292E7,1985-06-11
66,1.7809266E7,1985-06-12
67,1.778769E7,1985-06-13
68,1.7767866E7,1985-06-14
69,1.7748206E7,1985-06-17
70,1.772832E7,1985-06-18
71,1.7713244E7,1985-06-19
72,1.770187E7,1985-06-20
73,1.7693274E7,1985-06-21
74,1.7685526E7,1985-06-24
75,1.7680604E7,1985-06-25
76,1.767618E7,1985-06-26
77,1.7674902E7,1985-06-27
78,1.7675078E7,1985-06-28
79,1.7676358E7,1985-07-01
80,1.7675608E7,1985-07-02
81,1.7677614E7,1985-07-03
82,1.7679772E7,1985-07-05
83,1.7685078E7,1985-07-08
84,1.7691828E7,1985-07-09
85,1.7698908E7,1985-07-10
86,1.7707178E7,1985-07-11
87,1.771505E7,1985-07-12
88,1.7725234E7,1985-07-15
89,1.7739436E7,1985-07-16
90,1.775422E7,1985-07-17
91,1.7767212E7,1985-07-18
92,1.7780408E7,1985-07-19
93,1.779185E7,1985-07-22
94,1.7808998E7,1985-07-23
95,1.7826648E7,1985-07-24
96,1.7843182E7,1985-07-25
97,1.7857972E7,1985-07-26
98,1.786948E7,1985-07-29
99,1.7882228E7,1985-07-30
100,1.7895984E7,1985-07-31
101,1.7916838E7,1985-08-01
102,1.794006E7,1985-08-02
103,1.7965838E7,1985-08-05
104,1.7986402E7,1985-08-06
105,1.8010004E7,1985-08-07
106,1.8032384E7,1985-08-08
107,1.8056976E7,1985-08-09
108,1.8079242E7,1985-08-12
109,1.8100638E7,1985-08-13
110,1.812358E7,1985-08-14
111,1.814719E7,1985-08-15
112,1.8168934E7,1985-08-16
113,1.8194216E7,1985-08-19
114,1.8219274E7,1985-08-20
115,1.8243454E7,1985-08-21
116,1.8269402E7,1985-08-22
117,1.829661E7,1985-08-23
118,1.8325196E7,1985-08-26
119,1.8353988E7,1985-08-27
120,1.8384366E7,1985-08-28
121,1.8415446E7,1985-08-29
122,1.8449444E7,1985-08-30
123,1.848464E7,1985-09-03
124,1.8521472E7,1985-09-04
125,1.8560032E7,1985-09-05
126,1.860082E7,1985-09-06
127,1.863968E7,1985-09-09
128,1.8679542E7,1985-09-10
129,1.8721158E7,1985-09-11
130,1.8763668E7,1985-09-12
131,1.880457E7,1985-09-13
132,1.8847508E7,1985-09-16
133,1.8887366E7,1985-09-17
134,1.8926362E7,1985-09-18
135,1.8968638E7,1985-09-19
136,1.9008136E7,1985-09-20
137,1.9044882E7,1985-09-23
138,1.9078654E7,1985-09-24
139,1.9110922E7,1985-09-25
140,1.9142364E7,1985-09-26
141,1.917208E7,1985-09-30
142,1.920198E7,1985-10-01
143,1.9229962E7,1985-10-02
144,1.9257986E7,1985-10-03
145,1.9282742E7,1985-10-04
146,1.930325E7,1985-10-07
147,1.9324434E7,1985-10-08
148,1.934484E7,1985-10-09
149,1.9366576E7,1985-10-10
150,1.9389544E7,1985-10-11
151,1.941212E7,1985-10-14
152,1.9434394E7,1985-10-15
153,1.9461054E7,1985-10-16
154,1.9493474E7,1985-10-17
155,1.9526702E7,1985-10-18
156,1.9560974E7,1985-10-21
157,1.9595532E7,1985-10-22
158,1.9629966E7,1985-10-23
159,1.966644E7,1985-10-24
160,1.970226E7,1985-10-25
161,1.9740468E7,1985-10-28
162,1.9780462E7,1985-10-29
163,1.9821736E7,1985-10-30
164,1.985982E7,1985-10-31
165,1.9901686E7,1985-11-01
166,1.994548E7,1985-11-04
167,1.9989498E7,1985-11-05
168,2.0037156E7,1985-11-06
169,2.0089856E7,1985-11-07
170,2.0142622E7,1985-11-08
171,2.0200206E7,1985-11-11
172,2.0258184E7,1985-11-12
173,2.0313342E7,1985-11-13
174,2.0368732E7,1985-11-14
175,2.0428508E7,1985-11-15
176,2.0486182E7,1985-11-18
177,2.0543428E7,1985-11-19
178,2.0600302E7,1985-11-20
179,2.06552E7,1985-11-21
180,2.0710564E7,1985-11-22
181,2.0764502E7,1985-11-25
182,2.0818032E7,1985-11-26
183,2.0871632E7,1985-11-27
184,2.0922238E7,1985-11-29
185,2.0968816E7,1985-12-02
186,2.101401E7,1985-12-03
187,2.1062784E7,1985-12-04
188,2.1108108E7,1985-12-05
189,2.1150186E7,1985-12-06
190,2.1193438E7,1985-12-09
191,2.1234754E7,1985-12-10
192,2.1277344E7,1985-12-11
193,2.1320106E7,1985-12-12
194,2.1366304E7,1985-12-13
195,2.1415888E7,1985-12-16
196,2.146696E7,1985-12-17
197,2.151963E7,1985-12-18
198,2.1575644E7,1985-12-19
199,2.1632122E7,1985-12-20
200,2.1687576E7,1985-12-23
201,2.174347E7,1985-12-24
202,2.1800878E7,1985-12-26
203,2.1861752E7,1985-12-27
204,2.1924898E7,1985-12-30
205,2.1988114E7,1985-12-31
206,2.2050864E7,1986-01-02
207,2.211563E7,1986-01-03
208,2.218E7,1986-01-06
209,2.2243818E7,1986-01-07
210,2.2307784E7,1986-01-08
211,2.2369868E7,1986-01-09
212,2.2433076E7,1986-01-10
213,2.249659E7,1986-01-13
214,2.2558856E7,1986-01-14
215,2.2618708E7,1986-01-15
216,2.2679266E7,1986-01-16
217,2.2740228E7,1986-01-17
218,2.2802682E7,1986-01-20
219,2.2866286E7,1986-01-21
220,2.2930402E7,1986-01-22
221,2.2994784E7,1986-01-23
222,2.3060782E7,1986-01-24
223,2.3129604E7,1986-01-27
224,2.3201546E7,1986-01-28
225,2.3272514E7,1986-01-29
226,2.334395E7,1986-01-30
227,2.3416478E7,1986-01-31
228,2.3487916E7,1986-02-03
229,2.3560542E7,1986-02-04
230,2.3633804E7,1986-02-05
231,2.3708318E7,1986-02-06
232,2.3782318E7,1986-02-07
233,2.385241E7,1986-02-10
234,2.3917266E7,1986-02-11
235,2.3980398E7,1986-02-12
236,2.4043562E7,1986-02-13
237,2.4111844E7,1986-02-14
238,2.4183936E7,1986-02-18
239,2.4256274E7,1986-02-19
240,2.4334178E7,1986-02-20
241,2.441763E7,1986-02-21
242,2.4496008E7,1986-02-24
243,2.4575356E7,1986-02-25
244,2.4654942E7,1986-02-26
245,2.4735792E7,1986-02-27
246,2.481808E7,1986-02-28
247,2.4902778E7,1986-03-03
248,2.498913E7,1986-03-04
249,2.507662E7,1986-03-05
250,2.5167178E7,1986-03-06
251,2.5262064E7,1986-03-07
252,2.5358968E7,1986-03-10
253,2.5463516E7,1986-03-11
254,2.5567088E7,1986-03-12
255,2.5675412E7,1986-03-13
256,2.578319E7,1986-03-14
257,2.5885784E7,1986-03-17
258,2.5990654E7,1986-03-18
259,2.6094322E7,1986-03-19
260,2.619945E7,1986-03-20
261,2.6306E7,1986-03-21
262,2.6413114E7,1986-03-24
263,2.6521278E7,1986-03-25
264,2.6630966E7,1986-03-26
265,2.6742596E7,1986-03-27
266,2.6856506E7,1986-03-31
267,2.6972052E7,1986-04-01
268,2.7087098E7,1986-04-02
269,2.720135E7,1986-04-03
270,2.731199E7,1986-04-04
271,2.7420964E7,1986-04-07
272,2.7533798E7,1986-04-08
273,2.7649594E7,1986-04-09
274,2.7766728E7,1986-04-10
275,2.7886718E7,1986-04-11
276,2.8006312E7,1986-04-14
277,2.8121876E7,1986-04-15
278,2.824047E7,1986-04-16
279,2.8357204E7,1986-04-17
280,2.8472588E7,1986-04-18
281,2.8587812E7,1986-04-21
282,2.869802E7,1986-04-22
283,2.880576E7,1986-04-23
284,2.891559E7,1986-04-24
285,2.9025978E7,1986-04-25
286,2.9132408E7,1986-04-28
287,2.9234324E7,1986-04-29
288,2.9330156E7,1986-04-30
289,2.9423814E7,1986-05-01
290,2.9516844E7,1986-05-02
291,2.9613066E7,1986-05-05
292,2.9710504E7,1986-05-06
293,2.9807022E7,1986-05-07
294,2.9904448E7,1986-05-08
295,3.0004076E7,1986-05-09
296,3.0103256E7,1986-05-12
297,3.0205354E7,1986-05-13
298,3.031019E7,1986-05-14
299,3.0409806E7,1986-05-15
300,3.0508294E7,1986-05-16
301,3.0606974E7,1986-05-19
302,3.0710504E7,1986-05-20
303,3.0813932E7,1986-05-21
304,3.0917292E7,1986-05-22
305,3.1018486E7,1986-05-23
306,3.1121808E7,1986-05-27
307,3.122361E7,1986-05-28
308,3.1324068E7,1986-05-29
309,3.1420616E7,1986-05-30
310,3.1513522E7,1986-06-02
311,3.1605254E7,1986-06-03
312,3.1691562E7,1986-06-04
313,3.1775514E7,1986-06-05
314,3.185604E7,1986-06-06
315,3.192929E7,1986-06-09
316,3.1999302E7,1986-06-10
317,3.206796E7,1986-06-11
318,3.2138924E7,1986-06-12
319,3.2209964E7,1986-06-13
320,3.2278806E7,1986-06-16
321,3.2342298E7,1986-06-17
322,3.2404006E7,1986-06-18
323,3.2465456E7,1986-06-19
324,3.2525518E7,1986-06-20
325,3.2582144E7,1986-06-23
326,3.26369E7,1986-06-24
327,3.2689556E7,1986-06-25
328,3.2741214E7,1986-06-26
329,3.2793164E7,1986-06-27
330,3.284852E7,1986-06-30
331,3.290339E7,1986-07-01
332,3.2957008E7,1986-07-02
333,3.3011634E7,1986-07-03
334,3.3061192E7,1986-07-07
335,3.3105956E7,1986-07-08
336,3.3153428E7,1986-07-09
337,3.320254E7,1986-07-10
338,3.3253276E7,1986-07-11
339,3.3300096E7,1986-07-14
340,3.3344706E7,1986-07-15
341,3.3389024E7,1986-07-16
342,3.343465E7,1986-07-17
343,3.347832E7,1986-07-18
344,3.351982E7,1986-07-21
345,3.3562856E7,1986-07-22
346,3.36092E7,1986-07-23
347,3.3656932E7,1986-07-24
