Period Number,Value,Date
1,1.1117649E7,1986-12-24
2,1.114499E7,1986-12-26
3,1.1169102E7,1986-12-29
4,1.1190332E7,1986-12-30
5,1.1213455E7,1986-12-31
6,1.1240497E7,1987-01-02
7,1.1266963E7,1987-01-05
8,1.1295066E7,1987-01-06
9,1.1322752E7,1987-01-07
10,1.1353041E7,1987-01-08
11,1.1389833E7,1987-01-09
12,1.1431912E7,1987-01-12
13,1.1474163E7,1987-01-13
14,1.1521454E7,1987-01-14
15,1.1574056E7,1987-01-15
16,1.1627259E7,1987-01-16
17,1.168069E7,1987-01-19
18,1.1736868E7,1987-01-20
19,1.1795403E7,1987-01-21
20,1.1856847E7,1987-01-22
21,1.1916919E7,1987-01-23
22,1.198835E7,1987-01-26
23,1.206549E7,1987-01-27
24,1.2147261E7,1987-01-28
25,1.2228927E7,1987-01-29
26,1.2308548E7,1987-01-30
27,1.2384256E7,1987-02-02
28,1.2461976E7,1987-02-03
29,1.2543839E7,1987-02-04
30,1.2627495E7,1987-02-05
31,1.2712804E7,1987-02-06
32,1.2793519E7,1987-02-09
33,1.2869399E7,1987-02-10
34,1.2944879E7,1987-02-11
35,1.3017674E7,1987-02-12
36,1.3083481E7,1987-02-13
37,1.3149897E7,1987-02-17
38,1.321579E7,1987-02-18
39,1.3277624E7,1987-02-19
40,1.3339017E7,1987-02-20
41,1.3398737E7,1987-02-23
42,1.345464E7,1987-02-24
43,1.3507704E7,1987-02-25
44,1.3558377E7,1987-02-26
45,1.3608701E7,1987-02-27
46,1.3657049E7,1987-03-02
47,1.3710984E7,1987-03-03
48,1.376914E7,1987-03-04
49,1.3830205E7,1987-03-05
50,1.3890218E7,1987-03-06
51,1.3950339E7,1987-03-09
52,1.4007581E7,1987-03-10
53,1.4064181E7,1987-03-11
54,1.4119923E7,1987-03-12
55,1.4180316E7,1987-03-13
56,1.4241526E7,1987-03-16
57,1.4301222E7,1987-03-17
58,1.4361587E7,1987-03-18
59,1.442073E7,1987-03-19
60,1.4475803E7,1987-03-20
61,1.4530213E7,1987-03-23
62,1.4581268E7,1987-03-24
63,1.4630987E7,1987-03-25
64,1.468133E7,1987-03-26
65,1.4730845E7,1987-03-27
66,1.47759E7,1987-03-30
67,1.4821986E7,1987-03-31
68,1.4866073E7,1987-04-01
69,1.4910166E7,1987-04-02
70,1.4953076E7,1987-04-03
71,1.4994903E7,1987-04-06
72,1.503575E7,1987-04-07
73,1.5078777E7,1987-04-08
74,1.5119824E7,1987-04-09
75,1.5160825E7,1987-04-10
76,1.5201301E7,1987-04-13
77,1.5241702E7,1987-04-14
78,1.5283386E7,1987-04-15
79,1.5325735E7,1987-04-16
80,1.5370469E7,1987-04-20
81,1.5414127E7,1987-04-21
82,1.5456136E7,1987-04-22
83,1.5498586E7,1987-04-23
84,1.5543616E7,1987-04-24
85,1.5587588E7,1987-04-27
86,1.5631048E7,1987-04-28
87,1.567554E7,1987-04-29
88,1.5719367E7,1987-04-30
89,1.5761561E7,1987-05-01
90,1.5803239E7,1987-05-04
91,1.5841676E7,1987-05-05
92,1.5877812E7,1987-05-06
93,1.5911717E7,1987-05-07
94,1.5943425E7,1987-05-08
95,1.5973591E7,1987-05-11
96,1.600031E7,1987-05-12
97,1.6025074E7,1987-05-13
98,1.6048604E7,1987-05-14
99,1.6067426E7,1987-05-15
100,1.6084216E7,1987-05-18
101,1.6098094E7,1987-05-19
102,1.6110159E7,1987-05-20
103,1.612049E7,1987-05-21
104,1.6131539E7,1987-05-22
105,1.6150394E7,1987-05-26
106,1.6169872E7,1987-05-27
107,1.6188341E7,1987-05-28
108,1.6205541E7,1987-05-29
109,1.6223133E7,1987-06-01
110,1.6241816E7,1987-06-02
111,1.6261773E7,1987-06-03
112,1.6287284E7,1987-06-04
113,1.6315976E7,1987-06-05
114,1.6348551E7,1987-06-08
115,1.6382549E7,1987-06-09
116,1.6416593E7,1987-06-10
117,1.6452604E7,1987-06-11
118,1.6491909E7,1987-06-12
119,1.6535647E7,1987-06-15
120,1.6579986E7,1987-06-16
121,1.662324E7,1987-06-17
122,1.6665027E7,1987-06-18
123,1.6706347E7,1987-06-19
124,1.6751933E7,1987-06-22
125,1.6804962E7,1987-06-23
126,1.6857084E7,1987-06-24
127,1.690876E7,1987-06-25
128,1.6961724E7,1987-06-26
129,1.701791E7,1987-06-29
130,1.7072216E7,1987-06-30
131,1.712442E7,1987-07-01
132,1.7175364E7,1987-07-02
133,1.722629E7,1987-07-06
134,1.7280062E7,1987-07-07
135,1.7335712E7,1987-07-08
136,1.739288E7,1987-07-09
137,1.7452596E7,1987-07-10
138,1.7512214E7,1987-07-13
139,1.7571172E7,1987-07-14
140,1.763071E7,1987-07-15
141,1.7689232E7,1987-07-16
142,1.7747428E7,1987-07-17
143,1.7805584E7,1987-07-20
144,1.7865766E7,1987-07-21
145,1.7922424E7,1987-07-22
