Period Number,Value,Date
1,498.03973388671875,1973-01-29
2,478.28472900390625,1973-01-30
3,451.9013977050781,1973-01-31
4,416.0290222167969,1973-02-01
5,371.6868591308594,1973-02-02
6,328.8144226074219,1973-02-05
7,284.5924987792969,1973-02-06
8,242.51454162597656,1973-02-07
9,205.0040283203125,1973-02-08
10,169.18743896484375,1973-02-09
11,135.82252502441406,1973-02-12
12,108.06684112548828,1973-02-13
13,85.64106750488281,1973-02-14
14,68.86461639404297,1973-02-15
15,59.343788146972656,1973-02-16
16,53.4085693359375,1973-02-20
17,65.79003143310547,1973-02-21
18,73.6925277709961,1973-02-22
19,80.75608825683594,1973-02-23
20,84.12328338623047,1973-02-26
21,85.03893280029297,1973-02-27
22,83.9642105102539,1973-02-28
23,81.62512969970703,1973-03-01
24,78.8612289428711,1973-03-02
25,69.8157730102539,1973-03-05
26,50.0382080078125,1973-03-06
27,29.74944305419922,1973-03-07
28,26.150598526000977,1973-03-08
29,28.169782638549805,1973-03-09
30,35.353858947753906,1973-03-12
31,41.08148193359375,1973-03-13
32,53.643733978271484,1973-03-14
33,67.96434783935547,1973-03-15
34,86.35123443603516,1973-03-16
35,121.68217468261719,1973-03-19
36,176.6901397705078,1973-03-20
37,244.75772094726562,1973-03-21
38,402.116455078125,1973-03-22
39,589.460693359375,1973-03-23
40,799.6341552734375,1973-03-26
41,990.230224609375,1973-03-27
42,1199.052734375,1973-03-28
43,1405.3602294921875,1973-03-29
44,1597.08349609375,1973-03-30
45,1771.79931640625,1973-04-02
46,1937.568115234375,1973-04-03
47,2083.977783203125,1973-04-04
48,2275.880859375,1973-04-05
49,2457.656005859375,1973-04-06
50,2632.20263671875,1973-04-09
51,2788.74609375,1973-04-10
52,2940.244140625,1973-04-11
53,3081.392578125,1973-04-12
54,3211.3515625,1973-04-13
55,3359.530517578125,1973-04-16
56,3499.315673828125,1973-04-17
57,3637.009521484375,1973-04-18
58,3708.772216796875,1973-04-19
59,3721.599365234375,1973-04-23
60,3680.98681640625,1973-04-24
61,3624.002197265625,1973-04-25
62,3571.03759765625,1973-04-26
63,3549.16552734375,1973-04-27
64,3512.762939453125,1973-04-30
65,3489.572509765625,1973-05-01
66,3488.40869140625,1973-05-02
67,3481.7490234375,1973-05-03
68,3437.41796875,1973-05-04
69,3383.764892578125,1973-05-07
70,3318.87744140625,1973-05-08
71,3240.99072265625,1973-05-09
72,3328.28564453125,1973-05-10
73,3480.158935546875,1973-05-11
74,3620.717529296875,1973-05-14
75,3773.7431640625,1973-05-15
76,3918.79638671875,1973-05-16
77,4058.04296875,1973-05-17
78,4184.83251953125,1973-05-18
79,4309.2451171875,1973-05-21
80,4421.61767578125,1973-05-22
81,4519.33154296875,1973-05-23
82,4614.24755859375,1973-05-24
83,4688.51806640625,1973-05-25
84,4765.89599609375,1973-05-29
85,4813.755859375,1973-05-30
86,4830.9072265625,1973-05-31
87,4819.52587890625,1973-06-01
88,4804.4931640625,1973-06-04
89,4764.1123046875,1973-06-05
90,4653.73974609375,1973-06-06
91,4555.556640625,1973-06-07
92,4456.6328125,1973-06-08
93,4366.51904296875,1973-06-11
94,4226.9072265625,1973-06-12
95,4070.826904296875,1973-06-13
96,3908.59130859375,1973-06-14
97,3714.20751953125,1973-06-15
98,4055.618408203125,1973-06-18
99,4573.8779296875,1973-06-19
100,5004.64794921875,1973-06-20
101,5458.43603515625,1973-06-21
102,6016.1025390625,1973-06-22
103,6675.06591796875,1973-06-25
104,7639.65087890625,1973-06-26
105,8582.03125,1973-06-27
106,9547.54296875,1973-06-28
107,10459.5908203125,1973-06-29
108,11186.8515625,1973-07-02
109,11716.66796875,1973-07-03
110,12134.560546875,1973-07-05
111,12429.7529296875,1973-07-06
112,12692.29296875,1973-07-09
113,12850.8984375,1973-07-10
114,12922.6552734375,1973-07-11
115,12890.5498046875,1973-07-12
116,12723.8369140625,1973-07-13
117,12061.923828125,1973-07-16
118,11272.0078125,1973-07-17
119,10250.10546875,1973-07-18
120,9071.3818359375,1973-07-19
121,7782.13671875,1973-07-20
122,6489.4921875,1973-07-23
123,5117.96484375,1973-07-24
124,3887.24169921875,1973-07-25
125,3004.08740234375,1973-07-26
126,3018.121826171875,1973-07-27
127,3075.182861328125,1973-07-30
128,3160.632080078125,1973-07-31
129,3469.464111328125,1973-08-01
130,3808.52490234375,1973-08-02
131,4149.78662109375,1973-08-03
132,4392.58837890625,1973-08-06
133,4586.5478515625,1973-08-07
134,4675.056640625,1973-08-08
135,4734.78564453125,1973-08-09
136,4707.37939453125,1973-08-10
137,4616.8544921875,1973-08-13
138,4427.15234375,1973-08-14
139,4193.3125,1973-08-15
140,3933.339111328125,1973-08-16
141,3659.422607421875,1973-08-17
142,3508.7578125,1973-08-20
143,3294.84130859375,1973-08-21
144,3046.93212890625,1973-08-22
145,2740.358154296875,1973-08-23
146,2455.037353515625,1973-08-24
147,2155.772216796875,1973-08-27
148,1843.308837890625,1973-08-28
149,1524.467529296875,1973-08-29
150,1203.29052734375,1973-08-30
151,908.244873046875,1973-08-31
152,674.8922119140625,1973-09-04
153,469.3377380371094,1973-09-05
154,297.15032958984375,1973-09-06
155,160.1682891845703,1973-09-07
156,78.10779571533203,1973-09-10
157,107.88106536865234,1973-09-11
158,257.2930908203125,1973-09-12
159,502.90673828125,1973-09-13
160,818.0330200195312,1973-09-14
161,1178.9915771484375,1973-09-17
162,1530.045654296875,1973-09-18
163,1835.2242431640625,1973-09-19
164,2109.91357421875,1973-09-20
165,2389.869384765625,1973-09-21
166,2708.298095703125,1973-09-24
167,2999.580810546875,1973-09-25
168,3240.850830078125,1973-09-26
169,3458.87646484375,1973-09-27
170,3623.28173828125,1973-09-28
171,3736.6162109375,1973-10-01
172,3807.477783203125,1973-10-02
173,3791.663330078125,1973-10-03
174,3680.087890625,1973-10-04
175,3472.51806640625,1973-10-05
