Period Number,Value,Date
1,43.06950378417969,1999-03-10
2,37.80082321166992,1999-03-11
3,31.731128692626953,1999-03-12
4,25.19136619567871,1999-03-15
5,24.50970458984375,1999-03-16
6,27.876617431640625,1999-03-17
7,33.87138366699219,1999-03-18
8,38.04740524291992,1999-03-19
9,42.16515350341797,1999-03-22
10,51.35240173339844,1999-03-23
11,59.38159942626953,1999-03-24
12,77.16343688964844,1999-03-25
13,97.60769653320312,1999-03-26
14,123.1754150390625,1999-03-29
15,138.19049072265625,1999-03-30
16,140.68362426757812,1999-03-31
17,149.45692443847656,1999-04-01
18,166.73175048828125,1999-04-05
19,177.8622283935547,1999-04-06
20,189.72531127929688,1999-04-07
21,203.31520080566406,1999-04-08
22,222.67068481445312,1999-04-09
23,240.31053161621094,1999-04-12
24,249.4412078857422,1999-04-13
25,252.14170837402344,1999-04-14
26,266.8294372558594,1999-04-15
27,285.08343505859375,1999-04-16
28,305.245361328125,1999-04-19
29,327.3681335449219,1999-04-20
30,345.0653076171875,1999-04-21
31,379.1130065917969,1999-04-22
32,416.0630187988281,1999-04-23
33,435.27777099609375,1999-04-26
34,469.73443603515625,1999-04-27
35,517.063720703125,1999-04-28
36,568.9611206054688,1999-04-29
37,606.1814575195312,1999-04-30
38,648.4371948242188,1999-05-03
39,689.5578002929688,1999-05-04
40,709.2813720703125,1999-05-05
41,727.5868530273438,1999-05-06
42,732.8580322265625,1999-05-07
43,714.2855224609375,1999-05-10
44,690.7927856445312,1999-05-11
45,637.3488159179688,1999-05-12
46,570.6392211914062,1999-05-13
47,487.24420166015625,1999-05-14
48,417.0829772949219,1999-05-17
49,359.8917236328125,1999-05-18
50,321.7402038574219,1999-05-19
51,296.06048583984375,1999-05-20
52,271.72998046875,1999-05-21
53,261.5833435058594,1999-05-24
54,254.54397583007812,1999-05-25
55,251.8318634033203,1999-05-26
56,246.35951232910156,1999-05-27
57,240.3706512451172,1999-05-28
58,230.77688598632812,1999-06-01
59,217.06048583984375,1999-06-02
60,200.0747833251953,1999-06-03
61,191.86865234375,1999-06-04
62,183.49815368652344,1999-06-07
63,169.09886169433594,1999-06-08
64,155.5002899169922,1999-06-09
65,147.13291931152344,1999-06-10
66,150.85935974121094,1999-06-11
67,151.6542205810547,1999-06-14
68,150.0703582763672,1999-06-15
69,142.95167541503906,1999-06-16
70,143.89645385742188,1999-06-17
71,138.77395629882812,1999-06-18
72,118.51495361328125,1999-06-21
73,97.00597381591797,1999-06-22
74,82.90618133544922,1999-06-23
75,65.47189331054688,1999-06-24
76,46.12128448486328,1999-06-25
77,25.263845443725586,1999-06-28
78,16.921052932739258,1999-06-29
79,15.154826164245605,1999-06-30
80,15.426238059997559,1999-07-01
81,13.086385726928711,1999-07-02
82,10.093369483947754,1999-07-06
83,8.29051399230957,1999-07-07
84,5.571085453033447,1999-07-08
85,2.426737070083618,1999-07-09
86,3.340141773223877,1999-07-12
87,4.935033321380615,1999-07-13
88,6.70034646987915,1999-07-14
89,8.44253921508789,1999-07-15
90,10.137321472167969,1999-07-16
91,12.601675033569336,1999-07-19
92,13.792057991027832,1999-07-20
93,15.535054206848145,1999-07-21
94,16.948732376098633,1999-07-22
95,17.769311904907227,1999-07-23
96,17.49293327331543,1999-07-26
97,15.376296043395996,1999-07-27
98,14.965577125549316,1999-07-28
99,13.40562915802002,1999-07-29
100,13.100729942321777,1999-07-30
101,9.017549514770508,1999-08-02
102,7.205605983734131,1999-08-03
103,6.9457197189331055,1999-08-04
104,9.247843742370605,1999-08-05
105,9.351598739624023,1999-08-06
106,10.732597351074219,1999-08-09
107,14.74084758758545,1999-08-10
108,15.04420280456543,1999-08-11
109,16.160144805908203,1999-08-12
110,15.290237426757812,1999-08-13
111,14.218169212341309,1999-08-16
112,13.954935073852539,1999-08-17
113,14.601463317871094,1999-08-18
114,17.416805267333984,1999-08-19
115,18.248769760131836,1999-08-20
116,19.765972137451172,1999-08-23
117,21.18358612060547,1999-08-24
118,23.161483764648438,1999-08-25
119,23.342100143432617,1999-08-26
120,25.744922637939453,1999-08-27
121,25.096921920776367,1999-08-30
122,26.6605224609375,1999-08-31
123,28.372295379638672,1999-09-01
124,24.7074031829834,1999-09-02
125,21.064313888549805,1999-09-03
126,20.47429656982422,1999-09-07
127,17.702499389648438,1999-09-08
128,15.93105697631836,1999-09-09
129,13.325125694274902,1999-09-10
130,13.173271179199219,1999-09-13
131,14.954927444458008,1999-09-14
132,16.80670738220215,1999-09-15
133,18.369041442871094,1999-09-16
134,19.505765914916992,1999-09-17
135,22.032752990722656,1999-09-20
136,26.594776153564453,1999-09-21
137,29.495798110961914,1999-09-22
138,29.984251022338867,1999-09-23
139,31.3173885345459,1999-09-24
140,28.145963668823242,1999-09-27
141,23.770097732543945,1999-09-28
142,17.095277786254883,1999-09-29
143,10.032563209533691,1999-09-30
144,7.597523212432861,1999-10-01
145,7.8695478439331055,1999-10-04
146,13.450105667114258,1999-10-05
147,18.261768341064453,1999-10-06
148,29.50023078918457,1999-10-07
149,45.39772033691406,1999-10-08
150,58.607994079589844,1999-10-11
151,74.23634338378906,1999-10-12
152,84.72311401367188,1999-10-13
153,103.46066284179688,1999-10-14
154,124.09901428222656,1999-10-15
155,141.1425323486328,1999-10-18
156,151.50344848632812,1999-10-19
157,156.22482299804688,1999-10-20
158,150.82379150390625,1999-10-21
159,143.13597106933594,1999-10-22
160,137.8769073486328,1999-10-25
161,136.9529266357422,1999-10-26
162,134.31695556640625,1999-10-27
163,132.7689666748047,1999-10-28
164,127.38595581054688,1999-10-29
165,123.44208526611328,1999-11-01
166,119.56291961669922,1999-11-02
167,117.69510650634766,1999-11-03
168,114.1927261352539,1999-11-04
169,109.04408264160156,1999-11-05
170,103.2632064819336,1999-11-08
171,96.05709075927734,1999-11-09
172,87.15833282470703,1999-11-10
173,80.40259552001953,1999-11-11
174,70.41789245605469,1999-11-12
175,60.60249710083008,1999-11-15
176,51.2644157409668,1999-11-16
177,38.841285705566406,1999-11-17
178,25.698389053344727,1999-11-18
179,16.529998779296875,1999-11-19
180,8.43044662475586,1999-11-22
181,3.7267544269561768,1999-11-23
182,0.9578208923339844,1999-11-24
183,0.2485373318195343,1999-11-26
184,0.9324707388877869,1999-11-29
185,2.171025276184082,1999-11-30
186,4.166208267211914,1999-12-01
187,6.523480415344238,1999-12-02
188,9.05781078338623,1999-12-03
189,11.643935203552246,1999-12-06
190,14.241838455200195,1999-12-07
191,16.469350814819336,1999-12-08
