Period Number,Value,Date
1,55.16748046875,1970-08-10
2,85.91793060302734,1970-08-11
3,128.84300231933594,1970-08-12
4,184.26943969726562,1970-08-13
5,253.8789520263672,1970-08-14
6,337.88330078125,1970-08-17
7,441.5890197753906,1970-08-18
8,567.890625,1970-08-19
9,709.2949829101562,1970-08-20
10,873.2310180664062,1970-08-21
11,1052.3209228515625,1970-08-24
12,1240.76220703125,1970-08-25
13,1438.0596923828125,1970-08-26
14,1637.9971923828125,1970-08-27
15,1842.4559326171875,1970-08-28
16,2054.82275390625,1970-08-31
17,2276.0048828125,1970-09-01
18,2488.96826171875,1970-09-02
19,2700.736083984375,1970-09-03
20,2918.12451171875,1970-09-04
21,3111.53857421875,1970-09-08
22,3292.2841796875,1970-09-09
23,3464.58837890625,1970-09-10
24,3617.297119140625,1970-09-11
25,3757.798828125,1970-09-14
26,3867.42041015625,1970-09-15
27,3967.459716796875,1970-09-16
28,4060.939208984375,1970-09-17
29,4139.794921875,1970-09-18
30,4187.14013671875,1970-09-21
31,4221.88525390625,1970-09-22
32,4263.52734375,1970-09-23
33,4304.80859375,1970-09-24
34,4348.607421875,1970-09-25
35,4388.60400390625,1970-09-28
36,4429.09033203125,1970-09-29
37,4455.03759765625,1970-09-30
38,4468.49658203125,1970-10-01
39,4478.80224609375,1970-10-02
40,4499.6826171875,1970-10-05
41,4523.8115234375,1970-10-06
42,4545.76220703125,1970-10-07
43,4557.73193359375,1970-10-08
44,4549.54833984375,1970-10-09
45,4529.80810546875,1970-10-12
46,4506.73046875,1970-10-13
47,4503.95849609375,1970-10-14
48,4528.7509765625,1970-10-15
49,4563.48193359375,1970-10-16
50,4582.30322265625,1970-10-19
51,4609.88916015625,1970-10-20
52,4645.74609375,1970-10-21
53,4690.93359375,1970-10-22
54,4751.0556640625,1970-10-23
55,4808.65625,1970-10-26
56,4870.4404296875,1970-10-27
57,4940.44482421875,1970-10-28
58,5017.064453125,1970-10-29
59,5087.76171875,1970-10-30
60,5155.7216796875,1970-11-02
61,5220.5517578125,1970-11-03
62,5296.5439453125,1970-11-04
63,5352.22021484375,1970-11-05
64,5397.4736328125,1970-11-06
65,5427.89990234375,1970-11-09
66,5440.1640625,1970-11-10
67,5449.6826171875,1970-11-11
68,5446.25927734375,1970-11-12
69,5421.47705078125,1970-11-13
70,5366.43896484375,1970-11-16
71,5303.0048828125,1970-11-17
72,5234.2978515625,1970-11-18
73,5163.59765625,1970-11-19
74,5092.646484375,1970-11-20
75,5022.5556640625,1970-11-23
76,4965.435546875,1970-11-24
77,4910.1943359375,1970-11-25
78,4855.390625,1970-11-27
79,4799.22119140625,1970-11-30
80,4727.1689453125,1970-12-01
81,4652.04248046875,1970-12-02
82,4577.97119140625,1970-12-03
83,4508.3076171875,1970-12-04
84,4433.1416015625,1970-12-07
85,4354.2470703125,1970-12-08
86,4265.76318359375,1970-12-09
87,4189.23681640625,1970-12-10
88,4111.9970703125,1970-12-11
89,4029.244140625,1970-12-14
90,3930.538818359375,1970-12-15
91,3832.036376953125,1970-12-16
92,3742.63671875,1970-12-17
93,3667.85302734375,1970-12-18
94,3609.977294921875,1970-12-21
95,3557.78515625,1970-12-22
96,3504.523681640625,1970-12-23
97,3458.964111328125,1970-12-24
98,3425.6025390625,1970-12-28
99,3411.70849609375,1970-12-29
